ABET	i-ABET; 
remand	 hlehlisa icala; buyisela emuva; 
remarkable	 okuyisimanga; okumangalisayo;  okutusekayo; 
remarks	ukuphawula;  bona ;  izwana;  phawula; 
remedies	 izelapho; amakhambi; 
remedy	ikhambi;  iselapho; 
remember	khumbula; 
remembered	khumbula; 
remembrance	isikhumbuzo;  inkumbulo;  umkhonzo; 
remind	khumbuza;  vuselela; 
reminded	khumbuza;  vuselela; 
reminder	isikhumbuzo;  imvuselelo; 
reminders	 izimvuselelo; izikhumbuzo; 
remote	 -kude; ekudeni; 
removal	 ukuthutha;  ukususwa; ukusuka;  ukususa;  ukugudluzwa; 
remove	gudlula;  sunduza; susa; 
removed	gudlula;  sunduza; susa; 
removing	 ukugudlula; ukususa;  ukusunduza; 
remuneration	inkokhelo; 
renaissance	ukuvela kabusha; 
rename	qamba kabusha; 
renamed	qamba kabusha; 
renaming	ukuqamba kabusha; 
render	 guqula; enza;  banga;  nika; 
rendered	 guqula; enza;  banga;  nika; 
rendering	 ukuguqula;  ukunika;  ukubanga; ukwenza; 
renew	-vuselela; 
renewal	ukuvuselela; 
renewed	vuselela; 
renovations	imvuselelo;  ukuhlumelela; 
renowned	okunesithunzi;  okudumile; 
rent	 qasha; inkokhelo;  irenti; 
rental	imali yokuqasha; 
repair	ukukhanda; 
repairs	ukukhanda; 
repatriation	ukubuyisela ezweni lakubo; 
repeal	ukusula; 
repealed	ukusula; 
repeals	ukusula; 
repeat	phinda; 
replace	 vusa; esikhundleni; 
replaced	 vusa; esikhundleni; 
replacement	ukubuyisela; 
replies	 phendula; izimpendulo;  sabela; 
reply	 sabela; impendulo; phendulo; 
report	umbiko; 
report-back	ukubika ngokutholiwe; 
reported	umbiko; 
reporting	ukubika; 
reports	umbiko; 
reposition	ukubekwa kwenye indawo; 
repositioning	ukubeka kwenye indawo; 
repository	indawo yokubeka; 
represent	 mela; ukumela; 
representation	 umganekiso; omele; 
representations	okumeleyo; imifanekiso; 
representative	 omela; omele; 
representatives	omela; abameleyo; 
represented	 mela; ukumela; 
representing	ukumela; 
represents	 mela; ukumela; 
repressive	 okuvimbelayo; okucindezelayo; 
republics	 iriphabliki; amariphabhulikhi; 
request	ukucela; 
requested	ukucela; 
requester	umfakisicelo; 
requesting	ukucela; 
requests	ukucela; 
require	swela; 
required	swela; 
requirement	isidingo; 
requirements	okudingekayo; 
requires	swela; 
requiring	swela; 
requisite	okufunekayo;  okuntulekayo; 
rescue	 -takula; ukutakula; 
research	 -cwaninga; ukuhlola;  ucwaningo; 
researcher	umcwaningi; 
researchers	abacwaningi; 
reservation	into egodliweyo; ukugodla; 
reserve	 -gcina; isabelo; 
reserved	bamba;  godla; thukusela; 
reserves	abacuphingozi; gcina;  izabelo; 
residence	 umuzi;  ikhaya;  indlu; ukuhlala; 
resident	isakhamuzi; 
residents	izakhamuzi; 
resides	hlala;  akha; 
residing	 okuhlalayo; ukwakha;  ukuhlala;  okwakhayo; 
resignation	ukuyeka; 
resilience	ukupeteka; 
resistance	ukuvimbela;  ukumelana;  ukunqaba;  ukuzabalaza;  ukungazweli kwemithi; 
resolution	 ukuzimisela; isinqumo; 
resolutions	 ukuzimisela; izinqumo; 
resolve	-sombulula; 
resolved	sombulula; 
resolving	sombulula; 
resounding	okudumayo;  okunkenezayo; okucwazayo;  okumbombozayo; 
resource	ingcebo; 
resources	ingcebo; 
respect	ukuhlonipha;  inhlonipho; 
respected	ukuhlonipha; hlonipha;  inhlonipho; 
respective	okwalowo nalowo; 
respectively	ngokulandelana; 
respects	ukuhlonipha; hlonipha;  inhlonipho; 
respond	phendula; 
responded	phendula; 
respondent	 obekwe icala; oziphendulelayo; 
respondents	abaziphendulelayo;  ababekwe icala; 
responding	phendula; 
responds	phendula; 
response	impendulo;  izwi lokuphendula; 
responses	izimpendulo; 
responsibilities	izibopho; 
responsibility	isibopho; 
responsible	 -nesibopho; isibopho; 
responsive	 okusabelayo; okuvumelayo; 
rest	 phumula; isikhawu; 
restitution	ukubuyelana endlini; 
restoration	 into ebuye yalungiswa;  ukuhlawula; ukubuyisa; 
restorative	 okuvuselelayo; okubuyisayo;  umuthi wokuvuselela;  okuqinisayo; umunti wokwenza kube ngcono; 
restore	ukuvuselela; 
restored	ukuvuselela; 
restoring	ukuvuselela; 
restraint	 bamba;  vimbela; ukubamba; 
restricted	 thibela; khawulisa; bamba;  vimbela; 
restriction	ukuvimbela;  ukukhawulisa; 
restrictions	imithetho yokuthibela; 
restructuring	ukwakha kabusha; 
result	 umphumela wokwehlukanisa; umphumela; 
resulted	 umphumela wokwehlukanisa; umphumela; umphumela wokuphindaphinda; 
resulting	 umphumela wokwehlukanisa; umphumela; umphumela wokuphindaphinda; 
results	imiphumela yokwehlukanisa;  imiphumela yokuphindaphinda; imiphumela; 
retail	ukuthengisela osebenzisa impahla; 
retain	gcina;  bamba;  godla; 
retained	gcina;  bamba;  godla; 
retention	 ukugcina;  ukubanjwa; ukubamba; 
retired	 hlehlisa;  phumisa; khipha;  muka; holekela; 
retirement	 ukugogobala; umhlalaphansi;  ukuhlehla; 
retrieval	 okubuyiswayo; okutholakalayo futhi; 
return	 buya; phinda;  ukubuya; 
returned	 buya; phinda; 
returns	 buya; phinda; 
reveal	hlalukisa;  veza;  bonakalisa; bonisa;  mbulula; 
revealed	hlalukisa;  veza;  bonakalisa; bonisa;  mbulula; 
revenue	imali engenayo;  izimali ezingenayo; 
revenues	imali engenayo;  izimali ezingenayo; 
reverse	guqula; 
reviewed	isibuyekezo; 
reviewing	ukubuyekeza; 
reviews	izibuyekezo; 
revise	bukeza; 
revised	bukeza; 
revision	 ukubukeza; ukubuyekeza; 
revisions	 ukubukeza; ukubuyekeza; 
revitalisation	ukunikwa amandla amasha; 
revoke	 hoxisa; chitha;  buyisa; 
revolution	 ukuphenduka okugcwele; umjikelezo;  ukuchithwa kombuso; 
revolutionary	iphekulazikhuni; 
reward	 umvuzo; umklomelo;  vusa;  buyisela; klomela; 
rhino	ubhejane; 
rich	 abacebile; abanothile; 
right	 -sikudla;  esokudla; kwesokudla;  -lungile;  okulungile; 
rightful	okulungile;  okomthetho; 
rights	amalungelo; 
rise	enyukela;  -enyuka; 
rising	 ukukhushulwa; ukukhula;  ukwenyuka; 
risks	ubungozi; 
river	umfula; 
rivers	imifula; 
road	 umgwaqo Omkhulu; umgwaqo; 
roads	 imigwaqo emikhulu; imigwaqo; 
robust	okuqinile;  okunamandla;  okujahile; 
rock	idwala; 
rod	 uswazi;  induku; isilinganiso; 
role	iqhaza olibambile; 
role-players	ababambiqhaza; 
roles	iqhaza abalibambile; 
roll	bhala;  umqulu; 
roll-out	 nyombuluka; sombulula; ambula;  nyombulula; 
rolled	bhala;  umqulu; 
rolling	okugingqikayo;  okusongekayo; 
rollout	 nyombuluka; sombulula; ambula;  nyombulula; 
rolls	 gingqa;  ukusongeka; ukugingqika; gungquzisa; 
room	ikamelo; 
rooms	amakamelo; 
root	umsuka;  impande; 
rooted	 mba; gebhuza;  sebekula; 
roots	 izingxabo; izimpande; 
rose	enyuka;  enyukela; 
round	 zungeza;  jika; umjikelezo;  okusandilinga; 
rounded	 zungeza;  jika; umjikelezo;  okusandilinga; 
roundtable	ingxoxo yezifundiswa; 
route	indlela;  umzila; 
routes	 imizila; izindlela; 
routine	inhlalayenza;  indlela yokudansa;  injwayelo; 
royal	 -ndlunkulu; undlunkulu; 
royalties	imali etholwa ngumbhali webhuku; 
royalty	 abomuzi wenkosi; ikomkhulu; 
rugby	iragbhi; 
rule	 umthetho; umthetho ofanele ulandelwe;  ithuluzi lokusebenza; 
rules	 imithetho efanele ukulandelwa; amathuluzi okusebenza;  imithetho; 
ruling	ukunquma; 
rulings	ukunquma; 
run	gijima; 
running	ukuphathwa kwekhaya; 
runs	gijima; 
rural	emakhaya; 
sacred	-ngcwele; 
sacrifice	ukunikela;  -nikela;  umnikelo; 
sacrifices	 nikela;  ukunikela; iminikelo; 
saddened	dabukisa; bangela usizi; 
sadness	ukudabuka; 
safe	isisefo; 
safeguard	ukuvikela; 
safeguarding	ukuvikela; 
safety	 ukuvikelwa; ukuphepha; 
said	 ukusho; ukuthi; 
salaries	amaholo;  imiholo; 
salary	iholo;  umholo; 
sale	indali; 
sales	ukuthengisa; 
salute	khulekela; khonza;  bingelela; 
same	okufanayo; 
sample	 isibonakalisi; umfanekiso;  imbonakaliso; 
samples	izibonakalisi; imifanekiso;  izimbonakaliso; 
sampling	 isibonakalisi; umfanekiso;  imbonakaliso; 
san	indlu yokuphola yeziguli; 
sanction	imvume; unswinyo; 
sanctions	unswinyo; 
sanitation	amasu okuthutha ukungcola; 
sap	inkovu; 
saps	inkovu; 
satisfaction	ukwanelisa; 
satisfactory	 okwanelisayo; okukholakele; okudelisayo; 
satisfied	anelisa; 
satisfies	anelisa; 
satisfy	anelisa; 
save	ukuvimba;  -onga; 
saving	ukuvimba;  ukonga; 
savings	okongiweyo; 
saw	isaha; 
say	 ukusho; ukuthi; 
saying	 izwi; ukusho;  isaga; 
says	 ukusho; ukuthi; 
scale	 ukhwekhwe; isikali;  isikalo;  isentela;  izenga lenhlanzi;  uhla lwamanothi olupheleleyo; 
scarce	okuyindlala; 
scene	 isigcawu somdlalo;  indawo yesenzo; isigcawu; 
scenes	izigcawu;  izindawo zesenzo;  izigcawu zomdlalo; 
schedule	 isithasiselo; isheduli; 
scheduled	amasheduli; izithasiselo; 
schedules	 izithasiselo; isheduli; 
scheduling	 isithasiselo; isheduli; 
scheme	hlela;  uhlelo lomsebenzi; 
schemes	hlela;  uhlelo lomsebenzi; 
scholar	umfundi;  isazi; 
scholars	abafundi;  izazi; 
scholarship	umfundaze; 
school	isikole; 
schooling	ukufunda kwasesikoleni; 
schools	 izikole zabancane; izikole zabakhulu; izikole;  izikole zabaphakathi; 
science	isayensi; 
sciences	isayensi; 
scope	umkhawulo; 
score	 igoli;  amagoli;  -faka igoli;  kora;  uhlelo lwezindlela olubhaliwe; umphumela;  amashumi amabili;  -qopha; 
scorecard	ikhadimaphuzu; 
scoring	 igoli;  amagoli;  ukufaka igoli;  uhlelo lwezindlela olubhaliwe; ukukora; umphumela;  amashumi amabili;  ukuqopha; 
scourge	uhlupho;  hlupha; thwaxabula;  shaya ngesiswebhu;  isiswebhu; 
screen	-hlunga;  isihenqo; 
screening	 ukusithibeza;  ukusefa; ukuhlunga;  ukusitha;  ukwela;  ukuhonqela; 
script	iphepha;  ubhalo; 
scrutinise	hlolisisa; 
scrutinize	hlolisisa; 
scrutiny	ukuhlolisisa;  ukulondonya;  ukubhekisisa; 
sculpture	 ukubaza; umfanekiso obaziwe;  ikuqopha amatshe; 
se	iningizimu-mpumalanga; 
sea	ulwandle; 
seal	imvu yamanzi; 
sealed	 isinamathelisi; gcika; imvu yamanzi; 
search	khwathaza;  cinga;  hlwaya; funa; 
searched	khwathaza;  cinga;  hlwaya; funa; 
season	isizini;  isikhathi sonyaka; 
seasonal	okwezikhathi zonyaka; 
seasons	amasizini; izikhathi zonyaka; 
seat	isihlalo;  ikomkhulu; 
seats	 ikomkhulu; izihlalo; 
sec	 okusikayo; okunqumayo; 
second	okwesibili;  isekhendi;  umzuzwana;  sekela; 
secondary	-ngaphansi; 
secondly	okwesibili; 
secret	imfihlo; 
secretariat	ihhovisi likanobhala; 
secretary	unobhala; 
secretary-general	unobhala jukelele; 
section	isigaba;  ingxenye; 
sectional	okuphathelene nesigaba esisodwa; 
sections	 izigaba; izingxenye; 
sector	 isinqamu sesiyingi esisuka endeni siyogcina ephethelweni; umkhakha; indawo eklanyiweyo; 
sectors	imikhakha; 
secure	londoloza; 
secured	londolozekile; londoloza; 
securing	 ukulondolozeka; ukulondoloza; 
security	ukuphepha;  isibambiso;  ukuvikeleka; 
see	 bona; qabuka; bheka; 
seeing	 ukuqabuka;  ukubheka; ukubona; 
seek	 qaza; khwathaza;  cinga; funa; 
seeking	 ukukhwathaza;  ukucinga; ukufuna;  ukuqaza; 
seeks	 qaza; khwathaza;  cinga; funa; 
seem	bukeka; bonakala; 
seems	bukeka; bonakala; 
seen	 bona; qabuka; bheka; 
segment	 ilunga; izenga;  izenge; 
segregation	ukukhetha;  ukwahlukanisa; 
seize	 bambeka;  gunyaza; bamba;  qhwaga; 
seized	 bambeka;  gunyaza; bamba;  qhwaga; 
seizure	 ukubambeka;  ukugunyaza;  ukuqhwaga; ukubamba; 
select	 dumba; khetha;  qoma; 
selected	 dumba; khetha;  qoma; 
selection	ukuhlunga; 
self	 isibili;  uqobo lwa-; zi; 
self-determination	ilungelo lesizwe lokuzithathela izinqumo; 
self-sufficiency	ukuphelela;  ukuqholosha; 
selfless	okuzidelayo;  okungazicabangeli; 
sell	thengisa; 
selling	ukuthengisa; 
seminar	isemina; iqembu lezitshudeni ezihlanganela ukuxoxisana ngesifundo esithile nothisha wazo; 
seminars	amasemina; 
send	sa;  hambisa;  thuma; 
sending	ukuhambisa;  ukusa;  ukuthuma; 
sends	sa;  hambisa;  thuma; 
senior	 okudala;  omdala; phezu kwa-; okukhulu; 
sense	imizwa;  umuzwa; 
sensitive	 -nozwelo; zwela; 
sent	sa;  hambisa;  thuma; 
sentence	 umusho;  gweba; isigwebo; 
sentenced	 umusho;  gweba; isigwebo; 
sentences	 gweba;  izigwebo; imisho; 
sentencing	umusho;  ukugweba; 
separate	 -hlukanisa; hlukanisa;  -ahlukene; 
separated	 hlukanisa; ahlukene; hlukene; 
separately	ngokwahlukanisa; 
separation	ukwahlukanisa; 
sequestration	 ukwamukwa isikhashana; ukudliwa; 
series	 okulandelanayo; ukulandelana; 
serious	okunzima;  okungxamile;  okuqinisile; 
seriously	ngokungxamile;  ngokuqinisile; kabi; 
servants	 izinceku; izisebenzi; 
serve	 phaka; siza;  khonza;  ukuthumela; 
served	 phaka; siza;  khonza;  ukuthumela; 
serves	 phaka; siza;  khonza;  ukuthumela; 
service	 ukukhonza; ukusebenzela;  usizo;  umsebenzi;  inkonzo; 
serviced	siza;  sebenzela; 
services	 ukukhonza;  izinkonzo;  ukusebenzela;  usizo; imisebenzi; 
serving	 ukukhonza; ukusiza;  ukuphaka;  ukuthumela; 
session	ukuhlangana komhlangano; 
sessions	ukuhlangana komhlangano; 
set	 cupha;  okuhambelanayo; iqoqo;  isethi; 
seta	i-seta; 
sets	 deka;  okuhambelanayo; iqoqo;  isethi; amacupha; 
settle	misa; 
settled	 akhisa; hlalisa;  misa; akha; 
settlement	ukwakha; 
settlements	ukwakha;  izindawo ezakhiweyo; 
settler	isifiki; 
settlers	izifiki; 
seven	isikhombisa; 
several	ningana; 
severe	 Ukuthi uma ugula ugule kabi noma kakhulu; kakhulu; 
sew	-thunga;  thunga; 
sewing	ukuthunga; 
sex	ubulili; 
sexual	okuphathelene nocansi; 
sexually	ngokocansi; 
shall	 siyoku-; ngiyoku-;  ngizo-; 
shape	 umumo; umfanekiso;  -bumba;  isimo; 
shaped	 baza; lolonga;  bumba;  qhuba; fanisa; 
shapes	 umumo;  imifanekiso; izimo; 
shaping	ukubumba; 
share	isabelo;  abela;  -abelana; 
shared	isabelo;  abelana;  abela; 
shareholder	umninimasheya; 
shareholders	abaninimasheya; 
shareholding	ubuninimasheya; 
shares	 abelana;  abela; izabelo; 
sharing	 izabelo;  ukwabela; ukwabelana; 
shark	ushaka; 
sharks	oshaka; 
sharp	isikhuphulo; 
she	yena (owesifazane); 
shed	 ishede; -ebuza;  igushede; 
shedding	ukwebuza; 
sheet	 ucwecwe;  ishidi; amashidi;  ikhasi lephepha; 
sheets	 izingcwecwe;  amakhasi ephepha; amashidi; 
shelter	ikhosela;  ikhaya;  indlu; 
sheriff	unobhala wenkantolo yamajaji; 
sheriffs	onobhala benkantolo yamajaji; 
shift	ishifu; 
shifted	ishifu; 
shifting	ishifu; 
shifts	ishifu; 
ship	umkhumbi; 
shipping	imikhumbi; 
ships	imikhumbi; 
shock	ukwethuka; 
shocked	ukwethuka; ukushokheka; 
shocks	ukwethuka; ukushokheka; 
shop	isitolo; 
shopping	ukuthenga; 
shops	izitolo; 
shore	ugu;  usebe; 
shores	 izingu; usebe; 
short	mfushane; 
short-term	okuphathelene nesikhathi esifushane; 
shortage	ukuphelelwa;  ukuntula; 
shortages	ukuphelelwa;  ukuntula; 
shorter	okufushane; 
shortly	 emva kwesikhashana;  kafushane; masinyane; 
shot	unyazi; 
should	past tense of shall; 
shoulders	amahlombe; 
show	khombisa; 
showcase	ibhokisi lengilazi lombukiso; 
showcasing	ukubukisa; 
showed	khombisa; 
showing	 ukubonisa;  ukwazisa;  ukuveza;  ukubukisa;  ukuqondisa; ukukhombisa;  ukubonakalisa; 
shown	khombisa; 
shows	khombisa; 
side	icala;  icala legquma;  uhlangothi; 
sign	 inkomba yesifo;  uphawu; sayina; 
signal	 inkombisa;  ukukhuluma buthule;  -hlaba umkhosi; inhlabamkhosi;  ukukhuluma kuthule; 
signals	 hlaba umkhosi; izinkombisa;  izizwambiko; izinhlabamkhosi;  ukukhuluma buthule;  ukukhuluma kuthule; 
signature	isayini; 
signed	 uphawu; sayina; 
significance	 ubunzima;  ingqondo; ukubaluleka;  ubukhulu; 
significant	 okuqhamisayo;  okunzima;  okubalulekile; okukhulu; 
significantly	nempela; 
signifies	khombisa;  bonakalisa;  baluleka;  qondisa; 
signing	 ukufaka uphawu; ukusayina; 
signs	 izimpawu;  izinkomba zesifo; sayina; 
silver	isiliva; 
similarly	kanjalo;  ngokufanayo; 
simple	lula;  -sobala; 
simply	 qhwaba; kuphela;  kalula; 
simultaneously	 ngasikhathi sinye; kanyekanye; 
since	kamuva;  ukusukela kulokho; 
sincere	okuliqiniso; okuqotho;  okuqinisile; 
sincerely	ngokuyiqiniso; kaqotho; 
sing	ukucula; 
singer	umculi; 
singing	ukukhala;  ukuhlabelela;  ukucula;  ukuhuba; 
single	-nye; 
sister	udade; 
sisters	odade; 
sit	hlala; 
site	isiza; 
sites	iziza; 
sitting	ukuhlangana kwephalamende; 
sittings	ukuhlangana kwephalamende; 
situate	beka; 
situated	beka; 
situation	 isimo; isikhundla; 
situations	izimo;  izikhundla; 
six	isithupha; 
sixth	okwesithupha; 
size	 ubungako;  usayizi; ubukhulu; 
skill	ikhono; 
skilled	 okunesandla; okuhlakaniphile; 
skills	amakhono; 
skip	ngqabashiya;  tshekula; 
slave	isigqila;  isigqili; 
slavery	 ubugqili; ubugqila; 
slaves	 izigqili; izigqila; 
slightly	kancane; 
slip	ihlumela;  shelela; 
small	 -ncane; iqolo; 
small-scale	okwenzeka ngokwamanani amancane; 
smaller	 iqolo; okuncane; 
so	 kanje;  kangaka;  kangangoba;  ngokulingene;  kanjalo; njalo; 
so-called	okuthiwa; 
soccer	 unobhutshuzwayo; ibhola elikhahlelwayo; 
social	okuphathelene nokuhlalisana kwabantu; 
socially	ngokohlalisana kwabantu; 
societal	okuphathelene nomphakathi; 
societies	 imiphakathi; izinhlangano; 
society	inhlangano;  umphakathi; 
socio-economic	okuphathelene nezenhlalo nezomnotho; 
socioeconomic	okuphathelene nezenhlalo nezomnotho; 
soil	 inhlabathi; umhlabathi; 
solar	okuphathelene nelanga; 
sold	thengisa; 
soldiers	amasosha; 
sole	isoli; 
solely	kuphela; 
solid	okuqinile;  okungancibiliki; 
solidarity	ubuqhwaqhwa; inqokothane;  ubuqukatha; 
solution	 ukuncibilikiswa;  ingxube; umphumela;  umbhubhudlo; 
solutions	 izingxube;  ukuncibilikiswa;  izixazululo; imiphumela; imibhubhudlo; 
some	 abathile; ezinye;  abanye; 
someone	umuntu othile;  omunye othile; 
something	 utho; okunye; 
sometimes	ngezinye izikhathi; 
somewhat	 ngokunye;  kancane; into;  okunye; 
son	indodanaumufo ka-; 
song	iculo; 
songs	amaculo; 
soon	 masinyane;  ngesikhashana;  masisha; ngokushesha; 
sophisticated	onolwazi ngenkambiso yomhlaba; 
sort	hlela ngononina; 
sought	 qaza; khwathaza;  cinga; funa; 
soul	umoya; 
souls	umoya; 
sound	umsindo; 
sounds	imisindo; 
source	umthombo;  isisusa; 
sources	 izisusa; imithombo; 
sourcing	 izisusa; umthombo; 
south	umzansi;  eningizimu;  iningizimu; 
southern	okwaseningizimu; 
sovereign	-bukhosi;  inkosi; 
space	 umkhathi; isikhala; 
spaces	izikhala; 
spatial	okuphathelene nolasha; 
speak	khuluma; 
speakers	usomlomo; 
speaking	ukukhuluma; 
speaks	khuluma; 
spear	umkhonto; 
special	-yisipesheli; 
specialised	okunakekela ulwazi ulwazi lwesifundo esithile esikhathiweyo; 
specialist	umpetha okhethiwe; 
specially	ngokungavamile; 
specific	-qondene ngqo; 
specifically	 uqobo; impela; 
specifications	incasiselomcikilisho; 
specified	chachisa; 
specify	chachisa; 
specimen	isiboniselo; 
specimens	iziboniselo; 
spectacular	ingcwenga yebhola; 
spectrum	imisebe yokukhanya yehlukaniswe ingilazi enezinhlangothiezintathu kwavela amabala ayo imisebe leyo; 
speech	inkulumo; 
speeches	izinkulumo; 
speed	ijubane; 
speedy	okusheshayo; 
spend	sebenzisa;  chitha; 
spending	ukusebenzisa;  ukuchitha; 
spent	sebenzisa;  chitha; 
sphere	imbulunga; 
spheres	imbulunga; 
spirit	umoya; 
spiritual	 okomoya; ngokomoya; 
split	klaya;  -ehlukanisa; 
spoke	 xoxa; khuluma; 
spoken	khuluma; 
spokesperson	 usomlomo; umkhulumeli; 
sponsored	okuxhasiwe; 
sport	 ukudlala; umdlalo; 
sporting	okuyidlaba; 
sports	umdlalo; 
spotlight	ukukhanya okungaqondiswa nakuliphi ibala okwenza ukuba omiyo lapho aqhame;  ilambu lemoto elingajikiswa libhekiswe nakuphi; 
spouse	owakwami; 
spouses	abakwami; 
spread	 -sakaza; hlwanyela;  -andisa; 
square	inkundla;  isikwele;  phindaphinda;  hlukanisa kane; 
stabilise	qinisa; 
stability	ukuzinza; 
stable	isitebele; 
stadium	inkundla yokubukela imidlalo; 
stadiums	izinkundla zokubukela imidlalo; 
staff	isitafu; 
stage	isigaba;  isigcawu;  isiteji;  ibanga; 
stages	 izigcawu;  izigaba; amabanga; iziteji; 
staging	ukuhlela ngezigaba zesifo; 
stakeholders	ababambiqhaza; 
stalwart	isiqumama; 
stalwarts	iziqumama; 
stamp	isitembu; 
stance	isimo sokuma; 
stand	umpheme wokubukela; 
standard	ibanga;  umgomo; 
standardised	okuvumelanisiwe; 
standardization	ukuvanyiswa; 
standards	imigomo;  amabanga; 
standing	umpheme wokubukela; izimisi; 
stands	imipheme yokubukela; izimisi; 
stanza	indima;  indimana yenkondlo; 
star	inkanyezi; 
stars	izinkanyezi; 
start	qala; 
started	qala; 
starting	qala; 
starts	qala; 
state	umbuso;  isimo; 
state-owned	okombuso; 
stated	umbuso; 
statement	isitetimente; 
statements	isitetimente semali; 
states	izimo;  imibuso; 
stating	umbuso;  isimo; 
station	isiteshi; 
stationery	okokubhala; 
stations	iziteshi; 
statistical	okuphathelene nezibalo; 
statistician-general	usizibalo jikelele; 
statistics	 istathistiksi; izibalo; 
statue	izimiso;  isithombe setshe; 
stature	 ummomo; ubude; 
status	 ukuma; isikhundla; 
statutes	imithethomgomo yephalamende; 
statutory	okuphathelene nomthetho; 
stay	 libala; hlala;  sekela;  phasa; 
steadily	ngokubekile; 
steal	-ntshontsha; 
steel	 insimbi elukhuni; insimbi; 
steer	qondisa; 
steering	ukuqondisa; 
step	isigaba;  ibanga; 
steps	 izigaba; amabanga; izitebhu; 
sterling	upondo waseNgilandi; isitelingi;  okuqatha; 
still	thulisa; 
stimulate	vusa; 
stimulating	ukuvusa; 
stipulate	phawula; 
stipulated	phawula; 
stock	 imfuyo; impahla; 
stolen	ntshontsha; 
stone	 istoni; inhlamvu;  -khipha inhlamvu; 
stood	umpheme wokubukela; isimisi; 
stop	ma;  vimba;  vimbela; 
storage	ukugcina;  ukulondolozela; 
store	 -gcina;  khweza; gcina;  indawo yokukhweza impahla; 
stored	 khweza; gcina;  indawo yokukhweza impahla; 
stories	izindaba; 
storm	isiphepho; 
story	indaba; 
storyteller	umlandi; 
storytellers	abalandi; 
storytelling	ukuxoxa inganekwane; 
strategic	okwamasu; 
strategies	amasu; 
strategy	isu; 
stream	umfudlana; 
streams	imifudlana; 
street	 isigcizilelo; umgwaqo;  isitaladi; 
streets	izigcizilelo;  izitaladi; imigwaqo; 
strength	amandla; 
strengthen	qinisa;  nika amandla; 
strengthened	qinisa;  nika amandla; 
strengthening	 ukunika amandla; ukuqinisa; 
stress	ingcindezi;  ukucindezeleka;  gcizelela isigcizilelo; 
strict	-hambisa ngomthetho; 
strides	amagxathu; 
strike	ukuteleka; 
string	intambo; 
strip	 umdweshu wendwangu; umdweshu;  -dweshula; 
strips	 imidweshu yendwangu;  dweshula; imidweshu; 
strive	lwa; 
striving	ukulwa; 
strong	okunamandla; 
stronger	okunamandla kunokunye; 
strongly	ngamandla; 
struck	ukuteleka; 
structural	okuphathelene nesimo sokwakhiwa; 
structure	isakhiwo; 
structured	isakhiwo; 
structures	izakhiwo; 
struggle	 zabalaza; umzamo; 
struggles	 zabalaza; umzamo; 
struggling	ukuzama;  ukuzabalaza; 
student	umfundi; 
students	abafundi; 
studies	tadisha; 
studio	indlu yokusakaza; 
studios	izindlu zokusakaza; 
study	ikutadisha; 
style	 uthi lwesizalo;  isu lokubhala;  uthi lwesizalo sembali; indlela; 
sub	imali ekhishelwayo; 
sub-item	okuyingxenye yokukhulu; 
sub-programme	uhlelo olungaphansi kolukhulu; 
sub-regulation	isigatshana sesimiso; 
subject	 ingqikithi;  beka phansi komthetho; inhloko;  ophansi komthetho; 
subjected	 ingqikithi;  beka phansi komthetho; inhloko;  ophansi komthetho; 
subjects	 beka phansi komthetho;  abaphansi komthetho; izinhloko;  izingqikithi; 
submission	isethulo; 
submissions	izethulo; 
submit	zisa;  yisa; 
submitted	zisa;  yisa; 
submitting	ukusa; 
subparagraph	isigatshana; 
subpoena	isamanisi lokubiza ufakazi; 
subpoenaed	isamanisi lokubiza ufakazi; 
subscribe	 nikela imali; vuma; 
subscribed	 nikela imali; vuma; 
subsection	isigatshana; 
subsections	izigatshana; 
subsequent	-landela lapho; 
subsequently	okulandelayo; 
subsidiary	okusizayo; okuphansi kwa-; 
subsidies	imali yokwelekelela; 
subsidy	imali yokwelekelela; 
subsistence	okwendlela; okokukhokhela izindleko; 
substance	 utho; into; 
substances	izinto; 
substantial	 okuzwakalayo;  okubonakalayo;  okuqatha; okukhulu; 
substantially	kakhulu; 
substantive	usobizo ummeli; 
substitute	umdlali ofakiwe;  bambela; 
substituted	umdlali ofakiwe;  bambela; 
substitutes	umdlali ofakiwe;  bambela; 
substituting	 umdlali ofakiwe; ukubambela; 
substitution	ukumela;  ukushintsha umdlali; 
succeed	ukulandela; 
succeeded	ukulandela; 
success	impumelelo; 
successes	impumelelo; 
successfully	ngempumelelo; 
succession	okulandelene;  ukwelama; ukulandelana; 
successor	olandelayo esikhundleni; 
such	 okunjeya;  okunjalo; okunje; 
suffer	vumela;  vuma; hlupheka; 
suffered	vumela;  vuma; hlupheka; 
suffering	ubuhlungu; 
sufficient	-yenele; 
sufficiently	ngokulingeneyo; 
sugar	ushukela; 
suggest	shono; 
suggested	shono; 
suggestion	isiphakamiso; 
suggestions	iziphakamiso; 
suggests	shono; 
suitably	ngokufanele; 
sum	 isamba; isibalo; 
summary	iqoqo lokubalulekile; 
summer	ihlobo; 
summit	 isiqongo; ingqungquthela; 
summits	izingqungquthela;  iziqongo; 
summoned	biza;  mema; 
summons	isamaniso; 
sun	ilanga; 
sung	 hlabelela;  cula; huba; 
superior	-ngaphezulu; 
supervisees	abaphethwe;  ababhekiwe; 
supervision	ukwalusa; 
supervisory	okuhlolayo; 
supplement	isithasiselo; 
supplementary	okwenezelayo; 
