APRIL	Lambamai; 
relationship	vhushaka; 
relationships	vhushaka; vhufunani; 
relative	 -vhushaka; shaka; 
relatively	 mbambedzo; linganaho; 
relatives	ḽiitiḽiṱaluli; vhushaka;  mashaka; 
release	-vhofholola;  anḓadza; 
released	vhofholola;  anḓadza; 
releases	vhofholola;  anḓadza; 
relevance	ndeme; 
relevant	tshimbilelanaho; 
reliable	fulufhedzeaho; 
religion	vhurereli; 
religions	vhurereli; 
religious	-vhurereli; 
rely	 pika;  fhulufhela; fulufhela;  fulufhedza;  fhulufhedza; 
remain	sala; 
remainder	salaho; 
remained	sala; 
remaining	sala; 
remains	masalela; 
remand	 valelwa dzhele;  humiselwa dzhele; khothoni; 
remarkable	 tshimangadzo; tshi eleliwaho; 
remarks	mihumbulo;  limuha;  elelwa; 
remedies	dzilafho; 
remedy	dzilafho; 
remember	humbula;  elelwa; 
remembered	humbula;  elelwa; 
remembrance	tshihumbudzo;  khumbulo;  khumbudzo; 
remind	 tsivhudza;  humbudza; eletshedza; 
reminded	eletshedzwa;  humbudzwa;  tsivhudzwa; 
reminder	 nyeletshedzo; tsivhudzo; tshihumbudzi; 
reminders	 zwihumbudzi;  nyeletshedzo; tsivhudzo; 
remote	kule; 
removal	 tsiruswa;  sudzuluswa;  fulwa;  tibula; bviswa;  ṱuwa;  thathwa; bvulwa;  rulwa; 
remove	 tsiruswa;  fulwa;  tibula;  sudzuluwa;  ṱuwa; bvisa;  thatha; bvulwa;  rulwa; 
removed	 tsiruswa;  sudzuluswa;  fulwa;  tibula; bviswa;  ṱuwa;  thathwa; bvulwa;  rulwa; 
removing	 tsiruswa;  fulwa;  tibula;  sudzuluwa;  ṱuwa; bvisa;  thatha; bvulwa;  rulwa; 
remuneration	madelo;  malamba; muholo; 
renaissance	mbebuluwo; 
renamed	rinahafhu; 
renaming	rinahafhu; 
render	ṋetshedza; dzhia tsheo; luḓea; kunakisa;  fhungudza; pfutelelo; 
rendered	tsheo;  pfutelelo;  luḓea;  fhungudza;  kunakisa; 
rendering	tsheo;  pfutelelo;  luḓea;  fhungudza;  kunakisa; 
renew	 vusulusa; vusuludza; 
renewable	vusuludzwaho; 
renewal	u vusulusa; 
renewed	 vusulusa; vusuludza; 
renovations	 shandula; mvusuludzo;  lugisa; 
renowned	bvumo;  ḓivheaho; 
rent	 -hira; rennde; 
rental	 rennde; hira; 
repair	-lugisa; 
repairs	lugisa; 
repatriation	thivhelwa;  humiswa;  pandela; swakuliswa; 
repeal	fhelisa mafhungo o tendiwaho; 
repealed	fheliswa ha mafhungo o tendiwaho; 
repeals	fhelisa mafhungo o tendiwaho; 
repeat	 -dovholola; dovha; 
replace	 -thivha vhudzulo; bvisa;  tshintsha; 
replaced	 thivha; bvisa;  tshintsha; 
replacement	thivhatshidzulo; 
replies	fhindula; 
reply	fhindula; 
report	muvhigo;  vhiga; 
report-back	vhiga; 
reported	muvhigo;  vhiga; 
reporting	muvhigo;  vhiga; 
reports	 mivhigo; vhiga; 
reposition	 sudzuluwa; pfuluwa; 
repositioning	 sudzuluwa; pfuluwa; 
repository	tshiko;  mbulungelo; 
represent	imela; 
representation	 vhuimeleli; vhuimeli; 
representations	 vhuimeleli; vhuimeli; 
representative	 muimeleli; muimeli; 
representatives	vhaimeleli;  vhaimeli; 
represented	imela; imelalela; 
representing	imela; imelalela; 
represents	imela; imelalela; 
repressive	tshiṱuhu; muimawoga; tsikeledzwa; 
republics	riphabuḽiki; 
request	khumbelo; 
requested	khumbelo; 
requester	muhumbeli; 
requesting	khumbelo; 
requests	khumbelo; 
require	-ṱoḓa; 
required	ṱoḓa; 
requirement	ṱhoḓea; 
requirements	ṱhoḓea; 
requires	ṱoḓa; 
requiring	ṱoḓa; 
requisite	 zwa mutheo;  zwa ndeme; ṱhoḓea; 
rescue	phulusa;  u phulusa; 
research	ṱhoḓisiso; 
researcher	muṱoḓisisi; 
researchers	vhaṱoḓisisi; 
reservation	vhaledza; 
reserve	 -vhulunga; muthivhi; 
reserved	 vhetshelwa thungo; tsho fhumulaho; vhaledzwa; 
reserves	 vhaledza;  muthivhi; vhulunga; 
residence	vhudzulo; 
resident	mudzuli; 
residential	vhudzulo; 
residents	vhadzuli; 
resides	dzula;  fhaṱa; 
residing	dzula;  fhaṱa; 
resignation	tsiruwo; 
resilience	 maanḓa a muya;  vhutepe; muya; 
resolution	tsheo; 
resolutions	tsheo; 
resolve	u tandulula; 
resolved	tandulula; 
resolving	u tandulula; 
resounding	 sa tea;  sa vhudziswi; vhukuma;  ngoho; 
resource	tshiko; 
resources	zwiko; 
respect	 ṱhonifho; khuliso;  u ṱhonifha; 
respected	 ṱhonifho;  ṱhonifha; khuliso; 
respective	 kwameaho; ndivhano; teaho;  fhambanaho; 
respectively	nga ndivhano; 
respects	 ṱhonifho;  ṱhonifha; khuliso; 
respond	fhindula; 
responded	fhindula; 
respondent	mufhinduli;  muvhudziswa; 
respondents	 vhavhudziswa; vhafhinduli; 
responding	fhindula; 
responds	fhindula; 
response	phindulo; 
responses	phindulo; 
responsibilities	vhuḓifhinduleli; 
responsibility	vhuḓifhinduleli; 
responsible	 -vhuḓifhinduleli; vhuḓifhinduleli; 
responsive	fhindula; 
rest	awela; 
restitution	pfumedzano ya nzekano; 
restoration	 vusuludza;  mbuedzedzo;  vhuedzedza; lugisa; 
restorative	 fhodza; lafha; 
restore	vhuedzedza; 
restored	vhuedzedza; 
restoring	vhuedzedza; 
restraint	vhetshelwa mikano; 
restricted	vhetshelwa mikano; 
restriction	mikano;  masakha; 
restrictions	mikano;  masakha; 
restructuring	dzudzanyulula; 
result	 mvelelo; mbuelo; 
resulted	 mvelelo; khovhelo; mbuelo;  nyandiselo;  thekenyelo; 
resulting	 mvelelo; khovhelo; mbuelo;  nyandiselo;  thekenyelo; 
results	 mvelelo; khovhelo; mbuelo;  nyandiselo;  thekenyelo; 
retail	thengo nga zwiṱuku; 
retain	fara;  vhulunga;  lambela; 
retained	 lambela; farwa;  vhulungwa; 
retention	fara;  vhulunga;  lambela; 
retired	pensheni; awela;  notha; 
retirement	 pensheni;  awela;  notha; 
retrieval	dzhiulula; 
return	 huma;  orowa;  humela murahu; vhuya; 
returned	 huma;  orowa;  humela murahu; vhuya; 
returns	mbelo;  huma;  orowa;  humela murahu; vhuya; 
reveal	 dzumbulula; bula;  ambulula; 
revealed	 dzumbululwa;  ambululwa; bulwa; 
revenue	 muthelo wa mbuelo; mbuelo; 
revenues	mbuelo;  mithelo ya mbuelo; 
reverse	 phambano;  huma; fhindula;  humisa; rivese;  rivesa; 
review	 tandula;  ṱolela; sedzulusa;  sengulusa; 
reviewed	 tandulwa; sedzuluswa; ṱolelwa;  senguluswa; 
reviewing	 tandula;  ṱolela; sedzulusa;  sengulusa; 
reviews	 tandula;  ṱolela; sedzulusa;  sengulusa; 
revised	sedzulula; 
revision	ndovhololo; 
revisions	ndovholoso; ndovhololo; 
revitalisation	 vusuludza; mvusuludzo; 
revoke	thutha;  phumula; 
revolution	 mumono; mutengelele wo fhelelaho; 
revolutionary	-mvutshelano;  muvutsheli; 
reward	 malamba; muholo; 
rhino	tshugulu; 
rich	pfuma;  pfumaho;  mupfumi; 
right	pfanelo;  tsha u ḽa;  zwone; 
rightful	 ndinganelo;  fanelaho lwa mulayo; fanelaho; 
rights	pfanelo;  ndugelo; 
rise	-gonyela nṱha; 
rising	 kukumuwa ;  vuwa lufuni;  bva;  takuwa;  vhafuni; vuwa;  fhinduwa;  buba;  gonya; 
risk	khonadzeo ya khombo; 
risks	khonadzeo ya khombo; 
river	mulambo; 
rivers	milambo; 
road	bada;  gondo; 
roads	 magondo; bada; 
robust	ya maanḓa;  yo khwaṱhaho; 
rock	tombo ḽa lubaba; 
rod	lutanda; 
role-players	vhatambi; 
roles	mishumo; 
roll	bele; 
roll-out	 rwelwa ṱari;  ṱano ḽa mathomo; adza; bandedza;  ḓivhadzwa;  vhanyuludza;  phaḓaladza; 
rolled	bele; 
rolling	peta;  dzinginyea ha tshikepe;  kungulusa;  adzulula;  finya;  kunguluwa;  vhumbuluwa;  bidigama; bidiga;  phigulusa;  phiguluwa;  vhumbulusa; 
rollout	 rwelwa ṱari;  ṱano ḽa mathomo; adza; bandedza;  ḓivhadzwa;  vhanyuludza;  phaḓaladza; 
rolls	 kungulusa;  bidiga;  adzulula;  finya;  kunguluwa;  vhumbuluwa;  bidigama;  peta;  phigulusa;  phiguluwa;  rolo;  vhumbulusa; bale; bele; 
room	 kamara; rumu;  lufhera; 
rooms	 kamara;  phera; rumu; 
root	mudzi; 
rooted	 tupulwa; simiwa; 
roots	vhubvo;  midzi; 
rose	gonyela nṱha; 
round	 -mona na;  khungulu; tshipulumbu;  kate;  -mutengelele;  phikhulano; 
rounded	 mutengelele;  khungulu; tshipulumbu;  kate;  mona na;  phikhulano; 
roundtable	nyambedzano;  therisano;  muṱangano;  mufhindulano; 
route	nḓila; 
routes	nḓila; 
routine	maitele;  maitele o ḓoweleaho; 
royal	vhuhosi;  vhukololo; 
royalties	 vhurena;  vhuhosi; mbadelo; 
royalty	 vhurena; vhuhosi; 
rugby	ragabii; 
rule	mulayo;  rula;  ndayo; 
rules	milayo;  mivhuso;  ndayo; 
ruling	tsheo; 
rulings	tsheo; 
run	 gidima;  dodoma; shavha; 
running	-fara; 
runs	 gidima;  dodoma; shavha; 
rural	-mavhalani;  -mahayani; 
sacred	 -khethwa; khethwa; 
sacrifice	tshidzimu; 
sacrifices	tshidzimu; 
sad	bilufhala; 
saddened	ṱungufhadzwa; 
sadness	u ṱungufhala; 
safe	tsireledzo;  sefo;  vhulungea;  -vhulungwaho; 
safeguard	u tsireledza; 
safeguarding	tsireledza; 
safety	tsireledzo; 
said	vho ri; ori; 
salaries	miholo; 
salary	muholo; 
sales	mbambadzo;  thengiso; mutshipiso; sele; 
salute	vusa;  salutha;  resha;  lumelisa;  losha; saluthi; 
same	-fana; 
sample	sambula; 
samples	sambula; 
sampling	u ita sambula; 
sanction	mulayo wa nyiledzo; 
sanctions	mulayo wa nyiledzo; 
sap	maḓi; 
saps	maḓi; 
satellite	satheḽaithi; 
satisfaction	pfusho; 
satisfactory	 pfusho; fushaho; 
satisfied	fushea; 
satisfies	fusha; 
satisfy	-fusha; 
save	 thivha;  sengedza; vhulunga; 
saving	 thivha;  sengedza; vhulunga; 
savings	tshelede yo vhulungwaho; 
saw	saha; 
say	 vhudza; amba; 
saying	luambo;  maipfi;  ḽiambele; 
says	 vhudza; amba; 
scale	 makwanda;  gwanda;  tshikali tsha mapa;  goko; tshikalo; 
scarce	-shaeaho; 
scene	bono; 
scenes	bono; 
schedule	shedulu; 
scheduled	shedulu; sheduḽu; 
schedules	shedulu; sheduḽu; 
scheduling	shedulu; sheduḽu; 
schemes	zwikimu; 
scholar	 muḓivhi; ṅwana wa tshikolo; mugudiswa; 
scholars	vhana vha tshikolo;  vhaḓivhi; vhagudiswa; 
school	 tshikolo tsha phuraimari ya fhasi;  tshikolo tsha phuraimari ya nṱha; tshikolo;  tshikolo tsha sekondari; 
schooling	dzhena tshikolo; 
schools	 zwikolo zwa sekondari;  zwikolo zwa phuraimari ya fhasi; zwikolo;  zwikolo zwa phuraimari ya nṱha; 
science	saintsi; 
sciences	saintsi; 
scientific	-saintsi; 
scope	muangarambo;  tshikoupu; 
score	 fumbili; mvelelo;  -kora;  kora;  tshikoro; 
scorecard	muvhigo; 
scoring	 fumbili; mvelelo;  kora;  tshikoro; 
scourge	 u rwa; mboma;  phamba; 
screen	 u ṱhaṱhuvha; tshikirini; 
screening	nanguludza; hasha;  tsira; 
script	maṅwalwa; 
scrutinise	 ṱoḓisisa;  linga; sedzulusa;  sengulusa;  sedzesa; 
scrutiny	 tsenguluso; ndingo;  tsedzuluso;  ṱhoḓisiso; 
sculpture	 vhuvhaḓaive; vhuvhaḓi; 
sea	lwanzhe; 
seal	sili;  -thivha; 
sealed	 thivha; nambatedzwa; sili; 
search	tandula; ṱoḓa; livhalivha; 
searched	tandula; ṱoḓa; livhalivha; 
season	khalaṅwaha; 
seasonal	nga tshifhinga; 
seasons	khalaṅwaha; 
seat	 tshidulo; musanda; 
seats	 tshidulo; musanda; 
sec	the; 
second	 muthethe; -ima na;  -vhuvhili; 
secondary	tshiṱuku; 
secondly	tsha vhuvhili; 
secret	tshiphiri;  tshibulebule;  tshidzumbe; 
secretariat	vhuṅwaleli; 
secretary	muṅwaleli; 
secretary-general	muṅwaleli muhulu; muṅwaleli dzheneraḽa; 
section	 tshipiḓa; khethekanyo; 
sectional	khethekanyo; 
sections	 zwipiḓa; khethekanyo; 
sector	 sekhithara; khethekanyo; 
sectors	 sekhithara; khethekanyo; 
secure	 -tsireledza; -tsireledzwaho; 
secured	tsireledza;  tsireledzwaho; 
securing	tsireledza;  tsireledzwaho; 
securities	tsireledzo;  vhutsireledzi; 
security	tsireledzo;  vhutsireledzi; 
see	vhona;  lavhelesa;  sedza; 
seeing	 hufha; vhunga; 
seek	 ṱoḓa; livhalivha; 
seeking	 ṱoḓa; livhalivha; 
seeks	 ṱoḓa; livhalivha; 
seem	 zwi vhonala; zwinga; 
seems	 zwi vhonala; zwinga; 
seen	sedzwa;  vhonwa; 
segment	dungo;  tshipiḓa; 
segregation	khethululo; 
seize	 dzhavhula;  thuba;  fara; dzhia; 
seized	dzhiwa;  thubwa;  farwa; dzhavhulwa; 
seizure	tshiririvha; 
select	nanga; khetha; 
selected	 nangwa; khethwa; 
selection	khetho; 
self	vhone vhaṋe; ṋe; ene muṋe; 
self-determination	vhuḓiimiseli; 
self-sufficiency	ḓiimisa nga eṱhe; vhuḓilangi; ḓiimisa; 
selfless	 ḓikumedzela;  sa dzima; kovha;  sa vha na vhutshivha; 
sell	rengisa;  -rengisa; 
selling	rengisa; 
seminar	semina; 
seminars	semina; 
send	rumela;  ruma; 
sending	rumela; 
sends	rumela;  ruma; 
senior	fhira muṅwe nga miṅwaha; muhulwane; 
sense	 tshipfi; zwipfi; 
sensitive	tata; 
sent	rumela;  ruma; 
sentence	 khaṱhulo; fhungo;  tshigwevho;  mutaladzi;  -haṱula; 
sentenced	 haṱula;  khaṱhulo; fhungo;  tshigwevho;  mutaladzi; 
sentences	 haṱula;  khaṱhulo; fhungo;  mutaladzi;  zwigwevho; 
sentencing	 haṱula;  khaṱhulo; fhungo;  tshigwevho;  mutaladzi; 
separate	fhambanyisa;  -fhambanyiswaho;  -fhandekanya;  -fhambanyisa; 
separated	fhambanyisa;  fhandekanya;  fhambanyiswaho; 
separately	 fhambanyisa; fhambanya;  khethekanya; 
separation	 phambanyiso; khethekanyo; 
sequestration	 dzhiwa murahu; fara;  thuba nga maanḓa; 
series	 serisi; tsielano; 
serious	tshi itwaho nga ngelekanyo; 
seriously	 nga u fulufhedza;  nga ngoho; nga ngelekanyo;  nga maanḓa ; 
servants	 vhalanda; vhashumeli; 
serve	 -shuma; rumela; 
served	 rumela; shuma; 
serves	 rumela; shuma; 
service	 sevisi; tshumelo;  mushumo; sevisa;  thabelo; 
serviced	sevisiwa; 
services	 mishumo;  dzithabelo; sevisi; tshumelo; 
serving	 rumela; shuma; 
session	tshipiḓa; 
sessions	zwipiḓa; 
set	 mutavha;  sethe; rea; 
sets	 ḓeka;  mutavha;  sethe; rea; 
setting	 maḓekele; nyimele;  fhethuvhupo; 
settle	dzudza; 
settled	 dzulisea;  haṱulwa; fhedzwa;  lifhiwa; 
settlements	mudzudzo; 
settler	musetelare; 
settlers	museteḽara;  museteḽare; 
seven	sumbe; 
several	-vhalaho; 
severe	 zwo kalulaho; tshi re na maanḓa; 
sew	runga; 
sewing	runga; rungu; 
sex	mbeu;  u lalana; 
sexual	zwa u lalana; 
sexually	zwa vhudzekani; 
shall	ḓo; 
shape	 -ṋea tshivhumbeo; tshivhumbeo; 
shaped	vhumbea; 
shapes	 ṋea tshivhumbeo; zwivhumbeo; 
shaping	shandukisa tshivhumbeo; 
share	mukovhe;  u kovha; 
shared	mukovhe; shumisa roṱhe;  kovha; 
shareholder	mufaramukovhe; 
shareholders	mufaramukovhe; 
shareholding	vhufaramikovhe; 
shares	shumisa roṱhe;  kovha; mikovhe; 
sharing	mukovhe; shumisa roṱhe;  kovha; 
shark	shaka; 
sharks	shaka; 
sharp	 shaphu; fhiraho; 
she	wa, a;  tsha tsadzi; 
shed	-ḓuvhudza; 
shedding	ḓuvhudza; swotola; 
sheet	ṱari;  lagane; 
sheets	maṱari;  malagane; 
shelter	vhukhudo;  tshitsireledzi; 
sheriff	musherifu; mukoma; 
sheriffs	vhakoma; vhaḓinḓa vha khothe; 
shifted	diso; 
shifting	diso; 
shifts	madiso; 
ship	tshikepe;  ngalavha; 
shipping	rumela;  endedza;  phaḓaladza;  nḓisedzo; 
ships	zwikepe;  ngalavha; 
shock	dzhenuwo; 
shocked	dzhenuwo; 
shocks	dzhenuwo; 
shop	vhengele; 
shopping	u renga; 
shops	mavhengele;  mashopho; 
shore	khunzikhunzini;  vhugabelelo; 
shores	khunzikhunzini;  vhugabelelo; 
short	pfufhi; 
short-term	tshifhinga tshipfufhi; 
shortage	ṱhahelelo; 
shortages	ṱhahelelo; 
shorter	pfufhi; 
shortly	hu si kale; 
should	tea;  fanela; 
shoulders	shaḓa; 
show	-sumbedza; 
showcase	ṱano; 
showcasing	sumbedza;  ṱana; 
showed	sumbedza; 
showing	 vhonala;  ṱana;  sumbedza;  sumba; 
shown	sumbedza; 
shows	sumbedza; 
side	 thungo ya sila;  -thungo; sia;  bama; 
sign	 tsumbadwadze; tshiga;  -saina; 
signal	ngafhadzo;  -gafhadza; 
signals	 siginaḽa;  gafhadza; afhadza; ngafhadzo; 
signature	tsaino; 
signed	 tshiga;  tsumbadwadze; saina; 
significance	zwa ndeme; 
significant	ndeme; 
significantly	zwa ndeme; 
signifies	ḓivhisa; tsumbedzo; 
signing	 tshiga;  tsumbadwadze; saina; 
signs	 saina;  tsumbadwadze; zwiga; 
similar	fanaho;  -elana; 
similarly	fana; 
simple	 -leluwaho; zwayo; 
simply	 fhedza; fhedzi;  sokou; 
simultaneously	khathihi;  mazha; 
since	 u bva;  hufha; tshi tsheetsho;  u ṱuwa; vhunga; 
sincere	 tshavhuḓi; tshivhuya; 
sincerely	 nga mbilu yoṱhe; nga ngoho; 
sing	imba; 
singer	muimbi; 
singing	 imba; 
sister	mukomana;  murathu wa musidzana;  khaladzi wa musidzana; 
sisters	 khaladzi dza vhasidzana;  vharathu vha vhasidzana; vhakomana; 
sit	dzula;  tandavhala; 
site	fhethu; 
sites	fhethu; 
sitting	dzulo; 
sittings	dzulo; 
situated	tsho dzulaho; 
situation	vhuimo;  nyimele; 
situations	vhuimo;  nyimele; 
six	ṱhanu na nthihi; 
sixth	tsha rathi;  tsharathi; 
size	vhuhulu;  muelo; 
skill	vhukoni;  vhutsila;  nḓivho; 
skilled	 vha na vhukoni;  vha na vhutsila; 
skills	 zwikili; vhukoni;  vhutsila; 
slave	phuli; 
slavery	vhupuli; 
slaves	phuli; 
slightly	 zwiṱukuṱuku; zwiṱuku; 
slip	 u suvha; tshitumulwa; 
slow	u dedengela;  ongolowa; 
small	ṱhukhu; 
small-scale	zwiṱuku; 
smaller	ṱhukhu; 
so	zwino; 
so-called	vha nopfi; zwi vhidzwa; 
soccer	futhibola; 
social	matshilisano; 
socially	zwa matshilisano; 
societal	 kovhana;  tshigwaga;  zwa vhoṱhe;  vhoṱhe; tshitshavha; matshilisano; 
societies	 zwitshavha;  vhapo; madzangano; 
society	tshitshavha;  vhapo;  dzangano; 
socio-economic	matshilisano a ikonomo; 
socioeconomic	matshilisano a ikonomo; 
soil	mavu; 
solar	ḓuvha; 
sold	rengisa; 
soldiers	maswole; 
sole	tshirethe; 
solely	 fhedza; zwenezwo fhedzi; 
solid	-tshiomate;  -tsho omaho;  tshiomate; 
solution	 tshiluḓi; thandululo; 
solutions	 muṋwelo;  tshiluḓi; thandululo; thasululo;  munwelo; 
some	zwiṅwe;  muṅwe;  dziṅwe; 
someone	muṅwe muthu; 
something	tshiṅwe tshithu; 
sometimes	 tshiṅwe tshifhinga; tshikhathi;  ḽiṅwe ḓuvha; 
somewhat	 nyana;  tshi sa solise; khwine;  tsha vhuḓ; 
son	murwa; 
song	luimbo; 
songs	nyimbo; 
soon	zwenezwino;  nga tshihaḓu;  nga u ṱavhanya; 
sophisticated	serekanaho; tserekano;  maimo a nṱha; 
sort	-nanguludza;  -dzudzanya; 
sought	 ṱoḓa;  ṱhoḓea; ṱoḓea; 
soul	muthu;  muya;  mbilu ya maanḓa; 
souls	muthu;  mimuya; 
sound	mubvumo; 
sounds	mibvumo; 
source	tshiko;  tshisima; 
sources	 zwisima; zwiko; 
sourcing	tshiko;  tshisima; 
south	tshipembe; 
southern	tshipembe; 
sovereign	 khosikhulu; vhuḓivhusi; 
space	tshikhala; 
spaces	zwikhala; 
spatial	 mutalambavhi; vhunṱha; mutalobuḓo; 
speak	amba; 
speaker	 mulangadzulo; muambi;  tshipikara; 
speakers	 vhalangadzulo; zwipikara; vhaambi; 
speaking	amba; 
speaks	amba; 
spear	pfumo; 
special	 i si ya misi; khetheaho; 
specialisation	vhugudeli; 
specialised	vhugudeleli; 
specially	khetheaho; 
species	lushaka; 
specific	-tiwaho; 
specifically	tiwaho; 
specification	vhusumbedzi; 
specifications	vhusumbedzi; 
specified	vhalela; 
specify	-vhalela; 
specimen	tsumbo; 
specimens	zwisumbedzwa; tsumbo; 
spectacular	mutambo wa maimo; 
spectrum	tshakatshaka; 
speech	 muambo; tshipitshi; 
speeches	 zwipitshi; muambo; 
speed	luvhilo; 
speedy	nga tshihaḓu;  nga u ṱavhanyedza;  nga luvhilo; 
spend	 fhedza; shumisa; 
spending	 fhedza; shumisa; 
spent	fhedza;  ṱwa;  shumisa tshelede; 
sphere	khungulu; 
spheres	khungulu; 
spirit	muya; 
spiritual	 -muya; muya; 
split	-fhandekanya; 
spoken	amba; 
spokesperson	muambeli; 
sponsored	lambedzwa; 
sport	mutambo; 
sporting	zwa mitambo; 
sports	mutambo; 
spotlight	lumba; ndumbo fokusi;  kunga maṱo; sedzwaho; 
spouse	mufarisi;  mufunwa; 
spouses	vhafarisi;  vhafunwa; 
spread	 -endela;  -phaḓalala; phaḓaladza; 
square	tshikwea; 
stability	vhudziki; 
stable	tshi sa shandukiho; tsho khwaṱhaho;  tshitale; 
stadium	tshitediamu; 
stadiums	zwitediamu; 
staff	vhashumi; 
stage	 tshiteidzhi;  tshitediamu;  vhugalatenga; ḽiga; 
stages	zwiteidzhi; 
staging	khethekanyo ya tshiimo tsha vhulwadze; 
stakeholder	mushelamulenzhe; 
stakeholders	vhadzhiamikovhe; vhashelamulenzhe; 
stalwarts	gala; 
stamp	tshiṱemmbe; 
stance	vhuimo; 
standard	 tshilinganyo; murole; 
standardised	linganywaho; 
standardization	 linganyisa;  linganya; 
standards	 mirole; zwilinganyo; 
standing	tshitiki; 
stands	tshitiki; 
stanza	 vese; ndima; 
stars	ṋaledzi; 
start	thoma; 
started	thoma; 
starting	thoma; 
starts	thoma; 
state	muvhuso;  nyimele;  shango; 
state-owned	zwi langwaho nga muvhuso; 
stated	muvhuso;  nyimele;  shango; 
statement	fhungo; 
states	 nyimele; mashango;  mivhuso; 
stating	muvhuso;  nyimele;  shango; 
stationery	vhuṅwali; 
stations	zwiṱitshi; 
statistical	zwa dzimbalombalo;  zwa zwitatistika; 
statistician-general	radzimbalombalo muhulu; 
statistics	tshitatistiki; 
stature	mulayo; 
status	maimo; 
statute	mulayo; 
statutes	mulayo; 
statutory	zwa mulayo; 
stay	 imisa; dzedza;  ima; dzula;  tshesa; 
steadily	 nga zwiṱuku nga zwiṱuku; tshi sa shandukiho; tsho khwaṱhaho; 
steady	tsho khwaṱhaho; 
steal	tswa; 
steel	tsimbi; 
steer	tshimbidza; 
steering	tshimbidza; 
step	tshiṱepe; 
steps	maga; 
sterling	 ya vhukuma; ya ngoho; 
still	 fhumudza;  dzikisa;  kha ḓi;  tsho fhumulaho; tshee; 
stimulate	karusa; 
stimulating	karusa; 
stipulate	pfana; 
stipulated	pfana; 
stock	mukovhe;  zwifuwo;  thakha; 
stolen	tswa; 
stone	thambo;  -bvisa thambo; 
stood	tshitiki; 
stop	 imisa;  ima;  guma; tsha;  litsha; 
storage	u vhulunga; 
store	 -vhulunga; vhulunga;  mbulungelo; 
stored	vhulunga;  mbulungelo; 
stories	 nganetshelo zwiṱori; nganea; 
storm	ḓumbu; 
story	tshiṱori; 
storyteller	muanetsheli; 
storytellers	vhaanetsheli; 
storytelling	u anetshela nganea; 
strategic	tshiṱirathedziki; 
strategies	zwiṱirathedzi; 
stream	ludambwana; 
streams	milambo; zwiṱirimu; 
street	tshiṱaraṱa; 
streets	zwiṱarata; zwiṱaraṱa; 
strength	u dzia; 
strengthen	 khwaṱha;  dzwiḓela; khwaṱhisa; 
strengthened	khwaṱhiswa; 
stress	mutsiko; 
strict	vhutevheleli; tshiyaho nga mulayo;  tsha vhutevheleli; 
strides	 vhukando; vhulapfu; 
strike	tshiṱereke; 
string	muḓali; 
strip	fadugu ya vhubuli;  lumveru; 
strips	fadugu ya vhubuli;  lumveru; kwatula; 
strive	lingedza; 
striving	lingedza; 
strong	khwaṱha;  tshi re na maanḓa; 
stronger	 tshi re na maanḓa; khwaṱhaho; 
strongly	nga maanḓa khwaṱhisa; 
struck	tshiṱereke; 
structural	 mbumbo;  tshiimiswa;  tshifhaṱo; tshivhumbeo; 
structure	 tshifhaṱo; tshivhumbeo; 
structured	 tshifhaṱo; tshivhumbeo; 
structures	zwivhumbeo;  zwifhaṱo; 
struggle	muombano;  kakarika; 
struggles	muombano;  kakarika; 
struggling	muombano;  kakarika; 
student	mutshudeni; 
students	matshudeni; 
studies	vhuḓigudisi; 
studio	tshitudio; 
studios	zwiṱudio; 
style	tshitaila; 
sub	ṱhukhu; 
sub-item	tshiteṅwa tshiṱuku; 
sub-programme	mbekanyamushumo ṱhukhu;  phurogireme ṱhukhu; 
sub-regulation	ndaulo ṱhukhu; 
subject	 -luvhisa; muluvha; 
subjected	ṱhoho;  muluvha;  luvhisa; 
subjects	ṱhoho;  muluvha; luvhisa; 
submission	vhupfiwa; 
submissions	vhupfiwa; 
submit	 u ḓi ṱukufhadza; swikisa;  vheya nga ḓasi; 
submitting	 ḓiṋetshedza;  swikisa;  ḓinyadza; 
subparagraph	phara ṱhukhu; 
subpoena	dagafala; nḓivhadzamulandu; 
subpoenaed	 vhidzwa;  ḓivhadzwa mulandu; 
subscribe	 ṅwalisa;  ridzhisiṱara; vhuṱanzi;  vhea dzina; 
subscribed	ṅwaliswaho; ridzhisiṱarwa; 
subsections	khethekanyoṱhukhu; 
subsequent	-tevhelaho; 
subsequently	 zwi tevhelaho; nga mulandu wa zwenezwo; 
subsidiary	khamphanindaulwa;  zwi si zwa ndeme;  khamphaninyunḓwa; davhi ḽa khamphani;  tshumelothikhedzi; 
subsidies	mutikedzelo;  sabusidi; 
subsidy	mutikedzelo;  sabusidi; 
subsistence	tshi nga tshidzaho muthu; 
substance	tshithu; 
substances	zwithu; thukhita; 
substantial	tsha vhukuma; 
substantially	tsha vhukuma; 
substantive	dzina; 
substitute	-imela; 
substituted	imela; muanguli; 
substitutes	imela; muanguli; 
substituting	imela; muanguli; 
succeed	-tevhela; 
succeeded	tevhela; 
success	mvelelo; 
successes	mvelelo; 
successful	-wanaho; 
successfully	bvelelaho;  konaho;  wanaho; 
succession	 dziṱhoho;  thevhekano; ifa; 
successor	mutevheli; 
such	raloho;  zwo tou ita hani;  raliho; 
suffer	 ṱugufhala; ṱhuphea;  u pfa vhuṱungu; tambula; 
suffered	 pfa vhuṱungu; ṱhuphea;  ṱungufhala; tambula; 
suffering	tambula; 
