APRIL	MMESA; 
individual	bomong;  ka bonngwe; 
individually	motho ka mong; 
individuals	bomong;  ka bonngwe; 
industrial	tsa indastri; 
industries	 diindasteri; indasteri; 
industry	 indastri; indasteri; 
inequalities	ho hloka tekano; 
inequality	ho hloka tekano; 
infected	tshwaeditsweng; 
infection	tshwaetso; 
infections	bolwetse;  ditshwaetso; tshwaetso; 
inferior	tellehang; 
inflows	kenang; 
influence	seriti; 
influenced	seriti; tshusumetso; 
info	dintlha;  ditaba;  ditsebiso; 
inform	-tsebisa; 
information	tlhahisoleseding;  tsebiso; 
informed	tsebisitswe; bolelletswe; 
informing	-tsebisa; 
infrastructure	 moralo wa theknoloji; moralo; 
inherent	 ya sethatho; ya tlhaho; 
inherit	ho ja lefa; 
inherited	ho ja lefa; 
initial	pele; 
initially	qalong; 
initiative	boithaopo;  boiteko; 
initiatives	boithaopo;  boiteko; 
initiator	mosimolli; moqadi; 
injuries	 temalo;  leqeba; maqeba; 
injury	 leqeba; temalo; 
injustice	leeme;  tlhokatoka; 
injustices	leeme;  tlhokatoka; 
inmates	batshwaruwa; 
inner	ka harenyana; 
input	phepelo;  lehlahlelo;  hlahlela; 
inputs	diphehiso;  mahlahlelo;  diphepelo;  hlahlela; 
inquiry	patlisiso; 
inscribed	kenyeletsa; 
insert	kenya;  kenyeletsa; 
inserted	kenya;  kenyeletsa; 
insertion	kenyeletso; 
inserts	kenya;  kenyeletsa; 
inside	ka hare; 
insight	tsebo e tebileng; 
insights	tsebo e tebileng; 
insolvency	ho shota; phello ya tjhelete; 
insolvent	tjhonneng; 
inspect	hlahloba;  -hlahloba; 
inspection	hlahlobo; 
inspections	 ditlhahlobo; hlahlobo; 
inspector	mohlahlobi; 
inspectors	mohlahlobi; 
inspiration	kgothatso; 
inspire	kgothatsa; 
inspired	kgothaditse; 
inspiring	kgothatsang; 
install	ho hlomamisa;  kgwesa; 
installation	kgweso; 
installed	ho hlomamisa;  kgwesa; 
instalment	tefo ka hanyane; 
instalments	tefo ka hanyane; 
instance	lekgetlo; ketsahalo; 
instances	diketsahalo;  makgetlo; 
instead	ho na le; 
institute	ho hloma; 
instituted	ho hloma; 
institution	mokgatlo; 
institutional	ya tshebetso; ya institjushene; 
institutions	mekgatlo; 
instruction	taelo; 
instructional	ya thupello;  ya thuto; 
instructions	ditaelo; 
instrument	sesebediswa;  seletsa; 
instruments	disebediswa;  diletsa; 
insurance	inshorense; 
insurer	monga inshorense; 
intangible	e sa tshwaereheng; 
integrate	 kopanyeletsa; nyalanya; 
integrated	 kopanyeletsa; nyalanya; 
integrity	 tlhompho; seriti; 
intellectual	serutehi; 
intellectuals	barutehi; 
intended	ho ikemisetsa; 
intends	ho ikemisetsa; 
intensify	matlafatsa; 
intent	ikemisetsa; 
intention	boikemisetso; 
intentionally	ka boikemisetso; 
inter	ka hare; 
interact	-phedisana; 
interacting	-phedisanang; 
interaction	tshebedisano; 
interactive	tshebeletsano; 
interception	namola;  kena dipakeng; 
interdepartmental	mafapha a mabedi; 
interest	 kgahleho;  kekeletso; thahasello;  ho kgahla;  tswala; 
interested	thahaseletse; 
interesting	kgahlisang; 
interests	dikekeletso;  kgahleho;  ditswala; thahasello;  ho kgahla; 
interfaith	ditumelo tse pedi; 
interfere	 itshunyatshunya; ferekanya; 
interference	boitsunyatshunyo; boferekanyi; 
intergenerational	meloko e mmedi; 
intergovernmental	mebuso e mmedi; 
interim	bohare;  -sebakana; 
intermediaries	tse bohareng; 
intermediary	tse bohareng; 
intermediate	tse bohareng; 
internal	ya ka hara mmele;  ka hare; 
internationally	tsa matjhaba; 
internet	inthanete; 
interns	bomaithutwane; 
interpret	toloka;  -toloka; 
interpreted	ho hlalosa; toloka;  -toloka; 
interrogate	botsa; 
interval	 kgefutso;  phomolo; dipakeng; 
intervals	 kgefutso;  phomolo;  dikgefutso; dipakeng; 
intervene	kena dipakeng; 
intervention	kena dipakeng; 
interventions	kena dipakeng; 
interview	inthaviu; 
interviews	diinthaviu; 
intestate	ya se nang wili; 
into	ka hare; 
introduce	hlahisa;  tsebisa;  -tlisa; 
introduced	hlahisa;  tsebisa;  -tlisa; 
introducing	 -tlisang; hlahisang;  tsebisang;  tlisang; 
introduction	selelekela; 
invalid	e sa felleng; 
invest	boloka;  poloko; 
invested	boloka;  poloko; 
investigate	fuputsa;  hlohlomisa; 
investigated	fuputsa;  hlohlomisa; 
investigating	fuputsa;  hlohlomisa; 
investigation	phuputso;  patlisiso; 
investigations	 dipatlisiso; diphuputso; 
investigative	e batlisisang; 
investigator	mofuputsi;  mmatlisise; 
investigators	bafuputsi;  babatlisisi; 
investing	 bolokang; poloko; 
investment	poloko; 
investments	dipoloko; 
invitation	memo; 
involve	ama; kenya; 
involved	 amme; kentse; 
involvement	kakaretso; kenyeletso; 
involves	ama; 
involving	amang; 
iron	tshepe;  sidila;  tshepe e sidilang; 
irregularities	diphoso; 
irregularity	phoso; 
irrespective	ho sa natswe; 
irrigation	 nwesetso; nosetso; 
is	ke; 
isiXhosa	IsiXhosa; 
island	sehlekehleke; 
issue	taba; 
issued	tlhahiso; taba; 
issues	 ditlhahiso; ditaba; 
issuing	tlhahiso; taba; 
it	yona; 
it's	ke; 
item	ntho;  ntlha; 
items	dintlha;  dintho; 
its	ya yona; 
itself	ka boyona; 
jazz	jese; 
jewellery	mabenyane; 
job	mosebetsi; 
jobs	mesebetsi; 
joined	kopantse; 
joining	kopanya; 
joint	lenonyeletso;  makopanong; 
jointly	ka kopanelo; 
journalism	boithuti ba diphatlalatso; 
journalist	moqolotsi wa ditaba; 
journalists	baqolotsi ba ditaba; 
journey	eta; 
joy	thabo;  nyakallo; 
judge	 -ahlola;  ahlola; moahlodi; 
judgement	kahlolo; 
judges	 -ahlola;  ahlola; baahlodi; 
judgment	kahlolo; 
judgments	kahlolo;  dikahlolo; 
judiciary	tsa toka; 
junior	e monyenyane; 
jurisdiction	taolo; 
jurisdictions	ditaolo; 
juristic	ya molao; 
just	 ka molao; hona jwale; 
justice	toka; 
justified	netefaditswe; 
justify	netafatsa; 
k	k ; 
keen	kgothetse; thahaseletse; 
keep	boloka; 
keeping	bolokang; 
kept	bolokile; 
key	senotlolo;  konopo; 
keynote	puo ya sehlooho; 
kg	kilogramo (kg); 
kick	raha; 
kick-off	ho qala papadi; 
kill	bolaya; 
killed	bolaya; 
kilometre	kilometara; 
kilometres	dikilometara; 
kind	mosa;  -mosa; 
kindly	ka mohau; 
kinds	mosa;  -mosa; 
king	morena e moholo; 
kingdom	mmuso; 
kings	marena a maholo; 
km	kilomethara (km); 
knew	tsebile; 
know	tseba; 
knowing	tsebang; 
knowingly	ka tsebo; 
knowledge	tsebo; 
known	tsejwang;  tsebilweng; 
knows	tseba; 
laboratories	laboratri; 
labour	mosebetsi;  ho sebetsa;  ho pepa; 
lack	ho hloka; 
ladies	barwetsana;  basetsana; 
laid	behela; 
lake	letsha; 
land	 lefatshe;  mobu; naha;  tshimo;  tsorama; 
landfill	tlala naha; 
lands	 mafatshe; dinaha; 
landscape	popeho ya naha; 
language	 leleme; puo; 
languages	 maleme; dipuo; 
lapse	fela; 
large	kgolo; 
large-scale	haholo; 
largely	haholo; 
larger	 kgolwanyane; kgolo; 
largest	kgolo; 
last	qetela; 
lasting	tshwarellang; 
lastly	qetellang; 
late	morao; 
later	ha morao; 
latest	morao ka ho fetisisa; 
laughter	setsheho; 
launch	ho tlosa; 
launched	kgakotse; ho tlosa; 
launches	kgakola;  ho tlosa; 
launching	kgakola;  ho tlosa; 
laundering	tshenyo; 
laureate	motlotlehi; 
laureates	batlotlehi; 
law	 molawana; molao; 
law-making	ketsamolao; 
lawful	ka molao; 
lawfully	ka molao; 
laws	 melawana; melao; 
lawyer	 ramolao; mmuelli; 
lawyers	 babuelli;  ramolao; mmuelli; 
lay	behela; 
laying	behela; 
lead	 thapo ya motlakase; loto; 
leader	moetapele; 
leaders	baetapele; 
leadership	ketapele; 
leading	etellang pele; 
leads	dithapo tsa motlakase; diloto; 
leaflets	mahlomela; 
league	selekane;  liki; 
learn	ithuta; 
learned	ithutile; 
learning	ithutang; 
learnt	ithutile; 
lease	kadima; 
leased	kadimile; 
leasehold	kadimo; 
least	bonyane; 
leave	phomolo; 
leaves	phomolo; 
leaving	phomolo; 
lecture	ho ruta; 
led	 thapo ya motlakase; loto; 
left	leqele; 
leg	 leoto; mokgahlelo; 
legacies	lefa; 
legacy	lefa; 
legal	-molao; 
legally	ka molao; 
legend	tshomo; 
legendary	setumo se sa feleng;  ya sa lebalweng; 
legends	ditshomo; 
legislation	molao; 
legislative	ya molao; 
legislature	lekgotla la ketsamelao; 
legislatures	makgotla a ketsamelao; 
legitimacy	molao; 
legitimate	ya molao; 
less	ka tlase ho; 
lesser	mokadimani; 
lesson	thuto; 
lessons	dithuto; 
let	ha re; 
let's	ha re; 
letter	 tlhaku; lengolo; 
letters	mangolo; 
level	 thapallo;  bophahamo;  batalatsa; lekana; 
levels	 thapallo;  bophahamo; baterepase;  batalatsa; lekana; 
levied	lekgetho; 
levies	 makgetho; lekgetho; 
levy	lekgetho; 
liabilities	melato; 
liability	sekoloto; 
liable	tshwanela;  tshwaneleha; 
liaise	 hokelana; buisana; 
liaison	lehokela; 
liberalisation	bolokolohi; 
liberation	tokoloho; 
librarian	molaeborari; 
librarians	balaeborari;  modiskotheke;  radibuka; 
libraries	laeborari;  dibukeng;  diskotheke; 
library	laeborari;  dibukeng;  diskotheke; 
licence	laesense;  laksense; 
licences	dilaesense;  laksense; 
license	laesense;  laksense; 
licensed	 na le lengolo la bopaki; fumane laesense; 
licensee	 monnga lengolo la bopaki; monnga laesense; 
licensees	beng ba dilaesense;  beng ba mangolo a bopaki; 
licensing	fanang ka dilaesense;  fanang ka mangolo a bopaki; 
lie	tsela eo lesea le robetseng ka yona ka popelong; 
lies	 tsela eo lesea le robetseng ka yona ka popelong; robala; 
life	bophelo; 
lifetime	bophelo bohle; 
light	bobebe;  kganya;  hotetsa;  kganyang; 
lighting	lebone; 
like	jwaloka; 
likely	ho ka tshwana ho; 
limit	moedi; 
limitation	kgaello; 
limitations	dikgaello; 
limited	lekantsweng; 
limiting	moedi; 
limits	 moedi; meedi; 
line	 aletsa; mola;  motwa; 
line'	 aletsa; mola;  motwa; 
line-up	tatelano; 
lines	mela; 
linguistic	-puo; 
link	hokela;  hlaahlela;  lehlaahlela;  lehokela; 
linkage	neheletsano; 
linkages	neheletsano; 
linked	hokela; kamano;  hlaahlela;  lehlaahlela;  lehokela; 
linking	hokela;  amanyang;  hlaahlela;  lehlaahlela;  lehokela; 
links	mahokelo; 
liquid	sephalli; 
liquidator	molefi;  moqeti; mofedisi; 
liquidity	 bometsi; mokedikedi; 
liquor	jwala; 
list	 la theko; lenane; 
listed	 la theko; lenane; 
listen	mamela; 
listing	 la theko; lenane; 
lists	manane; 
literacy	tsebo ya ho bala le ho ngola; 
literally	ka nnete; 
literary	ka mantswe; 
literature	dingolwa; 
litigation	puisano;  tokiso; 
little	nyenyane;  haella;  fokola; 
live	 motlakase o phelang; phela; 
lived	 motlakase o phelang; phela; 
lives	bophelo; 
livestock	leruo la diphoofolo; 
living	phela; 
load	boima; 
load-shedding	phifalo ya motlakase; 
loan	kadimo; 
loans	dikadimo; 
local	mona; 
locally	lehae; 
locals	tsa lehae; 
located	beilwe sebakeng; 
location	lekeishene; 
lock-up	kwalla;  notlella; 
lodge	dula; 
lodged	dutse; 
lodging	bodulo; 
logistics	ditokisetso;  ditlhophisetso; 
long	lelele; 
long-term	nakotelele; 
longer	teletsana; 
look	sheba; 
looked	shebile; 
looking	shebahala; 
looks	tjhebahalo; 
lose	ho hlolwa; 
losses	 tahlehelo kgolong; tahlehelo; ditahlehelo; 
lost	ho hlolwa; 
love	-rata; 
loved	-rata; 
lovers	baratani; 
low	tlase; 
low-income	moputso o fokolang; 
lower	tlasenyana; 
lowest	tlase; 
lump	leqhutsu; 
mace	lere la puso; 
machine	motjhini;  matjhine; 
machinery	bomatjhine; 
machines	motjhini;  matjhine; metjhini; 
macro-economic	kgwebo e kgolo; 
macroeconomic	kgwebo e kgolo; 
made	etsa;  moetso; 
magazine	makasine; 
magazines	dimakasine; 
magisterial	 ya moahlodi; ya magistrata; 
magistrate	mmaseterata; 
magistrate's	 ya moahlodi; ya magistrata; 
magistrates	mmaseterata; 
magnificent	 tsotehang; babatsehang;  kgahlehang; 
magnitude	boholo; 
mail	 terene ya poso; poso;  posa; 
main	motheo;  kgolo; 
mainly	haholoholo; 
mainstream	ya bohle; 
mainstreaming	ya bohle; 
maintain	hlokomela;  tshehetsa; 
maintained	hlokomela;  tshehetsa; 
maintaining	hlokomela;  tshehetsa; 
maintains	hlokomela;  tshehetsa; 
maintenance	tlhokomelo;  phethiso; 
major	 majoro; kgolo;  -moholo; 
majority	 bongata; boholo; 
make	etsa;  moetso; 
makers	baetsi; 
makes	meetso; etsa; 
making	meetso; etsa; 
malaria	malariya; 
male	 botona; monna;  -tona; 
males	 botona; monna;  -tona;  motona; 
mall	lethathama la mabenkele; molo; 
man	monna; 
manage	ho atleha; 
managed	ho atleha; 
management	taolo; 
manages	ho atleha; 
managing	ho atleha; 
mandate	taelo; 
mandated	taelo;  laetse; 
mandates	ditaelo; 
mandatory	ka taelo; 
manifestations	ditlhahiso; 
manner	mokgwa; 
manual	 buka ya tataiso; ka letsoho; 
manufacture	 ho bopa; hlahisa; 
manufactured	 ho bopa; hlahisa; 
manufacturer	mohlahisi; 
manuscripts	dingolwa tse so phatlalatswe; 
many	ngata;  - ngata; 
map	mmapa; 
mapping	ho etsa mmapa; 
maps	dimmapa; 
march	mohwanto;  ho hwanta; 
marched	 mehwanto; ho hwanta; matjhe, hwantile; 
margin	moedi; 
marginal	ka thoko; 
marginalised	beheletswe thoko; 
marginalized	beheletswe thoko; 
marine	-lewatle; 
maritime	ya metsing; 
mark	 tshwaya;  ho tshwaya; letshwao; 
marked	hlwailwe; beheleditswe;  tshwailwe; 
market	 ho rekisa;  rekisa; mmaraka; 
marketing	thekiso; 
markets	makete;  ho rekisa;  rekisa; mmaraka; 
marking	ho maka; 
marks	matshwao;  tshwaya;  ho tshwaya; 
marriage	lenyalo; 
marriages	lenyalo; 
married	nyetswe; 
mass	bongata;  boima; 
massive	kgolo; 
master	monghadi; 
master's	ya monghadi; 
match	papadi;  thutswana ya mollo;  ho nyalanya;  -tsamaelana;  nyalanya; 
matches	metjhese; 
material	 sesebediswa;  masela; disebediswa; 
materially	ya thepa; 
materials	 sesebediswa;  masela; disebediswa; 
maternal	 bomme; boimana; 
mathematical	ya dipalo; 
mathematics	 bohlalepalo; mmetse; 
matric	metriki; 
matrimonial	ya lenyalo; 
matter	ntho;  boladu; 
matters	 boladu; dintho; 
maturity	ho butswa; 
maximum	hodimodimo; 
may	 Motsheanong; nka; 
maybe	mohlomong; 
mayor	majoro; 
mayors	bomajoro; 
me	nna; 
meaning	moelelo; 
meaningful	na le moelelo; 
meaningfully	ka moelelo; 
meanings	 meelelo; ditlhaloso; 
means	moelelo ke;  bolela hore; 
measurable	e methehang; 
measure	metha; 
measured	methile; lekantse; 
measurement	tekano;  mometho; 
measures	 metho; ditekanyi tsa nako;  tekanyi ya bonamo;  ditekanyi tsa mothamo; metha;  ditekanyi tsa boima;  tekanyi; 
measuring	ho metha; 
mechanical	-tlwaelo; 
mechanism	motjha wa tshebetso; 
mechanisms	metjha ya tshebetso; 
mediation	namola; 
medical	-bongaka; 
medicine	moriana; 
medicines	meriana; 
medium	puo eo ho rutwang ka yona; 
medium-term	nako e bohareng; 
meet	kopana;  teana; 
meeting	 kopano; lekgotla; 
meetings	 dikopano; makgotla; 
meets	kopana;  teana; 
member	setho; 
member's	ya setho; 
members	ditho; 
membership	botho; 
memorandum	memorandamo; 
memories	 kgopolo; mehopolo;  mohopolo; 
memory	mohopolo;  kgopolo; 
men	banna; 
mental	ya kelello; 
menu	menyu; 
merchant	mohwebi; 
mere	feela; 
merely	feela; 
merger	kopano; 
merit	 tshwanelo; tokelo; 
merits	 tshwanelo; tokelo; 
messages	melaetsa; 
messenger	morongwa; 
met	kopane; 
metal	tshepe; 
metals	tshepe;  dimetale / ditshepe; dimetale;  ditshepe; 
method	tsela;  mokgwa; 
methodology	thuto ya mokgwa; 
methods	tsela;  mekgwa;  mokgwa; 
micro	nyenyane; 
middle	bohareng; 
midst	hare; 
might	a ka; 
migration	phallo; 
milestone	matshwao a bophelong; 
milestones	phihlello ya bohlokwa; matshwao a bophelong; 
military	sesole;  sehlabani; 
milk	lebese; 
million	milione; 
millions	milione; 
mind	kelello; 
mindful	nahane; 
minds	kelello; 
mine	rafa;  mmaene;  morafo; 
mineral	 serashwa; minerale; 
minerals	 minerale; diminerale;  dirashwa; 
mines	merafo;  dimmaene;  rafa; 
minimum	minimamo; 
mining	rafa;  mmaene;  morafo; 
minister	letona;  moruti;  tona; 
minister's	ya moruti;  ya letona; 
ministers	 baruti; matona; 
ministry	 boruti; lefapha; 
minor	monyenyane;  nnyane; 
minority	bonyenyane; 
minutes	metsotso; 
misconduct	molato; 
misleading	 ferekanyang; kgelosang; 
mission	thomo; 
missions	thomo; 
mitigate	buisana; 
mitigation	ditherisano;  puisano; 
mix	tswaka; 
mixed	kopantse; 
mobile	e kgonang ho tsamaya; 
mobilisation	hlophisitse; 
mobilise	-thaotha; 
mobility	motsamao; 
model	malebela;  setshwano;  sekao;  motlolo;  supisa; 
models	malebela;  setshwano;  dimmotlolo;  sekao;  supisa; 
moderate	 e bohareng; bohareng; 
modern	sejwalejwale; 
modernisation	sejwalejwale; 
modified	ntlafatsa;  fetola; 
modify	ntlafatsa;  fetola; 
moment	nakwana;  motsotswana; 
moments	nakwana;  motsotswana; 
momentum	 mokoka; sekgahla; 
monetary	ya tjhelete; 
money	tjhelete; 
moneys	ditjhelete; 
monies	ditjhelete; 
monitor	 molebedi;  -disa; disa; 
monitored	 molebedi;  -disa; disa; 
monitoring	 molebedi;  -disa; disa; 
monitors	 molebedi;  -disa; disa;  balebedi; 
month	kgwedi; 
monthly	kgwedi le kgwedi; 
months	kgwedi; 
monument	sefika; 
monuments	difika / diemahale;  sefika; 
moral	thuto;  setho; 
more	ka hodima; 
moreover	hodima moo; 
morning	hoseng; 
mortality	mafu; 
mortgage	tumellano; 
most	-ngata; 
mostly	hangata; 
mother	mme; 
mothers	mme; 
motion	tshisinyo;  motsamao; 
motions	 ditlhahiso; ditshisinyo;  metsamao; 
motivation	kgothaletso; 
motor	mmotoro; 
motto	lepetjo; 
mountain	thaba; 
mountains	dithaba; 
mounted	palamisitsweng; 
mouth	molomo; 
movable	 tsamayang;  suthiswa; nkuwa; 
move	 suthisa; motsamao; 
moved	 suthisa; motsamao; 
movement	 motsamao; mokgatlo; 
movements	mekgatlo;  metsamao; 
moves	 suthisa; metsamao; 
moving	tsamayang; 
much	ngata; 
multi-party	meketjana e mengata; 
multilateral	mahlakore a mangata; 
multilingual	botemengata; 
multilingualism	botemengata; 
multimedia	kgobokano ya dikgokahano; 
multiparty	mekgamengata; 
multiple	ka katiso; 
municipal	 mmasepala; masepala; 
municipalities	bommasepala; 
municipality	 mmasepala; masepala; 
mural	motako leboteng; 
murals	metako leboteng; 
murder	polao; 
museum	misiamo; 
museums	dimosiamo; 
music	mmino; 
musician	sebini; 
musicians	dibini; 
must	lokela; 
mutual	ka tumellano; 
mutually	ka tumellano; 
my	ya ka; 
myself	nna; 
name	lebitso; 
named	lebitso; ho rea lebitso; 
namely	e bitswa;  e leng; 
names	ho rea lebitso; mabitso; 
narrow	 patisana; tshesane; 
natal	natala; 
nation	setjhaba; 
nation-building	kaho ya setjhaba; 
national	-naha;  ya setjhaba; 
nationality	setjhaba; 
nationally	ya setjhaba; 
nationals	melata;  -naha;  ya setjhaba; 
nations	ditjhaba; 
native	motala; 
natural	ka tlhaho;  ya tlhaho; 
nature	 semelo; tlhaho; 
near	haufi; 
nearest	haufi ka ho fetisisa; 
nearly	haufinyana;  e batlile; 
necessarily	hakaalo; 
necessary	hlokehang; 
need	tlhoko; 
needed	bohloki; tlhoko; 
needs	ditlhoko;  ditlhoko; bohloki; 
negative	hanyetsang; 
negatively	kgahlano; 
neglect	- se hlokomele;  ho hlokomoloha;  -hlokomoloha; 
neglected	- se hlokomele;  ho hlokomoloha;  -hlokomoloha;  ho se tsotelle; hlokomolohile; 
negligence	bohlaswa; 
negotiate	buisana;  thethesa; 
negotiated	 buisane; buisana;  thethesa; 
negotiating	buisana;  thethesa; 
negotiation	thetheso; 
negotiations	dipuisano; 
neighbouring	kahisanong;  ahisaneng; 
neither	ha ho e le nngwe; 
net	letanta;  letlowa; 
network	marangrang; 
networking	marangrang; 
networks	marangrang; 
never	le kgale; 
nevertheless	leha ho le jwalo; 
new	ntjha; 
newly	botjha; 
news	ditaba; 
newspaper	koranta; 
newspapers	dikoranta; 
newsroom	phaposi ya ditaba; 
next	e latelang; 
night	bosiu; 
nine	robong; 
no	tjhe; 
noble	hlomphehang; 
nominal	ya lebitso; 
nominate	 ikgethela; kgetha;  -thonya; 
nominated	 ikgethela;  thontse; kgetha;  -thonya; 
nomination	thonyo; 
nominations	dithonyo; 
non	ha se; 
non-compliance	ho se ikamahanye; 
non-governmental	eo eseng ya mmuso; 
non-profit	e sa etseng phaello; 
non-racial	eo eseng ya morabe; 
non-racialism	-se kgetholle ka morabe; 
non-refundable	e sa kgutlisetsweng tefo; 
non-sexism	eo eseng ya bong; 
non-sexist	eo eseng ya bong; 
non-tax	eo eseng ya lekgetho; 
none	ha ho le e nngwe; 
normal	e tlwaelehileng; 
normally	ka tlwaelo; 
north	 ya leboya; leboya; 
northern	ya leboya; 
not	eseng; 
notable	hlokomelehang; 
notably	ka tlhokomelo; 
note	 modumo;  noto;  hlokomela;  tjhelete ya pampiri;  lengolwana; ngola;  lemoha; 
noted	 modumo;  noto;  hlokomela;  tjhelete ya pampiri;  lengolwana; ngola;  lemoha; 
notes	dintlha; 
nothing	ha ho letho; 
notice	tsebiso; 
notices	ho elellwa; ditsebiso; 
notification	tsebiso; 
notified	tsebisitse; 
notify	tsebisa; 
noting	 modumo;  noto;  hlokomela;  tjhelete ya pampiri;  lengolwana; ngola;  lemoha;  ngolang; 
notion	mohopolo; 
notwithstanding	ho sa hananwe le; 
novel	pale; 
now	hona jwale; 
null	haho letho; 
number	palo;  nomoro;  bokaalo; 
numbers	dipalo; 
numerous	ngata;  - ngata; 
nurse	 -oka;  nese; mooki; 
nurses	 -oka;  nese; mooki;  baoki; manese; 
nursing	booki; 
nurture	 fepa;  hodisa; hlokomela; 
nurturing	 fepa;  hodisa; hlokomela; 
nutrition	kotlo;  phepo; 
oath	kano; 
object	ntho;  seetsuwa; 
objective	 sepheo; ntle; 
objectives	 sepheo; ntle; 
objects	dietsuwa;  seetsuwa; dintho; 
obligation	tlameho; 
obligations	ditlameho; 
observatory	boleping ba dinaledi; 
observe	shebisisa; 
observed	shebisisa; ela hloko; 
obsolete	hlobohilweng; 
obtain	fumana; 
obtainable	-fumanehang; 
obtained	fumana; 
obtaining	fumana; 
obvious	-totobetse; 
obviously	ho hlakile; 
occasion	ketsahalo; 
occasions	diketsahalo; 
occupation	mosebetsi;  kgapo; 
occupational	ya mosebetsi; 
occur	etsahala; 
occurred	etsahetse; 
occurrence	ketsahalo; 
occurring	etsahalang; 
occurs	etsahala; 
ocean	 lewatlehadi; lewatle; 
of	ya; 
offence	tlolo ya molao; 
offences	ditlolo tsa molao; 
offering	nyehelo;  sehlabelo; 
offerings	 dihlabelo; dinyehelo; 
office	ofisi; 
office-bearers	basebetsi ba diofising; 
officer	mohlanka wa mmusi; 
officers	baofisiri;  bahlanka wa mmuso; 
offices	diofisi; 
official	 ya mmuso; mohlanka wa mmuso; 
officially	ka molao; 
officials	ya mmuso;  bahlanka ba mmuso; 
offset	tima; 
offshore	ka thoko ho lebopo; 
often	hangata; 
oil	oli; 
on	hodima; 
on-going	tswelang pele; 
once	hang; 
once-off	hanngwe; 
one	nngwe; 
ones	bo-nngwe; nngwe; 
ongoing	tswelang pele; 
online	kgokelo;  e hoketsweng; 
only	feela; 
onto	hodima; 
open	bula; 
opened	 bulehile; butse; 
opening	lesoba; 
opens	bula; 
operate	ho seha; 
operated	ho seha; 
operates	ho seha; 
operating	ho seha; 
operation	 ho phunngwa; tshebetso;  tshebediso;  ho phungwa; 
operational	ya tshebetso; 
operations	 ho phunngwa;  ditshebediso; ditshebetso;  ho phungwa; 
opinion	maikutlo; 
opinions	maikutlo; 
opportunities	menyetla; 
opportunity	monyetla; 
oppose	hanana; 
opposed	hanana; 
opposite	shebaneng;  lelatodi; 
opposition	 mahanyetsapuso; bohanyetsi; 
oppressed	hateletse; 
oppression	kgatello; 
optimal	bohlokwa;  ka hodimodimo; 
optimism	 tebello; tshepo; 
option	kgetho;  boikgethelo; 
options	dikgetho;  boikgethelo; 
or	kapa; 
oral	ya molomo; 
orange	lamunu; 
orchestra	mminotetso; 
order	 hlophisa;  thomello;  tlhophiso;  hlohlomiso; taelo;  romella; 
ordered	 tlhohlomiso;  hlophisa; tatelano;  thomello;  hlophisitse;  tlhophiso;  hlohlomiso; taelo;  romella; 
orders	ditaelo; 
ordinance	molao; 
ordinarily	tlwaelehileng; 
ordinary	tlwaelehileng; 
organ	ditho;  thomo; 
organisation	mokgatlo; 
organisational	ya mokgatlo; 
organisations	mekgatlo; 
organised	hlophisitswe; 
organisers	bahlophisi; 
organising	hlophisang; 
organization	mokgatlo; 
organizations	mekgatlo; 
organized	hlophisitswe; 
organizers	bahlophisi; 
organs	ditho tsa puo; 
origin	mathomo; 
original	 -tlhaho; ya mantlha; 
originally	ka tlholeho; 
origins	sethatho;  mathomo; 
other	e nngwe; 
others	tse ding; 
otherwise	ha ho se jwalo; 
ought	lokela; 
our	ya rona; 
ours	tsa rona; 
ourselves	ka borona; 
out	ka ntle; 
outcome	sephetho;  ditlamorao; 
outcomes	 ditlamorao; diphetho; 
outdoor	 -ka ntle; ka ntle; 
outgoing	 tsamayang;  tlohelang; tswang; 
outline	 moedi; moralo; 
outlined	 moedi; ho otla dihlooho; moralo; 
outlines	 moedi;  meedi; ho otla dihlooho; moralo; 
outlook	sebopeho;  tjhebahalo; 
output	sephetho; 
outputs	diphetho; 
outreach	phihlello; 
outside	kantle;  ka ntle; 
outsourced	abetse ba bang; 
outstanding	ikgethileng; 
outward	ka ntle; 
oval	motopo;  e motopo; 
over	ka hodimo; 
overall	obarolo; 
overarching	okamela; 
overcome	hlola; 
overcrowding	kgobokano e fetang tekano; 
overseas	mose ho mawatle; 
oversee	hlokomela; 
overseeing	hlokomelang; 
oversight	ho se hlokomele;  ho fanya; ho se ele hloko; 
overview	tjhebokakaretso; 
overwhelming	ka bongata;  ka ho babatseha; 
owed	kolotile; 
owing	kolotang; 
own	rua;  ya hao; 
owned	ruile;  ya hao; 
owner	monnga; 
owners	beng ba; 
pace	sekgahla; 
package	sephuthelwana; 
packages	diphuthelwana; 
page	leqephe; 
pages	maqephe; 
paid	 lefile;  ho lefa; moputso; 
pain	lehlaba; 
painting	 moferefo; ho penta; 
paintings	 moferefo; ditshwantsho;  ho penta; 
palace	moreneng; 
panel	letsema;  phanele; 
paper	pampiri;  pampiri ya hlahlobo;  koranta; 
papers	 dikoranta;  dipampiri tsa hlahlobo; dipampiri; 
par	-lekana; 
paragraph	 serapa; tema; 
paragraphs	 serapa; tema;  dirapana; 
parent	motswadi; 
parental	ya botswadi; 
parenting	botswadi; 
parents	batswadi; 
park	paka;  phaka;  ho emisa; 
parking	paka;  phaka;  ho emisa; 
parks	 phaka; dipaka;  ho emisa; 
parliament	palamente;  kgotlakgolo; 
parliament's	ya palamente; 
parliamentary	ya palamente; 
