APRIL	DZIVAMISOKO; 
recognising	tekelaka enhlokweni; 
recognition	 vutsundzuki; ku tiva; 
recognize	tekela enhlokweni; 
recognized	tekerile enhlokweni; 
recommend	bumabumela; 
recommendation	xibumabumelo;  mbumambumelo; 
recommendations	swibumabumelo; 
recommended	bumabumeriwaka; 
recommends	bumabumela; 
reconciliation	nkhomelano; 
reconstruction	ku aka hi vuntshwa; 
record	tsala;  nxaxameto wa swingolongondwana;  rhekhodo;  rhekhoda; 
recorded	rhekodiweke;  rhekodiwile; rhekodiwaka; 
recording	rhekoda; 
records	tirhekodo;  rhekoda; 
recover	ku vuyisa; 
recovered	vuyisile; 
recovery	ku hola; 
recreation	 ku wisa; ku tumbuluxa nakambe; 
recreational	swa vuhungasi; 
recruitment	 ku thola; matholelo; 
rectify	lulamisa; 
recycling	 mpfuxeto; matengiselo ya mati; 
red	tshwuka; 
redistribution	ku avela hi vuntshwa; 
redress	ku lulamisa; 
reduce	ncinca;  tsongahata; 
reduced	hungutile; tsongahatile; 
reducing	hunguta;  tsongahata; 
reduction	hunuto; 
reductions	hunguto; 
refer	vula;  kongomisa;  yelanisa; 
reference	rheferense; vuyelanisi; 
references	 swiyelaniso; tirheferense; 
referral	nkongomiso; rheferali; 
referred	vuriweke;  kongomisile; yelanisile; 
referring	vuriwaka;  yelanisaka;  kongomisaka; 
refers	vula;  kongomisa;  yelanisa; 
refined	-hlantsweka; 
reflect	anakanya;  -tlherisela; 
reflected	kombisile;  anakanyile; 
reflecting	kombisa;  anakanya; 
reflection	ku tlhelela ndzhaku ka miseve;  mehleketo; 
reflective	kombisaka; n'wetsimaka; 
reflects	kombisa;  anakanya; 
reform	hundzuka;  cinco;  hundzuluko; 
reforms	pfuxeta;  vumba hi vuntshwa; 
refund	tlherisela;  ntlheriselo; 
refurbishment	mpfuxeto; 
refusal	ku ala; 
refuse	ala;  thyaka; 
refused	arile;  ariwile; 
refuses	ala; 
regard	tekela enhlokweni; 
regarded	tekerile enhlokweni; 
regarding	tanihi; 
regardless	 swi nga ri na mhaka; ku karhi ku nga tekeriwi enhlokweni; 
regards	mayelana;  rungula;  tekela enhlokweni; 
regeneration	ku endla hi vuntshwa; 
regime	mfumo; 
region	xifundza;  rhijini; 
regional	-xifundza; 
regions	swifundza; 
register	amukela;  rhijisitara;  rijistara; 
registered	tsarisiweke;  tsarisile; 
registering	tsarisa; 
registers	tsarisa;  mavulavulelo;  marhijisitara; 
registrar	murhijisitirara; mutsarisi; 
registration	ntsariso; 
registries	ntsariso;  vuhlayiselo bya marhijisitara kumbe tirhekodo; 
registry	ntsariso;  vuhlayiselo bya marhijisitara kumbe tirhekodo; 
regularly	hi ku ringana; 
regulate	lawula;  rheguleta; 
regulated	lawuriweke; 
regulates	lawula; 
regulating	lawula; 
regulation	xinawana; 
regulations	swinawana; 
regulator	mulawuri; 
regulators	valawuri; 
regulatory	xo lawula; 
rehabilitation	mpfuxo; 
rehearsal	mpfuxeto; 
rehearsals	mipfuxeto; 
reinforce	tiyisisa; 
reintegration	hlanganisa hi vuntshwa;  katsa hi vuntshwa; 
reiterate	tshikelela;  vuyelela; 
reiterated	tshikelerile; vuyelerile; 
reject	ala;  xitsan'wiwa; 
rejected	ariwile; 
relate	fambelanisa; 
related	yelana;  -rixaka rin'we;  rixaka rin'we; 
relates	fambelana; 
relating	fambelanaka; 
relation	vuxaka; 
relations	vuxaka; 
relationship	vuxaka;  vunghana; 
relationships	vuxaka;  vunghana; 
relative	xaka;  hi mpimo wa;  engetelo; 
relatively	hi ku fambelana; 
relatives	maxaka; 
release	chuncha; 
released	humesiweke; 
releases	mahungu; 
relevance	vuxaka; vufambelani; 
relevant	-yelana; 
reliable	tshembeka;  xo tshembeka; 
relief	 vumbele ro komba; ku ntshuxeka; 
religion	vukhongeri;  vugandzeri; 
religions	vukhongeri;  vugandzeri; 
religious	 -vugandzeri; swa vukhongeri; 
rely	tshembela; 
remain	sala; 
remainder	nsalo; 
remained	saleke; 
remaining	salaka; 
remains	masalela; 
remand	ku tlherisela siku ro tenga endzhaku; 
remarkable	ku va erivaleni;  lexi vonakaka; 
remarks	swibumabumelo; 
remedies	swilulamiso; 
remedy	murhi; 
remember	tsundzuka; 
remembered	tsundzukeke; 
remembrance	ku tsundzuka; 
remind	tsundzuka; 
reminded	tsundzukile;  tsundzuxiwile; 
reminder	xitsundzuxo; 
reminders	switsundzuxo; 
remote	xa le kule; 
removal	ku rhurhisa;  ku susa; 
remove	susa; 
removed	susile; 
removing	susa;  rhurhisa; 
remuneration	hakelo; 
renaissance	mpfuxeto wa mfuwo; 
rename	ku thya hi vuntshwa; 
renamed	thyiweke vito hi vuntshwa; 
renaming	thya vito hi vuntshwa; 
render	nyika;  phakela; 
rendered	nyikile;  pfuxetile; phakerile; 
rendering	nyikaka;  phakelaka; 
renew	pfuxeta;  -pfuxa; 
renewable	xo pfuxeteka; 
renewal	mpfuxeto; 
renewed	pfuxetiwile; 
renovations	mipfuxeto; 
renowned	 wo tiveka swinene; wa ndhuma; 
rent	rhente;  hira;  rente; 
rental	xa rhente; 
repair	lunghisa;  ku lunghisa; 
repairs	lunghisa; vulunghisi; 
repatriation	ku tlherisela vabohiwa eka rikwavo; 
repeal	herisa nawu; 
repealed	herisile nawu; 
repeals	herisa nawu; 
repeat	engeta; 
replace	siva; 
replaced	sivile; 
replacement	musivi; 
replies	hlamula; 
reply	nhlamulo; 
report	tivisa;  xiviko;  vika;  marungula; 
report-back	mbuyiselo wa xiviko; 
reported	vikiweke;  vikeriweke;  mangariweke; vikeke; 
reporting	vika;  vikela; vuviki; 
reports	swiviko;  vikela; 
reposition	veka eka xiyimo xin'wana; 
repositioning	ku veka eka xiyimo xin'wana; 
repository	vuhlayiselo; 
represent	yimela;  ku yimela; 
representation	vuyimeri; 
representations	andlala mavonelo; 
representative	muyimeri; 
representatives	vayimeri; 
represented	yimerile; 
representing	yimela; 
represents	yimela; 
repressive	xo tshikelela; 
republics	tirhiphabuliki; 
request	ku kombela; 
requested	komberile; 
requester	mukomberi; 
requesting	kombela; 
requests	kombela; 
require	laveka; 
required	laveka; 
requirement	xilaveko; 
requirements	xilaveki; 
requires	lavekile; 
requiring	lava; 
requisite	lexi lavekaka; 
rescue	ponisa;  ku ponisa; 
research	ndzavisiso;  mbalango; 
researcher	mulavisisi; 
researchers	valavisisi; 
reservation	 ku kanakana; ku hlayisa; 
reserve	rizeve;  ku hlayisa; 
reserved	hlayisile; 
reserves	hlayisa; vawisisi;  leswi hlayisiweke; 
residence	vutshamo; 
resident	mutshami; 
residential	ko tshama; 
residents	vatshami; 
resides	tshama;  kumeka; 
residing	tshamaka; 
resignation	vulan'wi; 
resilience	nkondzelelo; ntiyiselo;  nsihalalo; 
resistance	 ku ala; ku lawula gezi; 
resolution	xiboho;  ntsemo; 
resolutions	swiboho; 
resolve	ololoxa; 
resolved	ololoxile; 
resolving	ololoxa; 
resounding	mpfumawulo wo tungula;  nkulukumba swinene; 
resource	xitirhisiwa xa nkoka; 
resources	swipfuno; 
respect	xichavo;  -va ni xichavo; 
respected	xiximeka; xiximile; 
respective	xa xin'wana na xin'wana hi ku hambana ka swona; 
respectively	hi ku landzelelana; 
respects	matlhelo;  xixima; 
respond	hlamula; 
responded	hlamurile; 
respondent	muanguri; 
respondents	vaanguri; 
responding	hlamula; 
responds	hlamula; 
response	nhlamulo; n'wangulo;  angulo; 
responses	tinhlamulo; miangulo; 
responsibilities	vutihlamuleri;  mitirho; 
responsibility	vutihlamuleri;  fanelo; 
responsible	-tiva tifanelo; 
responsive	 lexi angulaka hi ku hatlisa na hindlela leyinene; lexi angulaka; 
rest	 -wisa; mfungho-hefemulo; 
restitution	ku pfuxa vukati; 
restoration	ku vuyisela ematshan'wini; 
restorative	xo vuyisela ematshan'wini; 
restore	ku vuyisela ematshan'wini; 
restored	vuyiseriwile ematshan'wini; 
restoring	vuyiselaka ematshan'wini; 
restraint	xitshimbisi; 
restricted	siveriwile;  yirisiwile;  tshimbisiwile; 
restriction	xitshimbisi; xiyiriso, xisivelo; 
restrictions	 swiyiriso; switshimbiso;  swisivelo; 
restructuring	ku vumba hi vuntshwa; 
result	mbuyelo;  hakelo;  nyandziselo;  nyavanyiselo;  khakhuletelo; 
resulted	vangile; vuyerisile; 
resulting	vanga;  vangela;  vuyerisa; vuyerisela; 
results	tihakelo;  mihandzu;  vanga; mivuyelo; 
retail	nxaviso xin'wexin'we; 
retain	tshama na;  ku ya emahlweni u va na; 
retained	yile emahlweni u va na; tshamila na; 
retention	ku tshama na;  ku ya emahlweni u va na; 
retired	u humile pheceni; 
retirement	ku huma pheceni; 
retrieval	ku vuyisela endzhaku; 
return	vuyisa;  vuyela; 
returned	 vuyerile; vuyisile; 
returns	vuyisa;  vuyela; 
reveal	paluxa; 
revealed	paluxile; 
revenue	mali ya tiko; 
revenues	timali ta tiko; 
reverse	-vuyela ndzhaku; 
review	kambisisa; 
reviewed	kambisisile; 
reviewing	kambisisaka; 
reviews	kambisisa; 
revise	pfuxeta; 
revised	pfuxetiwile; 
revision	mpfuxeto; 
revisions	mipfuxeto; 
revitalisation	ku pfuxa; 
revoke	ku herisa; 
revolution	ndzhendzheleko;  nhlunga-vuhosi;  rhivholuxini; 
revolutionary	mupfulunganyi;  -ku dzolonganya; 
reward	sagwati;  nyika sagwati; 
rich	 xo fuwa; wo fuma; 
right	xinene;  xo lulama;  -xiviri; 
rightful	lexi nga na xiyimo lexi nga enawini; 
rights	timfanelo; 
rise	kukumuka;  ku tlhava; 
rising	tlakukaka; 
risk	nxungeto; 
risks	mixungeto; 
river	nambu; 
rivers	milambu; 
road	gondzo;  pato; 
roads	magondzo;  mapato; 
robust	 xo tiya; xa matimba; 
rock	ribye; 
rod	mpimo;  nhonga;  nkhavi; 
role	xiave; 
role-players	vatlangi va xiave; 
roles	swiave; 
roll	nongonoko;  pesa; 
roll-out	nsimeko; 
rolled	simekile;  songile; 
rolling	yaka emahweni; 
rollout	ku simeka; 
rolls	rhendzeleka; 
room	kamari; 
rooms	tikamara; 
root	rimitsu;  rimintsu; 
rooted	dzimile timitsu; 
roots	timitsu; 
rose	tlakukile;  pfukile; 
round	rhendzeleka;  xa xirhendzevutana;  xirhendzevutana;  xisiyisano;  xa xirhendzevutani;  xa rhawundi; 
rounded	katsakanyiweke; rhendzelekeke;  katsakanyiwile;  rhendzelekile;  wo pfilungana; 
roundtable	mbulavurisano wa swidyondzeki; 
route	ndlela; 
routes	tindlela; 
routine	maendlele; 
royal	swa vukosi; 
royalties	mitsengo lowu hakeriwaka mutumbuluxi; 
royalty	ntsengo lowu hakeriwaka mutumbuluxi; 
rugby	rhagibi; 
rule	nawu;  rhula; 
rules	milawu;  fuma; 
ruling	xiboho; 
rulings	swiboho; 
run	fambisa;  tsutsuma; 
running	fambisaka;  tsutsumaka; 
runs	fambisa;  tsutsuma; 
rural	matikoxikaya;  -tiko; 
sacred	kwetsima; 
sacrifice	gandzelo; 
sacrifices	magandzelo; 
sad	-tsana; 
saddened	tsanisiwile; khomiwa hi tingana; 
sadness	ku tsana; 
safe	hlayiseka;  -hlayiseka; 
safeguard	sirhelela; 
safeguarding	sirhelela; 
safety	vuhlayiseki; 
said	vurile; 
salaries	miholo; 
salary	hakelo; 
sale	nchipiso; 
sales	mixaviso; 
salute	xeweta;  saluta; 
same	fana; 
sample	xikombiso;  sampula;  sampulu; 
samples	swikombiso;  tisampulu; 
sampling	sampula; 
san	rixaka ra san; 
sanction	pfumelela;  pasisa;  xupula; 
sanctions	mipasiso;  mixupulo; mipfumeleo; 
sanitation	mbhasiso; 
sap	mafi ya ximila; 
saps	mafi ya ximila; 
satellite	sathelayiti;  sataliti; 
satisfaction	ku kolwa; 
satisfactory	enerisaka; 
satisfied	enerisele; 
satisfies	enerisa; 
satisfy	korwisa; 
save	hlayisa;  ku siva; 
saving	hlayisa;  ponisa; 
savings	timali leti hlayisweke; 
saw	saha; 
say	vula; 
saying	vulaka; 
says	vula; 
scale	mpimo;  tinoto-ntlhandlamano;  mahakatimba;  gegetsu;  xikalo;  xikalo xa mepe;  mavatlu;  xikalu; 
scarce	ku kala; 
scene	xivono;  mbonakiso;  mbono; 
scenes	ndhawu; mivonakiso;  swiengetsongo; 
schedule	xedulu; 
scheduled	xeduriweke; 
schedules	tixedulu; 
scheduling	xedula; 
scheme	pulana;  makungu ya ntirho;  makungu; 
schemes	makungu;  tipulani;  swikimi; 
scholar	xidyondzeki; 
scholars	swidyondzeki; 
school	xikolo; 
schooling	ku nghena xikolo; 
schools	swikolo; 
science	vutivi; 
sciences	tisayense; 
scientific	swa sayense;  swa ntivo-vutivi; 
scope	mpimo; 
score	makumembirhi;  howisa;  risimu hinkwaro;  xeka;  xikoro;  nkutlunyo; 
scorecard	 rhekodo ya matirhelo; khadi ra swikoro; 
scoring	 howisa; kuma nkutlunyo; 
scourge	khombo; xikarhato; 
screen	hlahluva;  xikirini; 
screening	ku kambela; ku sikirina; 
script	xikripi; 
scrutinise	nyangela;  kambisisa; 
scrutinize	kambisisa; 
scrutiny	xopela; 
sculpture	vuvatli;  vuvatla-ribye;  xivatliwa xa xikandza;  xivatliwa; 
sea	lwandle; 
seal	sili;  xipfalu;  pfala ngqhi!; 
sealed	pfariwile;  twananiwile; 
search	lava;  hangunuxa;  lavalava; 
searched	lavalavile; 
season	nguva; 
seasonal	xa tinguva; 
seasons	tinguva; 
seat	xiyimo;  ntsindza; 
seats	swivandla;  switulu; 
sec	sekondi; 
second	tatisa;  ya vumbirhi;  sekende;  sekene;  -vumbirhi; 
secondary	xivulavulelwa; 
secondly	xavumbirhi; 
secret	xihundla; 
secretariat	vamatsalana; 
secretary	mutsari;  matsalani; 
secretary-general	matsalanijenerali; 
section	xiyenge;  ndzima;  xiphemu;  rhavi; 
sectional	xa xiyenge; 
sections	swiyenge; 
sector	sekitara; 
sectors	tisekitara; 
secure	hlayisa;  -hlayiseka; 
secured	kumile;  hlayisekile; 
securing	hlayisa;  kuma; 
securities	swikhomelalombo; 
security	vuhlayiseki; 
see	vona; 
seeing	vonaka; 
seek	lava; 
seeking	lavaka; 
seeks	lava; 
seem	tikomba; 
seems	tikomba; 
seen	vonile; 
segment	xiphemu;  xipetlu; 
segregation	vuhambanisi; 
seize	vutla; 
seized	vutlile; 
seizure	switshetshela;  ku tekela matimba; byanyangeto; 
select	hlawula; 
selected	hlawurile; 
selection	ku hlawula; 
self	hi wexe; 
self-determination	vutiyimiseri; 
self-sufficiency	ku tikota; 
selfless	ku nga tilaveli swa wena; 
sell	xavisa; 
selling	xavisa; 
seminar	seminara; 
seminars	tiseminara; 
send	rhumela;  rhuma; 
sending	rhumelaka;  rhumaka; 
sends	rhumela;  rhuma; 
senior	nkulu; 
sense	switwi; 
sensitive	xa nyanyuko;  -twela; 
sent	rhumiwile; 
sentence	xivulwa;  kavanyisa;  avanyisa;  xigwevo; 
sentenced	gweviwile;  bohiwile; 
sentences	swigwevo;  gweva; vubohiwa;  swivulwa; 
sentencing	boha;  gweva;  gweviwa;  avanyisa; 
separate	avanyisa;  hambanyisa;  -hambana; 
separated	hambanile;  hambanisiwile;  avanyisiwile; 
separately	hi ku hambana; 
separation	ku hambana; 
sequestration	ku tekela rifuwo ku fikela loko swikweleti swi hakeriwile.; 
series	ntlhandlamano; 
serious	xo tivikana; 
seriously	hindlela yo tivikana; 
servants	vatirhi;  malandza; 
serve	tirha;  ku rhumela;  pfuna;  phamela; 
served	rhumerile;  phamerile;  tirherile; korhokerile; 
serves	rhumela;  tirhela;  phamela;  korhokela; 
service	vukorhokeri; 
serviced	korhokerile; 
services	vukorhokeri; 
serving	tirhela;  phamela;  korhokela; 
session	nkarhi;  nhlengeletano; 
sessions	tinhlengeletano;  mikarhi; 
set	ntlawa;  deka;  nhlengelo;  -lunghisa;  sete; 
sets	lunghisa;  mitlawa;  tisete;  mihlengelo;  swikatsa; 
setting	deka mathireyi; 
settle	aka; 
settled	tshamisekile;  hakerile; 
settlement	ntwanano;  byako; 
settlements	tihakelo;  vuako; 
settler	hlapfa; 
settlers	vahlapfa; 
seven	nkombo; 
several	swo hlaya; 
severe	xo nonon'hwa;  xa matimba; 
sew	rhunga; 
sewing	rhunga; 
sex	rimbewu; 
sexual	 xa xiendlo xa swa masangu; -xiendlo xa masangu; 
sexually	hi swa masangu; 
shall	ta; 
shape	xivumbeko;  vumba; 
shaped	vumbile;  vumbekile; 
shapes	swivumbeko; 
shaping	ku vumba; 
share	avelana;  nkavelo;  xiave;  avela; 
shared	averiweke;  avelanile; avelaniwaka;  avelaniwile; 
shareholder	mukhomaxiave; 
shareholders	vakhomaxiave; 
shareholding	mikavelo; 
shares	avelana;  mikavelo; 
sharing	avelana;  avela;  avelanaka; 
shark	nyakwave; 
sharks	tinyakwave; 
sharp	ku kariha;  mfungho wa ntlakuso; 
she	yena; 
shed	dlhadlha;  dladla; 
shedding	humesa;  hunguta; dzudza; 
sheet	lakani;  ripapila;  zinki; 
sheets	maphepha; swipandzu;  malakani; 
shelter	xisirhelelo;  vusirhelelo; 
sheriff	xandla xa majaji; 
sheriffs	varhumiwa va khoto; 
shift	xifi; 
shifted	fambile; 
shifting	tshuneta; 
shifts	mifambofambo; 
ship	xikepe;  ngalava; 
shipping	ku tleketla tinhundzu hi le lwandle; 
ships	swikepe;  swikwekwetsu; 
shock	nchuho;  ntshuko; 
shocked	hlamarile;  tshukile; 
shocks	hlamarisa; 
shop	xitolo;  vhengele; 
shopping	ku xava; 
shops	mavhengele;  switolo; 
shore	ribuwu; 
shores	tibuwa; 
short-term	nkarhi wo koma; 
shortage	nkayivelo; 
shortages	mikayivelo; 
shorter	koma; 
shortly	ku nga ri khale; 
should	fenele; 
shoulders	makatla; 
show	komba; 
showcase	kombisa; 
showcasing	kombisaka; 
showed	kombile; 
showing	kombaka; 
shown	kombile; 
shows	mikombiso; 
side	tlhelo;  tlhelo ra xiganga;  makumu; 
sign	mfungho;  fungha;  nkombeto;  xikombisi;  sayina; 
signal	xileriso;  xikoweto;  xikhameto;  mpfumawulo;  koweta; 
signals	swikoweto;  magandlati ya moya;  swikombo;  koweta; 
signature	nsayino;  sayino; 
signed	sayiniweke;  kowetiweke;  sayinile;  funghile; kowetile; 
significance	nkoka;  ku tivikana; 
significant	swa nkoka;  swo tivikana; 
significantly	hindlela ya nkoka, hindlela yo tivikana; 
signifies	yimela;  fungha; 
signing	sayina;  fungha;  sayinaka; kowetaka;  koweta; 
signs	sayina;  fungha;  swikoweto;  mifungho; 
silver	silivhere; 
similar	yelana;  swo yelana; 
similarly	hindlela yo fana; 
simple	olova;  (xo) olova; 
simply	ntsena;  hi ku kongoma; 
simultaneously	hi nkarhi wun'we; 
since	ku sukela loko; 
sincere	ku tshembeka; 
sincerely	hindlela yo tshembeka; 
sing	yimbelela; 
singer	muyimbeleri; 
singing	yimbelelaka; 
single	xin'we; 
sister	sesi; 
sisters	vasesi; 
sit	tshama; 
site	ndhawu;  byako; 
sites	tindhawu;  vuako; 
sitting	ntshamo; 
sittings	mitshamo; 
situate	akiwa; 
situated	tshameke; 
situation	xiyimo;  vutshamo; 
situations	swiyimo;  vutshamo; 
six	tsevu; 
sixth	 vutsevu; n'we xa tsevu; 
size	mpimo;  sayizi;  vukulu; 
skill	vuswikoti;  vutshila;  xikili; 
skilled	-vutshila; 
skills	vuswikoti;  vutshila;  swikili; 
slave	hlonga;  hlongha; 
slavery	vuhlonga;  vuhlongha; 
slaves	mahlonga; 
slightly	switsongo; 
slip	xihluke;  -rheta; 
slow	khwatsi; 
small	xisuti;  -tsongo; 
small-scale	hi mpimo lowutsongo; 
smaller	ntsongo; 
so	kutani;  hikokwalaho; 
so-called	leswi va nge i; 
soccer	bolo;  bolo ya milenge; 
social	swa vanhu; 
socially	hi swa vanhu; 
societal	swa rixaka; 
societies	vaaki;  tinxaka; 
society	vaaki;  vandla;  vaakatiko; 
socio-economic	swa soxiyoikhonomiki;  swa vanhu na ikhonomi; 
socioeconomic	swa soxiyoikhonomiki; 
software	sofuwere; 
soil	misava; 
solar	swa dyambu; 
sold	xavisiwile; 
soldiers	masocha; 
sole	soli; 
solely	ntsenantsena; 
solid	(xo) tiya;  xo tiya;  gadi;  xo oma;  -tiya;  ku tiya; 
solidarity	nseketelano; 
solution	nhlamulo;  n'oko;  soluxini;  ntlhantlho wa xiphiqo; 
solutions	switshunxo; min'okiso;  mipfangano;  switsuhnxo; 
some	swin'wana; 
someone	munhu un'wana; 
something	xilo xin'wana; 
sometimes	mikarhi yin'wana; 
somewhat	kwalomu ka; 
son	n'wana wa mufana; n'wana wa jaha; 
song	risimu; 
songs	tinsimu; 
soon	ku nga ri khale; 
sophisticated	wa ntokoto lowukulu; lexi hluvukeke swinene; 
sort	lunghisa;  -avanyisa; 
sought	lavekile; 
soul	moya; 
souls	mimoya; 
sound	mpfumawulo;  -twala; 
sounds	mipfumawulo; 
source	xihlovo;  xipfelerisi; 
sources	swihlovo; swipfelerisi; 
sourcing	kuma; pfelerisa; 
south	dzonga;  tlhelo ra dzonga; 
southern	dzongeni; 
sovereign	mufumi; 
space	ndhawu;  xivangwa;  xibakabaka; 
spaces	xivandla; 
spatial	vundhawu; 
speak	-vulavula; 
speaker	xipikara; 
speakers	swivulavuri; 
speaking	vulavula; 
speaks	vula; 
spear	tlhari; 
special	hlawuleka;  xipecele; 
specialisation	ntirho hi ku kongomisa; 
specialised	kongomisa eka vutivi byo karhi; 
specialist	mutshila;  ntshila; 
specially	hi xikongomelo xo hlawuleka; 
species	rixaka;  mixaka; 
specific	-xiviri; 
specifically	ngopfungopfu; 
specification	xipimelo; 
specifications	swikoxometo; 
specified	kombisiweke; 
specify	kombisisa; 
specimen	xikombiso; 
specimens	swikombiso; 
spectacular	ntlangu wo koka mahlo; 
spectrum	makumu na makumu; 
speech	mbulavulo;  matimba ya ku vulavula;  ku vulavula; 
speeches	mivulavulo; 
speed	rivilo;  rianghwetlo; 
speedy	xa rivilo; 
spend	tirhisa; 
spending	tirhisa; 
spent	tirhisile; 
sphere	bolo;  xirhendzevutana; 
spheres	swiyenge; swirhendzevutana; 
spirit	moya; 
spiritual	-ximoya;  -moya; 
split	avanyisa;  pandza; 
spoke	vulavurile; 
spoken	vulavuriwaka; 
spokesperson	muvulavuleri; 
sponsored	seketerile hi timali; 
sport	mitlangu; 
sporting	swa mitlangu; 
sports	ntlangu; 
spotlight	etimhakeni;  emahungwini; 
spouse	nkata; 
spouses	muringani; 
spread	hangalasa; 
square	xikwere;  andziso wa nomboro hi yoxe; 
stabilise	tiyisa; 
stability	ntshamiseko;  ntiyo; 
stable	xitala; 
stadium	rivala ra mitlangu; 
stadiums	timbala ta mitlangu; 
staff	xitafu; 
stage	xiyimo;  xiteji; 
stages	swiyimo;  switeji; 
staging	ntlawahato; 
stakeholder	 mukhumbeki; mukhumbheki; 
stakeholders	vakhomaxiave; 
stalwart	khehla; 
stalwarts	makhehla; 
stamp	xitempe; 
stance	xiyimo; 
stand	 vutshama-vahlaleri; xiyimiso; 
standard	mpimo;  ntangha; 
standardised	ringanisiweke; ringanerisiweke; 
standardization	ndzinganiso; ndzinganeriso; 
standards	maendlelo;  mipimo; 
standing	xiyimo;  yima; 
stands	swiyimiso;  vutshamavahlaleri; 
stanza	ndzimana; 
star	nyeleti; 
stars	tinyeleti; 
start	sungula; 
started	sungurile; 
starting	sungula; 
starts	sungula; 
state	mfumo;  tiko;  xiyimo; 
state-owned	lexi ehansi ka vun'wini bya mfumu; 
stated	vurile;  boxile; 
statement	rito;  xitatimende; 
statements	nhlamuselo; 
states	matiko;  swiyimo;  mifumo; 
stating	vula; 
station	xitichi; 
stationery	swotsala; 
stations	switichi; 
statistical	swa tinhlayonhlayo; 
statistician-general	n'watinhlayonhlayo-jenerali; 
statistics	tinhlayo; 
statue	xivatliwa; 
stature	xiyimo;  vulehi; 
status	xiyimo; 
statute	nawu; 
statutes	milawu; 
statutory	 milawu leyi pasisiweke; milawu leyi tsariweke; 
stay	tshama; 
steadily	hindlela leyi nga tsekatsekiki; 
steady	xo tiyela; 
steal	yiva; 
steel	nsimbhi;  xitili; 
steer	chayela; 
steering	chayela; 
step	xitepe;  vurhala; 
steps	magoza;  vurhala; 
sterling	xa nkoka; mali ya Britain; 
still	miyeta; 
stimulate	nyanyula; 
stimulating	nyanyula; 
stipulate	lerisa; 
stipulated	lerisiweke; 
stock	swifuwo;  mpahla; 
stolen	yiviwile; 
stone	nyungu;  ntiko-ribye;  nchila;  susa nyungu; 
stood	yimile; 
stop	yima; 
storage	vuhlayiselo; 
store	hlayisa;  vuhlayiselo; 
stored	hlayisiweke; 
stories	switori; 
storm	bubutsa; 
story	mahungu;  xitori; 
storytellers	vagaringeti; 
storytelling	ku garingeta; 
strategic	swa maqhinga; 
strategies	maqhinga; 
strategy	kungu; 
stream	xinambyana; 
streams	swinambyana; 
street	xitarata;  ntikiso; 
streets	switarata; 
strength	matimba; 
strengthen	tiyisa; 
strengthened	tiyisile; 
strengthening	tiyisaka; 
stress	ntshikelelo;  tikisa;  ku karhala ka miri kumbe miehleketo; 
strict	-vuxopaxopa; 
strides	magoza; 
strike	xitereko; ba;  tereka; 
string	rincindha;  risinga; 
strip	vandla;  xitoki;  xilapana xo lala; 
strips	vandla;  makamba;  kwamula; 
strive	phikelela; 
striving	phikelela; 
strong	xo tiya; 
stronger	xo tiya; 
strongly	hindlela yo tiya; 
struck	bile; 
structural	swa xivumbeko; 
structure	xivumbeko; 
structured	vumbile; 
structures	swivumbeko; 
struggle	lwa;  ku lwa;  kayakaya; 
struggles	lwa;  kayakaya; 
struggling	lwa;  kayakaya; 
student	mudyondzi;  xichudeni; 
students	swichudeni; 
studies	tidyondzo; 
studio	xitudiyo; 
studios	switudiyo; 
study	dyondzo; 
style	xitayili;  xikhoma-xiluva;  matsalele;  xirhelelo; 
sub	ntsariso; muwisisi;  ntsongo; 
sub-item	xiphemutsongo; 
sub-programme	nongonokotsongo; 
sub-regulation	xinawanatsongo; 
subject	dyondzo;  nandza;  nhloko-mhaka;  nkhozisa; 
subjected	yisa;  lawuriwa; khonzisile;  va ehansi ka; 
subjects	tidyondzo;  tinhlokomhaka; mulavisisiwa;  malandza; 
submission	xiviko; 
submissions	swibumabumelo; 
submit	yisa;  tisa; 
submitted	yisile;  tisile; 
submitting	tisaka;  yisaka; 
subparagraph	ndzimanatsongo; 
subpoena	samanisi; 
subpoenaed	vitana ekhoto; 
subscribe	seketela;  tsarisa ku kuma xo karhi; 
subscribed	seketerile;  tsarisile ku kuma xo karhi; 
subsection	ndzimanyana; 
subsections	swiyengentsongo; 
subsequent	-landzelaka; 
subsequently	xikan'wekanwe endzhaku ka sweswo; 
subsidiary	rhavi;  xitatisi;  khamphani leyi lawuriwaka kun'wana; 
subsidies	mali ya mpfuneto; 
subsidy	mali yo pfuna; 
subsistence	swo tihanyisa; 
substance	nchumu; 
substances	michumu; 
substantial	swo khomeka;  swo tivikana;  swa nkoka; 
substantially	 hindlela yo tivikana; hindlela yo khomeka; 
substantive	rivitankulu; 
substitute	siva;  musivi; 
substituted	sivile; wisisiweke;  wisisile; 
substitutes	swisivi;  vawisisi;  vasivi; 
substituting	siva;  wisisa; 
substitution	ku wisisa; 
succeed	landzela; 
succeeded	humelerile; 
success	nkoto;  humelelo; 
successes	ku humelela; 
successful	humelela;  ku kota; 
successfully	hindlela leyi fambaka kahle; 
succession	nandzelelano;  ku dya ndzhaka; 
successor	mupfali; 
such	swo tano; 
suffer	xaniseka; 
suffered	xanisekile; 
suffering	nxaniseko; 
sufficient	-enela; 
sufficiently	hi ku ringanela; 
sugar	chukele;  chukela; 
suggest	hleketa; 
suggested	ringanyetile; 
suggestion	xiringanyeto; 
