APRIL	MORANANG; 
hand	seatla;  lenaka;  letsogo; 
handle	ogole; 
handling	tshwaro; 
handover	 neeletsa; neela; 
hands	 dinaka;  matsogo; diatla; 
happen	direga; 
happened	diregile; 
happening	tiragalo e e makatsang; 
happens	direga; 
happy	 lapa la kagiso; boitumelo; 
harassment	henahena; 
hard	 retelela; thata;  pala;  popota;  tiile; 
hare	moduolo; mmutla; 
harm	 senya; molato;  utlwisa botlhoko;  tshenyo; 
harmful	kotsi; 
harmony	kutlwano; 
has	na le; 
hatred	letlhoo; 
have	na le; 
having	nang le; 
hazardous	kotsi; 
he	ene (monna); 
head	tlhogo; 
heading	setlhogo;  ntlhakgolo; 
headline	setlhogo; 
headlines	ditlhogo; 
heads	ditlhogo; 
heal	fola; 
healing	kalafi;  phodiso; 
health	 pholo; boitekanelo; 
healthcare	tlhokomelo ya pholo; 
healthy	itekanetse;  -fodileng; 
hear	 utlwa; reetsa; 
heard	utlwile;  reeditse; 
hearing	theetso;  go utlwa; 
hearings	 ditheetso; go utlwa; 
hears	 utlwa; reetsa; 
heart	 leiso; gare;  pelo; 
heavy	 -bokete; bokete; 
hectare	 tekanyo; heketara; 
hectares	diheketara; ditekanyo; 
height	 bogodimo;  bogodimo ba thabana; boleele; 
heights	 bogodimo;  bogodimo ba thabana; boleele; 
held	dutile; 
help	 thuso;  femela; thusa; 
helped	thusitse;  femetse; 
helping	tshola; 
helps	 thuso;  femela; thusa; 
hence	ke ka moo; 
her	ene (mosadi); 
heraldry	thutasekao (coats and arms); 
here	fa;  fano; 
hereby	ka se; 
hereinafter	morago ga se; 
heritage	boswa; 
hero	mogale;  mogaka; 
heroes	 bagaka; bagale; 
heroine	mogale; 
heroines	bagale; 
herself	ka boene (mosadi); 
hide	letlalo; 
hierarchies	ditatelano tsa maemo; 
high	godimo; 
high-level	kwa godimo; 
higher	godingwana; 
highest	godimodimo; 
highlight	gatisa;  fetola mmala wa moriri;  tshwaya; 
highlighted	 tshwaile; gatisitse;  fetotse mmala wa moriri; 
highlights	ditiragalo tsa botlhokwa; 
highly	thata; 
hill	mmoto; 
hills	dithabana; 
him	ene (monna); 
himself	ka boene (monna); 
his	gagwe (monna); 
historian	mohisetori; 
historians	bahisetori; 
historic	 ­bogologolo; ­mo nakong e e fetileng; 
historical	hisetori; 
historically	bogologolo; 
histories	 hisetori; ditiragalo; 
history	 hisetori; ditiragalo; 
hit	betsa;  itaya;  konopa; 
hold	duta; 
holder	seduti; 
holders	diduti; 
holding	dišere; 
holdings	dišere; 
holds	duta; 
holiday	boikhutso; 
holidays	boikhutso; 
holistic	ka gotlhe; 
homage	tlotlo; 
home	legae; 
homelessness	botlhokagae; 
homepage	tsebekgorogo; 
homes	magae; 
hominid	sekamotho; 
honorary	tlotla; 
honour	 tlotlego; tlotlo;  tlotla; 
honourable	 yo o tlotlegang; motlotlegi; 
honoured	tlotlegile;  tlotlilwe; 
honouring	tlotlang; 
honours	onase; 
hope	tshepo; 
hoped	tshepile; 
hopefully	ka tsholofelo; 
hopes	tshepo; 
hospital	 sepetlele; bookelo; 
hospitality	 thelesetso; tsholo; 
hospitals	maokelo;  dipetlele; 
host	mong-gae; 
hosts	beng-gae; 
hotel	hotele; 
hotels	dihotele; 
hour	 iri; ura; 
hours	diura; 
house	ntlo; 
household	 ditsalapa; legae; 
households	 ditsalapa; magae; 
houses	dintlo; matlo; 
housing	ntlo;  bonno;  kagomatlo; 
how	jang; 
however	 le fa go ntse jalo; le gale; 
hub	pelo;  bogare;  legare; 
huge	­golo; 
human	 ya motho;  setho; motho; 
humanities	dithuto tsa saense ya botho; 
humanity	 dithuto;  go rata batho; botho; 
humankind	batho; 
humans	batho;  ya motho;  setho; 
humble	 boikokobetso; boikobo; 
humbled	ikokobeditse; 
humility	 boikokobetso; botho; 
hundred	lekgolo; 
hundreds	makgolo; 
husband	mogatsa (monna); 
icon	tshupane; 
iconic	aekhone; ­tumileng; 
icons	ditshupane; 
idea	kgopolo; 
ideal	maikaelelo; 
ideals	maikaelelo; 
ideas	dikgopolo; 
identical	tshwanang tota; 
identification	temogo; 
identified	lemogile;  supile; 
identifies	lemoga;  supa; 
identify	lemoga;  supa; 
identifying	supang;  lemogang; 
identities	ditlhaolo; boitshupo; 
identity	 tlhaolo; boitshupo; 
if	 fa e le gore; fa; 
ill	 bobola;  utlwa botlhoko;  ­maswe; lwala; 
illegal	- seng molaong; 
illiteracy	go sa itse go kwala le go bala; 
illness	bolwetse; 
illustrate	tlhalosa;  kaya;  sedifatsa; 
illustrated	tlhalositse;  kaile;  sedifaditse; 
image	setshwano; 
images	ditshwano; 
imagination	kakanyo; 
imbalances	botlhokatekatekano; 
immediate	fela jaanong; 
immediately	ka bonako;  jaanong jaana; 
immense	kgologadi; 
immensely	thata; 
immigration	khudugelo; 
imminent	­bonako; 
immovable	­sa suteng; 
immunisation	moento;  tlhabela;  tshoutiso; 
impact	thulano; 
impaired	koafetse; 
impediments	dikgoreletsi; 
imperative	modirisotaelo; 
imperatives	medirisotaelo; 
implement	diragatsa;  sediriswa; 
implementation	tiriso; 
implemented	diragaditse; 
implementing	diragatsang; 
implements	diragatsa; 
implications	bokao; 
implies	 raya; kaya; 
import	ditswantle;  serapo;  raopa; 
importance	botlhokwa; 
important	 tlhokegang; botlhokwa; 
importantly	ka botlhokwa; 
imported	raopile; 
importer	moraopi; 
imports	ditswantle; 
impose	gobetsa; 
imposed	gobeditse; 
imposing	gobetsang; 
imposition	kgobetso; 
impossible	- sa kgonege; 
impressed	kgatlhegile; 
impressive	­kgatlhisang; 
imprison	 golega; -tswalelwa kgolegelong; 
imprisoned	golegilwe;  -tswaletswe kgolegelong; 
imprisonment	tswaletswe; 
improper	­seng maleba; 
improve	tokafatsa; 
improved	tokafaditse; 
improvement	tokafatso; 
improvements	ditokafatso; 
improving	tokafatsang; 
inability	bosenathata; 
inadequate	­sa lekanang; 
inappropriate	­seng maleba; 
inaugural	tlhomo; 
inauguration	tlhomo; 
incapable	­se na bokgoni; 
incapacity	tlhaelo ya bokgoni; 
incarceration	 golega; tshwara; 
incentive	 rotloetsang; tlhotlheletso; 
incentives	ditlhotlheletso; 
inception	 tshimologo; tlholego; 
incident	tiragalo; 
incidental	wela; 
incidents	ditiragalo; 
include	akaretsa; 
included	akareditse; 
includes	akaretsa; 
including	mmogo; 
inclusion	go tsenya; 
inclusive	­tsenyeletsang;  ­akaretsang; 
inclusivity	kakaretso; 
income	lotseno; 
incomes	lotseno; 
incomplete	­sa felelang; 
inconsistent	-sa tshwane; 
incorporate	tlhakanya; 
incorporated	tlhakantse; 
incorporates	tlhakanya; 
incorporation	kopanyo;  tlhakanyo; 
incorrect	fosagetse; 
increase	oketsa; 
increased	okeditse; 
increases	oketsa; 
increasing	oketsang; 
increasingly	 ka totafalo; ka koketsego;  ka ntsifalo; 
inculcate	tlhabelela; 
incurred	tshwanelo ya tuelo; 
indaba	kgothakgothe; 
indeed	e le ruri; ka mannete; 
independence	boipuso; 
independent	ipusang; 
independently	ka kemonosi; 
index	tshupane; 
indicate	supa; 
indicated	supile; 
indicates	supa; 
indicating	supang; 
indication	 sesupo;  kaelo; sekao; 
indications	 disupo; dikaelo;  dikao; 
indicative	­supa; 
indicator	 sekaedi; sebontshi;  sebontshiphetodi; 
indicators	dibontshi; dibontshaphetodi; dikaedi; 
indices	ditshupane; 
indigenous	 -tlholegileng; tlholegileng; 
indirect	motsopodia; 
indirectly	­sa tlhamalalang; 
individual	 ka nosi; nosi; 
individually	 ka nosi; ka bongwe; 
individuals	 batho ka nosi;  ka nosi; nosi; 
industrial	 sa diatla; intaseteri; 
industries	 diintaseteri; madirelo; 
industry	 bodirelo; intaseteri; 
inequalities	ditlhokatekatekano; 
inequality	tlhokatekatekano; 
infected	tshwaeditswe; 
infection	tshelo;  tshwaetso; 
infections	ditshelo;  ditshwaetso; 
inferior	nyatsegang; 
inflows	tseno;  kgorogo; 
influence	 - tlhotlheletsa; tlhotlheletso; 
influenced	tlhotlheleditse; 
informal	e seng ka tlwaelo; 
information	tshedimosetso; 
informed	 boleletse; itsisitse; 
informing	itsiseng; 
infrastructure	 dithulaganyetso tsa; mafaratlhatlha; 
inherent	karolo e e ka se kgaoganngweng; 
inherit	- ja boswa;  go ja boswa; 
inherited	jele boswa; 
initial	 tlhakaina; pele; 
initially	kwa tshimologong; 
initiate	- ya lebololo; 
initiated	go kwala ditlhakaina; 
initiative	itshimololelo; 
initiatives	diitshimololelo; 
initiator	mosimolodi; moitshimololedi; 
injuries	dikgobalo;  dikhutlego; 
injury	kgobalo;  khutlego; 
injustice	tshokelelo; 
injustices	ditshokelelo; tlhokabosiamisi; 
inmates	batshwarwa, mapantiti; 
inner	ka fa gare; 
innovative	go itlhamela; 
input	tsenya tshedimosetso;  setsenngwa;  tshedimosetsotsenngwa; 
inputs	tsenya tshedimosetso; ditsenngwa;  tshedimosetsotsenngwa; 
inquest	ditlhotlhomiso; 
inquiry	patlisiso; 
inscribed	kwadile;  thadile; 
insert	tsenya; 
inserted	tsentse; 
insertion	tsenyo;  kgokelo; 
inside	-teng; 
insight	tshedimosetso; 
insights	bokgoni jwa go tlhaloganya; 
insolvency	botšhoni; 
insolvent	tšhona; 
inspect	tlhatlhoba; 
inspection	 - tlhatlhoba; tlhatlhobo; 
inspections	ditlhatlhobo; 
inspector	motlhatlhobi; 
inspectorate	setlhopha sa batlhatlhobi; 
inspectors	batlhatlhobi; 
inspiration	kgothatso;  go tiya mooko; 
inspire	tlhotlheletsa; 
inspired	tlhotlheleditse; 
inspiring	tlhotlheletsang; 
install	tsenya;  gokela; 
installation	kgokelo; 
installed	goketse; 
instalment	karolotuelo; 
instalments	dikarolotuelo; 
instance	sekai; 
instances	dikai; 
instead	mo boemong jwa; 
institute	setheo; 
institution	setheo; 
institutional	­setheo; 
institutions	ditheo; 
instruction	taelo; 
instructional	 ­rutang; ­laelang; 
instructions	ditaelo; 
instrument	 seletso; sediriswa;  sediriso; 
instruments	didiriswa;  didiriso;  diletso; 
insufficient	go sa lekana; 
insurance	putlelelo; 
insurer	moabi wa inšorense; 
intangible	tlhokatlhaloso; ­sa tshwaregeng; 
integral	tletseng; 
integrate	 lotana; kopanya; 
integrated	kopane;  lotane; 
integration	lotano; 
integrity	tshiamo; 
intellectual	­tlhaloganyo; 
intellectuals	batlhalefi; 
intelligence	bokgoni;  tlhalefo;  matlhale; 
intend	ikaelela; 
intended	ikaeletse; 
intends	ikaelela; 
intensify	­maatlafatsa; 
intensive	tirisisi; 
intent	maikaelelo; 
intention	maikaelelo;  maitlhomo; 
intentionally	ka bomo;  ka maikaelelo; 
inter	­gare; 
interact	 dirisana; tirisano; 
interacting	dirisanang; 
interaction	tlhotlheletsano; 
interactive	tshedimosetsano; 
interception	 kgaoletso; kgoreletso; 
interdepartmental	­gare ga mafapha; 
interest	 dinamanyane; kgatlhego;  tsalo;  kgatlha; 
interested	kgatlhegile; 
interesting	kgatlhang; 
interests	 dinamanyane; dikgatlhego; dikgatlhiso;  kgatlha;  ditsalo; 
interfaith	­gare ga badumedi; 
interfere	kgoreletsa; 
interference	kgoreletso; 
intergenerational	­gare ga ditshika; 
intergovernmental	­gare ga dipuso; 
interim	nakwana;  sebakana; 
intermediaries	batsereganyi; 
intermediary	tsereganyo; 
intermediate	­magareng; 
internal	 -ka fa teng; teng;  -teng; 
international	boditšhabatšhaba; 
internationally	boditšhabatšhaba; 
internet	inthanete; 
interns	baithutelatirong; 
internship	ithutelotirong; 
interpret	ranola;  - ranola;  toloka; 
interpretation	toloko; 
interpreted	ranotse; tolokile; 
interrogate	botsolotsa; 
interval	kgaotso; 
intervene	 tsena gare; kgaoganya; 
intervention	tsenogare; kgaoganyo; 
interventions	dikgaoganyo; ditsenogare; 
interview	potsotherisano;  go tshwara ditherisano; 
interviews	dipotsotherisano;  go tshwara ditherisano; 
intestate	go sa aba boswa; 
into	mo teng; 
introduce	tlhagisa;  - tlisa;  - tshela;  itsise; 
introduced	tlhagisitse;  itsisitse;  tlisitse; 
introducing	tlhagisang;  itsiseng;  - tlisang; 
introduction	tlhagiso; 
invalid	sekoa; 
invaluable	sa botlhokwa; 
inventory	lenanethoto; 
invest	 gwebisa; beeletsa; 
invested	gwebisitse; beeleditse; 
investigate	batlisisa; 
investigated	dikgaotso; 
investigating	batlisisang; 
investigation	patlisiso; 
investigations	dipatlisiso; 
investigative	­patlisiso; 
investigator	mmatlisisi; 
investigators	babatlisisi; 
investing	 beeletsang; gwebisang; 
investment	 tsadiso; peeletso; 
investments	dipeeletso;  ditsadiso; 
investor	mmeeletsi; 
investors	babeeletsi; 
invitation	taletso; 
invite	- laletsa; 
invited	- laleditse; 
inviting	- laletsang; 
involve	akaretsa; 
involved	akareditse; 
involvement	go akaretsa; 
involves	akaretsa; 
involving	akaretsang; 
iron	 tshidilo;  aene; tshipi;  sidila; 
irregular	sa tlhamalala; 
irregularities	dithulaganyo-botlhaswa; 
irrespective	go sa tshwenye; 
irrigation	nosetso; 
isiXhosa	puo ya isiXhosa; 
island	 setlhake; setlhaketlhake; 
issue	tlhagiso; 
issued	tlhagiso;  tlhagisitse; 
issues	ditlhagiso; 
item	ntlhana;  ntlhana ya; 
items	dintlhana; 
itself	sebele;  bosone; 
jazz	jese; 
jewellery	dibenya; 
job	tiro; 
jobs	ditiro; 
join	lomaganya; 
joined	lomagantse; 
joining	lomaganyang; 
joint	tokololo;  tomaganyo; 
jointly	ka kopanelo; 
journalism	bobegakgang; 
journalist	mojenalese; 
journalists	babegakgang; 
journey	 eta; leeto; 
joy	boipelo;  boitumelo; 
judge	moatlhodi;  atlhola; 
judgement	katlholo; 
judges	atlhola;  baatlhodi; 
judgment	katlholo; 
judgments	dikatlholo; 
judicial	katlholelo; 
judiciary	bosiamisi; 
junior	mmotlana; 
jurisdiction	taolo; 
jurisdictions	ditaolo; 
juristic	mothomolaong; 
just	­lolame;  ­siame; 
justice	bosiamisi; 
justified	siamisitswe;  ­utlwalang;  rulagantswe (ditsebe); 
justify	 siamisa; rulaganya; 
keen	 šwegašwega; tlhaga; 
keep	tshola;  boloka;  dibela; 
keeping	ka go tshwantshanya; 
kept	 dibetse;  bolokile; tshotswe; 
key	 senotlolo;  dinnoto; kaedi;  khii;  taetsi;  konopo; 
keynote	 morero wa botlhokwa; nnotokhii; 
kick	raga; 
kill	bolaya; 
killed	bolaile; 
kilometre	kilometara; 
kilometres	dikilometara; 
kind	siama; 
kindly	 ka bopelotlhomogi; ka bopelonomi; 
king	kgosi; 
kingdom	puso;  bogosi; 
kings	dikgosi; 
knew	itsile; 
know	itse; 
knowing	­kitso; 
knowingly	ka kitso; 
knowledge	kitso; 
known	itsile; 
knows	itse; 
laboratories	dilaboratori; 
laboratory	laboratori; 
labour	 go belega; dira;  leralelo;  tiro; 
lack	 go tlhoka; tlhoka; 
ladies	makgarebe; 
laid	beile;  beetse; 
lake	letsha; 
land	lefatshe;  tshimo;  kotama; 
landfill	 epa thotobolo; thotobolo ya mo tlase ga mmu; 
lands	mafatshe; 
landscape	lenaga; 
language	puo; 
languages	dipuo; 
lapse	 kgeloga; tlhaela; 
large	kgolo; 
large-scale	ka bontsi; 
largely	ka bogolo; 
larger	kgolwane; 
largest	kgolokgolo; 
last	bofelo; 
lasting	tshwarelelang; 
lastly	kwa bofelong; 
late	 setswe;  tlhokafetse; thari; 
later	moragonyana; 
latest	­sešweng; 
latter	morago; 
laughter	setshego; 
launch	tlhasela; 
launched	tlhasetse; thankgolotse; 
launches	tlhasela; thankgolola; 
launching	thankgololang; tlhaselang; 
laundering	 utswa madi; tlhatswa; 
laureate	moamogelatlotla (kabo ya Nobele); 
laureates	baamogelatlotla; 
law	molao; 
law-making	tlhomo-molao; 
lawful	­semolao;  ­letleletswe; 
lawfully	ka molao;  ka tetla; 
laws	melao; 
lawyer	ramolao;  agente; 
lawyers	 diagente; boramolao; 
lay	 beela; baya; 
laying	 beelang; bayang; 
lead	lloto;  bothale; 
leader	moeteledipele; 
leaders	baeteledipele; 
leadership	 baetapele; boeteledipele;  ketapele; 
leading	eteletse pele; 
leads	bothale; dilloto; 
leaflet	letlhatshana; 
leaflets	matlhatshana; 
league	 lliki; kgolagano; 
learn	ithuta; 
learned	ithuta; 
learner	morutwana; 
learners	barutwana; 
learning	ithuta; 
learnt	ithutile; 
lease	khiriso ya setsha; 
leased	 hirisa [hirisitse]; khiriso ya setsha; 
leasehold	thekokhiro; 
least	 bobotlana; bonnye; 
leave	khunologo; 
leaves	dikhunologo; 
lecture	thuto;  ruta; 
left	molema; 
leg	 leoto; letlhakore; 
legacies	boswa; 
legacy	boswa; 
legal	molao;  - semmuso; 
legally	ka molao; 
legend	noolwane; 
legendary	 ­itsegeng; ­tumileng; 
legends	dinoolwane; 
legislation	peomolao; 
legislative	­peomolao; 
legislature	kokoanopeomolao; 
legislatures	dikokoanopeomolao; 
legitimacy	ka molao; 
legitimate	­ka fa molaong; 
lend	adima; 
lending	adimang; 
length	boleele; 
less	 -nnye; nnye; 
lesser	 bobotlana go; ­nnye go; 
lesson	thuto; 
lessons	dithuto; 
let	rebola;  mma;  letlelela;  letla; 
letter	lekwalo;  tlhaka; 
letters	 ditlhaka; makwalo; 
level	 lekalekanya; bogodimo;  lekalekane;  baterepasa; 
levels	 lekalekanya; dibaterepase; bogodimo; 
levies	makgethwana; 
levy	lekgethwana; 
liabilities	melato; 
liability	molato; 
liable	boikarabelo; 
liaise	gokaganya; 
liaison	kgokaganyo; 
liberalisation	phokotsobogale (molao); 
liberation	kgololosego; 
librarian	molaeborari;  radirekoto;  ramabuka; 
librarians	 boramabuka; balaeborari;  boradirekoto; 
libraries	dilaeborari; dipolokelarekoto; 
library	 polokeladirekoto; laeborari;  mabuka; 
licence	laesense;  lekwalotetla; 
licences	dilaesense;  makwalotetla; 
license	lekwalotetla; 
licensed	 ­letlelesegile;  ­na le lekwalotetla; ­na le laesense; 
licensee	moletlwa ; 
licensees	baletlwa; 
lie	tsela e lesea le robalang ka yona mo popelong; 
life	botshelo; 
lifetime	botshelo botlhe; 
light	 tshuba; lesedi;  bofefo;  kganya;  botlhofo; 
lighting	dipone; 
like	 tshwana le; rata; 
likely	­na le kgonagalo ya; 
limit	 tekano; tekanyetso; 
limitation	tekanyetso; 
limitations	ditekanyetso; 
limited	lekanyeditswe; 
limits	ditekanyetso;  ditekano; 
line	 aletsa; mola;  mothaladi; 
line'	 aletsa;  methaladi; mela; 
line-up	 mokoloko; kologano; 
lines	mela; 
link	gokaganya;  segokaganyi;  segoke; 
linkage	kgokagano; 
linkages	dikgokagano; 
linked	gokagantse; 
linking	gokaganyang; 
links	dikgoke; dikgokagano; 
liquid	seedi; 
liquidation	tlhaoloso; 
liquidator	motlhaolosi; 
liquidity	boedi; 
liquor	bojalwa; 
list	 lenaane; lenane; 
listen	reetsa;  sekega tsebe; 
lists	manane; 
literacy	bokgoni jwa go kwala le go bala; 
literally	go ya ka bokaotota; 
literary	­dikwalo; 
literature	dikwalo; 
litigation	tleleimi (kgotlatshekelo); 
little	 lemme; nnye; 
live	tshela; 
lived	tshedile; 
livelihoods	metswedituelo; 
lives	matshelo; 
livestock	 diruiwa; loruo; 
living	tshelang; 
load	morwalo; 
load-shedding	kgaolo ya motlakase; 
loan	kadimo; 
loans	dikadimo; 
local	selegae;  tikologo; 
locally	selegae; 
locals	selegae; 
located	­fitlhelwa; 
location	 lekeišene; lefelo; 
lock-up	notlela; 
lodge	 bonno ba nakwana; ntlo; 
lodged	tlhomile;  file bonno jwa nakwana; 
lodging	bonno ba nakwana (ntlo); 
long	-telele; 
long-term	pakatelele; 
longer	telejana; 
look	sheba; leba; 
looked	lebile; 
looking	lebang; shebang; 
looks	ditebego; 
loop	segole; 
lose	fenngwa; 
loss	 phesente; tatlhegelo; 
losses	diphesente; ditatlhegelo; 
lost	fentswe; 
lot	botshelo jwa motho; 
love	rata; 
loved	ratile; 
lovers	baratani;  dinyatsi; 
low	-tlase; 
low-income	lotseno le le kwa tlase; 
lower	 ­tlase;  isa tlase; fokotsa; 
lowest	tlasetlase; 
lump	 mokoma;  kuruga; lengothe; 
mace	letlhotlho; 
machine	motšhini; 
machinery	metšhini; 
machines	metšhini; 
macro-economic	ikonomikgolo; 
macroeconomic	ikonomikgolo; 
made	dirile;  modiro; 
magazine	makasine;  selata sa dikolo; 
magazines	dimakasine;  dilata sa dikolo; 
magisterial	­magiseterata; 
magistrate	 moatlhodi; magiseterata; 
magistrate's	ya ga magiseterata; 
magistrates	bomagiseterata; 
magnificent	­tlotlomala; 
magnitude	bogolo; 
mail	poso;  posa;  setimela; 
main	­golo; 
mainly	bogolosegolo; 
mainstream	mekgwatirisogale; ­amogelwang ke batho; 
mainstreaming	­akaretsa; 
maintain	tshegetsa; 
maintained	tshegeditse; 
maintaining	tshegetsang; 
maintains	tshegetsa; 
maintenance	 - siamisa; tlamelo;  tshegetso; 
major	 majoro;  mogodi; golo; 
majority	 bontsi; bogolo; 
make	dira;  modiro; 
makers	 batlhodi; badiri;  babopi; 
makes	dira;  mediro; 
making	dirang; 
malaria	letadi; 
male	monna;  bongtona; 
males	banna; 
mall	mmolo; 
man	tlamela; 
manage	 laola; kgona; 
managed	kgonne;  laotse; 
management	 - laola;  taololbolaodi; balaodi; 
manager	molaodi; 
managers	batsamaisi;  balaodi; 
manages	 laola; kgona; 
managing	 laolang; kgonang; 
mandate	taolelo; 
mandates	ditaolelo; 
mandatory	­taolelo; 
manifestations	diponalo;  ditshenolo; 
manner	mokgwa; 
manual	 ya diatla; mosupatsela; 
manufacture	dira;  bopa; 
manufactured	dirile;  bopile; 
manufacturer	modiri; 
manufacturing	bopopo; 
manuscript	leyakgatiso; 
manuscripts	mayakgatiso; 
many	 -ntsi; ntsi; 
map	 mmapa; mmepe; 
mapping	go thadisa; 
maps	dimmapa; 
march	mogwanto;  -gwanta; 
marched	mogwanto;  gwantile;  -gwanta; 
margin	losi;  moolwane; 
marginal	mo molelwaneng; 
marginalised	beetsweng kwa thoko; 
marginalized	beetsweng kwa thoko; 
marine	lewatle; 
maritime	­lewatle; 
mark	 tshwaya;  leduo; letshwao; 
marked	 tshwaile; supile; 
market	 borekisetso;  rekisa;  bagwebi; mmaraka; 
marketing	papatso; 
markets	 mebaraka;  bagwebi;  marekisetso; rekisa; 
marking	 go disa; letshwao; 
marks	matshwao;  tshwaya;  maduo; 
marriage	lenyalo; 
marriages	manyalo; 
married	nyetse; 
mass	 bontsi; bogolo;  boima; 
massive	­golo; 
master	 mothapi; mong;  molaodi; 
master's	­molaodi; 
match	 kgaisano;  mokgwaro;  nyalanya;  - tshwana; tshwana;  motshameko;  nyalano; 
matches	mokgwaro; 
material	 sediro; lesela;  sere; 
materially	ka tiriso ya dimatheriale; 
materials	 matsela; didiro; dire; 
maternal	mmê; 
mathematical	 ­dipalo; ­mathematikisi; 
mathematics	dipalomathaithai;  matesisi; 
matric	marematlou; materiki; 
matrimonial	­lenyalo; 
matter	boladu;  sere; 
matters	 maladu; dire; 
maturity	 - gola; bogodi; 
maximise	oketsa; 
maximum	makisimamo;  botlalogolo;  -golo; 
may	ka;  motsheganong; 
maybe	ka gongwe; 
mayor	ramotse; 
mayors	boramotse; bomeiyare; 
me	nna; 
mean	 raya; kaya;  timana; 
meaning	bokao; 
meaningful	­nang le bokao; 
meaningfully	ka bokao; 
meanings	bokao; 
means	mekgwatiriso; 
meant	 reile;  timane; kaile; 
measurable	lekanyegang; 
measure	 kelo;  boleele;  lekanya;  mothamo;  tekanyo;  boima; nako; 
measured	lekanyeditse; 
measurement	tekanyo; 
measures	 boleele; lekanyetsa;  dikelo;  lekanya;  methamo;  ditekanyo;  boima; 
measuring	lekanya; 
mechanical	tlwaelo; 
mechanism	karolothulaganyo; 
mechanisms	bomotšhini;  dikarolothulaganyo; 
media	boradikgang; 
mediation	tsenogare; thuanyo; 
medical	bongaka;  - bongaka; 
medicine	 setlhare; molemo; 
medicines	melemo;  ditlhare; 
medium	puo ya go ruta; 
medium-term	pakagare; 
meet	kopana;  rakana;  kgatlhana;  phuthega; 
meeting	 phuthego; kopano; 
meetings	 diphuthego; dikopano; 
meets	kopana;  rakana;  kgatlhana;  phuthega; 
mega	­milione; 
melting	 tlhapolosang; gakolosang; 
member	tokololo; 
member's	­leloko; 
members	ditokololo; 
membership	botokololo; 
memorable	- gopolwa; 
memorandum	memorantamo; 
memorial	sefikantswe; 
memories	 dikgakologelo; dikgopolo; 
memory	 kgakologelo; kgopolo; 
mental	 tsa kgopolo; kakanyo; 
mentally	kgopolo; 
mention	- reelela; 
menu	lenanedijo;  lenaanetlhopho; 
merchant	mogwebi; 
mere	fela; 
merely	fela; 
merger	 tshwaraganyo (ditlamo); kopanyo; 
merit	 tuelo; tshwanelo; 
merits	ditshwanelo;  dituelo; 
message	molaetsa; 
messages	melaetsa; 
messenger	morongwa; 
met	kopane;  rakane;  phuthegile;  kgatlhane; 
metal	metale;  mmetale; 
metals	 dimmetale; dimetale; 
method	tsela;  mokgwa; 
methodology	thutatsela; 
methods	mekgwa;  ditsela; 
metro	­terena; 
metropolitan	­toropokgolo; 
micro	­nnyennye; 
middle	-gare; 
midst	­go dikologa; 
might	nonofo;  boganka; 
migration	khudugo; 
milestones	diphitlhelelobotshelo; 
military	sesole;  bosole; 
milk	 lebese; maswi;  mašwi; 
million	milione;  mileone; 
millions	dimilione;  dimileone; 
mind	 mogopolo; tlhaloganyo; 
mindful	 ­gopola; gakolola ; 
minds	megopolo;  ditlhaloganyo; 
mine	moepo;  epa;  rafa; 
mineral	 minerale; menerale; 
minerals	senotsididi; 
mines	meepo;  epa;  rafa; 
minimise	 - fokotsa; fokotsa; 
minimum	bonnye;  minimamo; 
mining	 - epa; epa; 
minister	 moruti; tona; 
minister's	­tona; 
ministerial	- botonakgolo; 
ministers	 baruti; ditona; 
ministry	 boruti; lefapha; 
minor	 mmotlana;  -botlana; potlana; 
minority	 bobotlana; bonnye; 
minutes	metsotso; 
misconduct	maitsholomabe; 
misleading	­phoso; 
missing	-tlhaelang; 
mission	tiro ya borongwa; 
missions	ditiro tsa borongwa; 
mitigate	fokotsa; 
mitigation	phokotso; 
mix	tlhakanya;  tswaka; 
mixed	 tlhakantse;  ­tswakantsweng;  ­tlhakaneng; tswakanya; 
mobile	suta; 
mobilisation	tlhotlheletso; 
mobilise	tlhotlheletsa; 
mobility	tshutisego; 
model	 go dira sekao;  sebopegokakangwa; sekao; 
models	dipopegokakangwa;  go dira sekao; dikao; 
moderate	bogareng; 
modern	­sešweng; 
modernisation	ntšhwafatso; 
modified	fetotse; 
modify	fetola; 
moment	nakwana; 
moments	dinakwana; 
momentum	koketsego; 
monetary	 ­madi; ­tšhelete; 
money	tšhelete; 
moneys	madi;  ditšhelete; 
monies	madi;  ditšhelete; 
monitor	 baya leitlho; molebeledi; 
monitored	beile leitlho; 
monitoring	beile leitlho; 
monitors	 baya leitlho; balebeledi; 
month	kgwedi; 
monthly	ka kgwedi; 
months	dikgwedi; 
monument	sefikantswe; 
monuments	difikantswe; 
moral	thuto;  ngwao;  dingwao; 
more	go feta; 
moreover	mo godimo ga moo; 
morning	 mosong;  phakela; moso; 
mortality	loso; 
mortgage	peelelo; 
most	-ntsi; 
mostly	gantsi;  bontsi jwa nako; 
mother	mme; 
mothers	bomme; 
motion	motsamao;  tshitshinyo; 
motions	ditshitshinyo;  metsamao; 
motivation	thotloetso; 
motor	mmotoro; 
motto	moano;  moane; 
mountain	thaba; 
mountains	dithaba; 
mouth	 kgwelo; molomo; 
movable	sutisega; 
move	 tshuto; sutisa; 
moved	sutisa; 
movement	 tshikhinyego;  motsamao; mokgatlho; 
movements	mekgatlho; ditshikinyego;  metsamao; 
