ABET	Imfundvo yalabadzala; I-ABET; 
flows	kugeleta; 
fly	imphungane;  ndiza; 
flying	kundiza; 
focus	bhekisa;  nakisisa; 
focused	kugcila;  -gcila; 
focuses	 nakisisa; gcila; 
focusing	-nakisisa;  nakisisa; kunaka; 
follow	landzela; 
followed	landzelwa; 
following	-landzelako; 
follows	landzela; 
food	kudla; 
foot	lunyawo; 
football	libhola; 
footsteps	tinyatselo; 
for	kwa-; 
force	 umfutfo; emandla;  cindzetela; 
forced	cindzetelwe; 
forces	 imifutfo; emandla;  cindzetela; 
forebears	labahamba embili; 
forefront	embili; 
foreign	-ngaphandle; 
foreigner	 umuntfu wangaphandle; umchamuki; 
foreigners	bachamuki;  bantfu bangaphandle; 
forensic	kuhlolwa kwelwati; 
forest	lihlatsi; 
forestry	kuhlanyelwa kwemahlatsi; 
forests	emahlatsi; 
forever	kute kube ngunaphakadze; 
forfeited	lahlekelwa; 
forfeiture	kwemukwa; 
forged	ntjontja;  fula; 
forget	khohlwa; 
form	simo;  libhentji;  lifomu;  bumba;  kwakheka; 
formal	hlelekile; -semtsetfweni; 
formally	ngalokuhlelekile; 
format	kuhleleka; 
formation	 kuhleleka kwebadlali;  kwakheka; kwakhiwa; 
formations	kuhleleka kwebadansi;  kuhleleka kwebadlali;  kwakheka; kwakhiwa; 
formed	-kwakhiwa; -bunjwa; 
former	-ngembili; 
formerly	ngalokuhlelekile; 
forms	bobunjwa; 
formula	ifomula;  umtsetfo lofinyetiwe; 
formulation	kwakha; 
forth	kune; 
forthcoming	lokutako; 
forthwith	masinyane; ngekungacitsi sikhatsi;  ngekushesha; 
forum	umhlangano; 
forums	imihlangano; 
forward	embili; 
forwarded	chutjelwe embili;  tfunyelwe; 
fossil	ematsambo lasagucuka ematje; insalela; 
foster	khutsata; 
fostering	kukhutsata; 
fought	kulwa; 
found	sungula; 
foundation	sisekelo; 
foundations	tisekelo; 
founded	-sungulwa; tfolakele; 
founder	umcambi; 
founding	 sungula; kutfola; 
four	kune; 
fourth	 kune; kwesine; 
frame	luhlaka; 
framework	luhlaka; 
frameworks	tinhlaka; 
franchise	 lilungelo lekukhetsa; lilungelo lekuhweba; 
fraternity	licembu; umkhakha webungcweti; 
fraud	 kukhwabanisa; inkhohlakalo; 
fraudulent	kukhwabanisa; -kukhwabanisa; 
free	khululekile; 
freed	khululiwe; 
freedom	inkhululeko;  kuhamba ngekukhululeka; 
freedoms	tinkhululeko; 
freely	ngekukhululeka; 
freight	lifulaha; 
fresh	kusha; 
friend	umngani; 
friendly	nemusa; 
friends	bangani; 
friendship	bungani; 
from	kubuya ku-; 
front	lingembili;  umsinga; 
fruit	 sitselo; titselo; 
fruitful	mphumelelo;  phumelele; 
fuel	emafutsa;  kwekubasa; 
fuels	emafutsa;  basela; 
fulfil	fezekisa; phumelelisa; 
fulfill	fezekisa; phumelelisa; 
fulfilling	fezekisa; phumelelisa; 
full	-gcwele; 
full-time	 ngaso sonkhe sikhatsi; ngalokuphelele; 
fully	ngalokuphelele; 
function	 sebenta; umsebenti; 
functional	kuyasebenta; 
functionality	kusebenta; 
functioning	 kumela inombolo; kusebenta; 
functions	imisebenti; 
fund	sikhwama; 
fundamental	sisekelo; 
fundamentally	balulekile; 
funded	kusitwa ngetimali; 
funding	kusita ngetimali; 
funds	timali; 
funeral	umngcwabo; 
furnish	 faka ifenisha; nika; 
furnished	 fakwe ifenisha; nikile; 
furniture	ifenisha; 
further	chubekako; 
furthermore	lokunye;  ngetulu kwaloko; 
future	 sikhatsi lesitako lesiyakufika; likusasa; 
gain	 zuza; imbuyiselo; 
gained	tfola;  zuza; 
gains	timbuyiselo; tinzuzo; 
galleries	emagalari; takhiwo sekukhombisa ngebuciko; 
gamble	kugembula; 
gambling	kugembula; 
game	 tinyamatane; umdlalo; 
games	 imidlalo yekuphindzaphindza nekwehlukanisa;  imidlalo yekuhlanganisa;  umdlalo; imidlalo; 
gap	ligebe; 
gaps	emagebe; 
garden	ingadze; 
gardens	tingadze; 
garnishee	kukhokha sikweleti ngekuyalelwa yinkantolo; 
gas	 igesi; umoya; 
gateway	lisango; 
gather	gcogca; coca; butsana;  hlanganisa; 
gathered	cociwe;  hlanganisiwe; butsa;  gcogciwe; 
gathering	 kugcogca;  kucoca; kuhlanganisa; 
gave	phile; 
gazette	igazethi; 
gear	ligiya; 
geared	kufaka umfutfo; 
gender	bulili; 
gender-based	kwebulili; 
general	jenene; 
generally	ngalokwetayelekile;  ngalokuvamile; 
generate	phehla; 
generated	phehla; 
generating	phehla; 
generation	 kuphehla; situkulwane;  tintsanga; 
generations	titukulwane; 
genre	luhlobo; 
genres	tinhlobo tembhalo; 
gentlemen	emajaha; 
geographic	ngekuma kwelive; 
geographical	kwesimo sendzawo; kuma kwelive; 
geography	telive; 
get	tfolakele; 
gets	tfolakele; 
getting	kutfola; 
giant	lizimu;  sichwaga; 
gift	siphiwo; 
girl	intfombatane; 
girls	emantfombatana; 
give	phani; 
given	phiwe; kuniketiwe; 
gives	phani; 
giving	kupha; 
glad	tfokotile; jabulile; 
glass	ingilazi; 
global	-kwemhlaba; mhlaba wonkhe; 
globally	mhlaba wonkhe; 
globe	umhlaba; 
glory	ludvumo; 
go	hamba; 
goal	inhloso;  ligoli;  injongo; 
goals	 tinjongo;  emagoli; tinhloso; 
goes	hamba; 
going	hamba; 
gold	igolide; 
golden	kuligolide;  sagolide; 
gone	hambile; 
good	kuhleleka; 
goods	 imikhicito;  timphahla; umtfwalo; 
gore	hlaba; 
gospel	 umculo wetenkholo; umculo wenkholo; 
got	tfolile; 
govern	busa; 
governance	kwengamela; 
governed	busa; 
governing	 kwengamela;  kubusa; kuphatsa; 
government	hulumende; 
government's	kwahulumende; 
governments	bohulumende; 
governor	umbusi; umphatsi wembuso; 
governors	baphatsi bembuso;  babusi; 
grace	umusa; 
grade	 libanga; lizinga;  luhlobo; 
grades	 emazinga;  imikhakha; tinhlobo;  emabanga; 
grading	nika limaki; hlukanisa; 
gradually	-ngekuya ngekuya; 
graduate	-tfola ticu; 
graduates	tifundziswa;  -labatfole ticu; 
grand	ngalokucotfo; kahle; 
grant	 imali yesibonelelo; sabelo; 
granted	 nikwa; sabelo; 
granting	kunika imvume;  imali yesibonelelo; 
grants	timali tesibonelelo; 
graphic	 umdvwebo; sitfombe; 
grass	tjani; 
grassroots	 umnyombo; ekucaleni; 
grateful	kubonga; 
gratitude	kubonga; 
grave	lidliza; 
graves	emadliza; 
great	khulu; 
greater	khudlwana; 
greatest	khulu kakhulu; 
greatly	khulu kakhulu; 
green	luhlata;  -luhlata; 
greenhouse	indlu yekukhulisa titjalo; indlu yetitjalo tasendlini; 
greetings	kubingelela; 
grew	khulu;  khula; mila; 
ground	 -kugaya; kusila; 
ground-breaking	kwesimanje; kuvulindlela; 
groundbreaking	kwesimanje; kuvulindlela; 
grounds	emabala; 
group	licembu;  butsanisa; 
groups	emacembu; 
grow	lima;  khula; 
growing	khula; 
grown	linywa; khula; 
growth	kukhula; 
guarantee	sicinisekiso; 
guaranteed	 cinisekiwe; cinisekile; 
guarantees	ticinisekiso; 
guard	mahlalesangweni; 
guardian	umondli; 
guest	sivakashi; 
guests	tivakashi; 
guidance	kuhola; 
guide	 condzisa; umholi; 
guided	-condzisiwe; umholi;  hola; 
guideline	inkhombandlela; 
guidelines	tinkhombandlela; 
guides	tinkhombandlela; 
guiding	 kukhomba indlela; ikhombandlela; kucondzisa; 
guilt	satelo;  kuba nelicala; 
gun	sibhamu; 
hail	sangcotfo; 
hailed	kugcoba ngesangcotfo; 
hails	tangcotfo; 
half	ihhafu;  sigamu; 
hall	lihhola; 
hand	 lutsi; sandla; 
handed	-niketa; 
handing	kuniketa; 
handle	sibambo sesikhwama; 
handled	phatfwa; 
handling	kuphatsa; 
handover	kwendlulisa;  ndlulisa; 
hands	tandla; 
happen	enteka; 
happened	entekile; 
happening	enteka; 
happens	enteka; 
happy	-jabula; 
harassment	hlupha; kugcagcalata; 
hard	cinile; lukhuni; 
hare	logwaja;  chakijane; 
harm	kulimata; 
harmful	-nengoti; 
harmony	luvano; 
has	kunako;  unako; 
hatred	 intondvo; inzondo; 
have	nginako; 
having	kubanako; 
hazardous	-nebungoti; kunengoti; 
he	yena; 
head	inhloko; 
headed	shaya ngenhloko;  kuhamba; 
heading	sihloko; 
headline	sihloko sendzaba; 
headlines	tsihloko tetindzaba; 
heads	tinhloko; 
heal	-elulama; 
healing	kwelapha; 
health	imphilo; 
healthcare	kunakekela ngetemphilo; 
healthy	-philile; 
hear	vani; 
heard	vile; 
hearing	kuva;  kutsetfwa kwelicala; 
hearings	 kulalelwa kweluvo; kuva; kutsetfwa kwemacala; 
hears	uyeva; 
heart	 enkhabeni; inhlitiyo; 
hectares	emahektha; 
height	budze; 
heights	budze;  kuphakama; 
held	-banjiwe; 
help	sita; lusito; 
helped	sitile; 
helping	sita; libindza; 
helps	sita; 
hence	kungako; 
her	yena; 
heraldry	kwakhiwa kwetiphandla; 
here	lapha; 
hereby	 ngalamavi; ngaloku; 
hereinafter	ngemuva kwaloko; 
heritage	lifa;  emagugu; 
hero	lichawe; 
heroes	emachawe; 
heroines	emachawekati; 
herself	yena ngekwakhe; 
hi	sawubona; 
hidden	-fihliwe; 
hide	sikhumba; 
hierarchies	kulandzelana kwetigaba; 
high	phakeme; 
high-level	lizinga leliphakeme; 
higher	etulu kakhulu; 
highest	phakeme kakhulu; 
highlight	lokugcamile; 
highlighted	gcamisile; 
highlights	lokugcamile; 
highly	etulu kakhulu; 
hill	ligcuma; 
hills	emagcuma; 
him	yena; 
himself	yena ngekwakhe; 
his	kwakhe; 
historians	tatimlandvo; 
historic	umlandvo; 
historical	kwemlandvo; 
historically	ngekwemalndvo; 
histories	imilandvo; 
history	umlandvo; 
hit	shaya; 
holder	kwekuphatsa; 
holders	kwekuphatsa; 
holding	kubamba; 
holdings	tindzawo; emaploti; 
holds	cukatsa; 
holidays	emaholidi; 
holistic	ngalokuphelele; 
homage	inkonzo; 
home	likhaya;  umuti; 
homelessness	kubate likhaya; 
homepage	likhasi lelikhaya; 
homes	emakhaya;  imiti; 
hominid	umndeni wetilwane letimunyisako; 
honorary	sicu setemfundvo sekuphiwa; 
honour	bonga; hlonipha; 
honourable	hloniphekile; 
honoured	honishwa; 
honouring	bonga; hlonipha; 
honours	sicu setemfundvo; 
hope	litsemba; 
hoped	kwetsemba; 
hopefully	kwetsemba; 
hopes	ematsemba; 
hospital	sibhedlela; 
hospitality	kuphatsa kahle bantfu; 
hospitals	tibhedlela; 
host	longenisa tivakashi; 
hosted	 ngenisile; -emukela; -ngenisile; 
hosting	kwemukela;  kungenisa;  ngenisa; 
hosts	 bavakashelwa; labangenisa tivakashi; 
hotels	emahhotela; 
hour	li-awa; 
hours	ema-awa; 
house	indlu; 
housed	kuhlalisa; 
household	 kwasendlini; umndeni; 
households	emakhaya;  imindeni; 
houses	tindlu; 
housing	 kwakhiwa kwemakhaya;  tetindlu; indlu; 
how	njani;  kanjani; 
however	nanoma kunjalo; 
http	i-http; 
https	ema-http; 
hub	lapho kubutsene khona konkhe lokubalulekile;  lokusekhatsi esondvweni; 
huge	khulu; 
human	umuntfu;  -muntfu;  kwebuntfu; 
humane	 sihawu; umusa; 
humanities	sifundvo ngebantfu; 
humanity	buntfu;  sintfu; 
humankind	umuntfu; 
humans	bantfu; 
humble	kutitfoba;  kutfobeka; 
humbled	tfobeka;  tfobekile; 
humility	kutitfoba; 
hundred	likhulu; 
hundreds	emakhulu; 
husband	indvodza; 
iconic	luphawu; 
icons	timphawu; 
idea	umcabango; 
ideal	inhloso lephakeme; 
ideals	lokufanele; 
ideas	imicabango; 
identification	kubona ngelufuto; 
identified	tfoliwe; -khonjiwe; 
identifies	 tfolakele; khomba; 
identify	tfolakele; khomba; 
identifying	 tfolakele; khomba; 
identities	kutatisa; 
identity	buwena; 
if	nangabe; 
ill	gula; 
illiteracy	kungakwati kubhala nekufundza; kungakwati kufundza nekubhala; 
illness	sifo;  kugula; 
illustrate	khombisa;  bonisa; 
illustrated	-khombisile; -bonisiwe; 
image	umfanekiso; 
images	imifanekiso; 
imagination	umcabango; 
imbalances	kulalingani; 
immediate	kwanyalo; masinyane; ngekungacitsi sikhatsi;  ngekushesha; 
immediately	masinyane; 
immense	-khulu kakhulu; 
immensely	kakhulu; 
immigration	kufika;  kutfutsa; 
imminent	dvute kakhulu; 
immovable	akuhambi; akususwa; 
immunisation	kugoma; 
impact	 imphumela; umtselela; lifutse; 
impacts	imiphumela. Imitselela; emafutse; 
impaired	 nciphisa emandla; ona; 
impediments	tihibe; 
imperative	 lokufunekako; sibopho; lephocelelako; 
imperatives	lokuphocelelako;  lokufunekako; sibopho; 
implement	 enta;  sisetjentiswa; kwenta; 
implementation	kuphumelelisa; 
implemented	-phunyelelisiwe;  phunyelelisiwe; 
implementing	kuphumelelisa; 
implements	 enta;  sisetjentiswa; kwenta; 
implications	lokucatjangwako; 
implies	lokushiwoko; 
import	kungenisa eveni;  tsenga kulamanye emave;  lokutsengwa kulamanye emave; 
importance	kubaluleka; 
important	-balulekile; 
importantly	lokubalulekile; 
imported	kungenisa eveni;  tsenga kulamanye emave;  lokutsengwa kulamanye emave; 
importer	longenisa eveni; 
impose	gidlibeta; 
imposed	bangela veta;  gidlibetiwe; 
imposing	bangela; veta; 
imposition	beka; 
impossible	angeke kwenteke; -khoneki; 
impressed	 cindzetelwe; chazekile; 
impressive	chazana; 
imprison	bopha; 
imprisoned	-boshiwe;  valelwe; 
imprisonment	kuboshwa; 
improper	akusikahle; 
improve	yenta ncono; 
improved	yenta ncono; 
improvement	buncono; 
improvements	buncono; 
improving	kuba ncono; 
in	ngekhatsi; e-; 
inability	kungakhoni; 
inadequate	akweneli; 
inappropriate	akusikahle; 
inaugural	kuvula; 
inauguration	kubekwa esikhundleni; 
incapable	 kungabi nelikhono; kungakhoni; 
incapacity	kungabi nemandla; 
incarceration	kuvalelwa ejele; 
incentives	tikhutsato; 
inception	kucala kwentfo; 
incidence	sehlakalo; 
incident	sehlakalo; 
incidental	-ngengoti; 
incidents	sehlakalo; 
include	faka;  faka ekhatsi; 
included	fakwe ekhatsi;  -fakwe ekhatsi; 
includes	kufaka ekhatsi; 
including	-phetse; 
inclusion	kufakwa; 
inclusive	kufaka konkhe ekhatsi; 
inclusivity	kufaka konkhe ekhatsi; 
income	 imali lengenako; liholo; 
incomes	 timali letingenako; imiholo; 
incomplete	ngaphelele; 
incorporate	faka; 
incorporated	faka; 
incorporates	faka; 
incorporation	kufaka ekhatsi; 
incorrect	-neliphutsa; 
increase	kwengeta;  khulisa;  yandzisa; 
increased	 yandzisiwe; khulisiwe; ngetiwe; 
increases	kwengeta;  khulisa;  yandzisa; 
increasing	kwengeta;  khulisa;  yandzisa; 
increasingly	ngalokukhulako; 
inculcate	julisa; 
incur	kubanga; 
incurred	tfoliwe; 
indaba	umhlangano; 
indeed	mbamba; 
independence	inkhululeko;  kutiphatsa; 
independent	-tiphetse; 
independently	ngekutimela; 
index	inkhomba; 
indicate	khombisa;  khomba; 
indicated	khombisile; 
indicates	khombisa;  khomba; 
indicating	khombisa;  kukhomba; 
indication	sikhombiso;  inkhomba; 
indications	 tinkhomba; kukhombisa; 
indicative	kukhombisa; 
indicator	lokukhombako;  sikhombisi; 
indicators	 tikhomba; tinkhomba; 
indices	tinkhomba; 
indigenous	 -kwendzabuko; kwendzabuko; 
indirectly	ngalokungakacondzi ngco; 
individual	 -ngamunye; kunye; 
individually	ngamunye; 
individuals	 kunye; bantfu; 
industrial	kwemsebenti;  kwemabhizinisi; 
industries	timboni; 
industry	 imboni; umsebenti; 
inequalities	kungalingani; 
inequality	kungalingani; 
infected	-nemagciwane engatini; 
infection	 kungenwa lufu;  kutselela; lufu; 
infections	 kungenwa lufu;  kutselela; imihabulo; lufu; 
inferior	-phansi;  kuba phasi; 
inflation	kwehla nekwenyuka kwetimali; kukhula kwentsengo; 
inflows	 lokungenako; kungena; 
influence	 funta; funta ngekwengcondvo;  kufaka umoya; 
influenced	faka umtselela;  kufaka umoya; 
info	lwatiso; 
inform	atisa; 
information	lwati;  imininingwane;  umbiko; 
informed	kwatiswa;  bhadlile; 
informing	atisa; 
inherent	ngemvelo yakho; 
inherit	 tfola lifa; -dla lifa; 
inherited	 tfola lifa; kudla lifa; 
initial	kucala; 
initially	ekucaleni; 
initiate	ngenisa; phemba; cala; 
initiated	 phemba; kwenta umtamo; cala ; 
initiative	kusungula;  umtamo;  kutentela; 
initiatives	imitamo; 
initiator	umsunguli; umphembi; 
injuries	kulimala; 
injury	 silondza; kulimala; 
injustice	lokuphambene nebulungiswa;  kungabi nebulungiswa; 
injustices	kungaphattfwa ngebulungiswa; lokuphambene nebulungiswa;  kungabi nebulungiswa; 
inmates	tiboshwa; 
inner	ngekhatsi; 
innovation	lokusha; kutisungulela; 
innovative	lokusha; 
input	lokufakwako;  funta lwati; 
inputs	 lokufakwako; emagalelo; 
inquest	kuphenywa kwendzaba yekufa; luphenyo ngekufa; 
inquiry	kuphenya; 
inscribed	bhaliwe; 
insert	faka;  ngenisa; 
inserted	faka;  ngenisa; 
insertion	kufaka; 
inserts	lokufakiwe; 
inside	ekhatsi; 
insight	kwati kabanti; 
insights	kwati kabanti; 
insolvency	kushayeka;  kubate imali; 
insolvent	kushayeka; 
inspect	 -hlola; hlola; 
inspection	kuhlola; 
inspections	kuhlola; 
inspector	umhloli; 
inspectorate	bahloli; kuhlola; 
inspectors	bahloli; 
inspiration	kukhutsata;  lusinga lugcozi; 
inspire	 shisekela; funa; 
inspired	shisekela; 
inspiring	shisekela; 
install	faka; 
installation	kufaka; 
installed	faka; beka; 
instalment	sitolimende; 
instalments	kukhokha kancane kancane; titolimende;  sitolomenthi; 
instead	esikhundleni; 
institute	inhlangano; 
instituted	ngenisa; 
institution	inhlangano; 
institutional	kwesikhungo; 
institutions	tinhlangano; 
instruction	umyalo;  sicondziso;  imfundziso; 
instructional	 ngekufundzisa; Kuyafundzisa; 
instructions	 ticondziso; imiyalo; 
instrument	 insita; sisetjentiswa;  intfo yekusebenta;  lithulusi; 
instruments	 emathulusi;  tingubhu; tisetjentiswa; 
insurance	umshwalensi; 
insurer	 umgcinimshwalensi; umcinisekisi; 
intangible	ngakucuki; 
integral	-hlangene; phelelisako; lokudzingekako; 
integrate	hlanganisa; 
integrated	-hlanganisile; 
integration	kuhlanganisa; 
integrity	bucotfo; 
intellectual	 umuntfu lonengcondvo;  hlakaniphile; kwengcondvo; 
intellectuals	labahlakaniphile;  labanengcondvo; 
intelligence	buhlakani;  kuhlakanipha; 
intend	condza; 
intended	condza; 
intends	condza; 
intensify	 kushibisa; kucinisa; 
intensive	kwentisisa;  shubile; cinile; 
intent	inhloso; 
intention	inhloso; 
intentionally	ngenhloso; 
inter	mbela; ngcwaba; 
interact	hlanganyela; 
interacting	kukhuluma; 
interaction	 kutsintsana; kuhlangana; 
interception	kucala kusebenta; kimiswa; 
interdepartmental	emkhatsini wematiko; 
interest	 tsandza;  intalo; kunaka; 
interested	 kuba nelisasasa; kufuna; 
interests	 tintalo; lisasasa; kunaka; 
interfaith	kuhlanga kwetinkholo; 
interfere	 faka lunyawo lwengulube; ngena ekhatsi; mosha; 
interference	 kufaka lunyawo lwengulube;  kungena ekhatsi; kumosha; 
intergenerational	emkhtaisni wetitukulwane; 
intergovernmental	emkhatsi wabohulumende; 
interim	kwesikhashana;  umkhatsi;  -kwesikhashana;  sikhashana; 
intermediaries	bohambamkhatsini; 
intermediary	kuhamba emkhatsini; 
intermediate	lokusemkhatsini; 
internal	 -ngekhatsi; ngekhatsi; 
international	kwemave emahlaba; kwemave ngemave; 
internationally	ngekwemave emhlaba; 
internet	i-inthenthi; 
interns	labafundzela umsebenti emasebentini; 
internship	luhlelo lwekucecesha; kufundzela umsebenti emsebentini; 
interpret	 humusha; bona; 
interpretation	umbono; 
interpreted	 humusha; bona; tolika; 
interrogate	kupheka ngemibuto; 
interval	 sitfutjana;  umkhatsi; likhefu; 
intervals	emakhefu;  ematfutjana; imikhatsi; 
intervene	kungena ekhatsi; 
intervention	kungena ekhatsi; 
interventions	kungena ekhatsi; 
interview	kubonana; 
interviews	ema-inthavyu;  tinkhulumoluhlolo;  tinhlolokhona; 
intestate	ngaphandle kwekwenta incwadzi yekwaba lifa; 
into	ekhatsi; 
introduce	 etfula; faka;  letsa;  yetfula;  atisa; 
introduced	faka;  letsa;  -tfula; -atisa;  yetfula; 
introducing	faka;  -etfula;  letsa;  yetfula;  atisa; 
introduction	singeniso; 
invalid	 kute emandla; akusebenti; 
invaluable	-ligugu; 
inventory	luhlu; 
invest	sisa; 
invested	-tjalile; 
investigate	 phenya; hlola; 
investigated	 phenya; hlola; 
investigating	 phenya; hlola; 
investigation	kuhlola;  luphenyo; 
investigations	kuphenya; timphenyo; 
investigative	kuyaphenyeka; 
investigator	umphenyi; umseshi; 
investigators	baseshi;  baphenyi; 
investing	-tjalile; 
investments	tintjalomali; 
investor	umtjalimali; 
investors	batjalimali; 
invitation	simemo; 
invite	mema; 
invited	 menyiwe; memile;  menywa; 
invites	mema; timemo; 
inviting	mema; 
involve	 faka ekhatsi; bandzakanya; 
involved	bandzakanyeka; 
involvement	kubandzakanyeka; 
involves	 kufaka ekhatsi; kubandzakanya; 
involving	 kufaka ekhatsi; kubandzakanya; 
iron	 ayina; insimbi; 
irregularities	lokungasiko; 
irregularity	lokungasiko; 
irrespective	kungabuki; kunganaki;  ngaphandle kwekubuka; 
irrigation	kunisela; 
is	u; 
isiXhosa	Sichosa; 
island	sihlenge; 
issue	ludzaba;  lokukhishwako; 
issued	-nikiwe; lokukhishwako;  -niketiwe; 
issues	tindzaba;  tinkinga; 
issuing	 kukhipha; kunika; 
it	kona; 
it's	kwako; kwe-; 
item	 liphuzu; intfo;  lilunga; 
items	tintfo;  emaphuzu; 
its	kona; 
itself	kona ngekwako; 
jewellery	bucwebe; 
job	umsebenti; 
jobs	imisebenti; 
join	hlanganisa; 
joined	-hlanganisiwe; 
joining	kuhlanganisa; 
joint	lilunga;  lijoyini; 
jointly	ngekuhlanganyela; 
journalism	buntsatseli; 
journalist	intsatseli; 
journalists	tintsatseli; 
journey	luhambo;  hamba; 
joy	injabulo; 
judge	 umehluleli; lijaji; 
judgement	sigwebo; 
judges	emajaji;  behluleli; 
judgment	sigwebo; 
judgments	tigwebo; 
judicial	temajaji; -kwehlulela; 
judiciary	betebulungiswa; 
junior	lijuniya; lomncane; 
jurisdiction	emandla esikhundla; 
jurisdictions	emandla esikhundla; 
juristic	kwemamandla esikhundla; 
just	nje; 
justice	bulungiswa;  kulunga; 
justified	lungisiwe;  sekwelwe; colelwe;  tsetselelwe; 
justify	 tsetselela; lungisa; beka tizatfu; 
keen	kuba nemdlandla; 
keep	gcina;  kugcine; beka; 
keeping	gcina; beka; 
kept	gcina; beka; 
key	 sikhiya; inkhomba;  khiya; 
keynote	umlayeto lobalulekile; 
kick	khahlela; 
kick-off	kucala kwemdlalo; 
kill	kubulala; 
killed	 bulele; -bulelwe; 
kilometre	likhilomitha; 
kilometres	emakhilomitha; 
kind	lunga; 
kindly	ngemusa; 
kinds	tinhlobo; 
king	silo; 
kingdom	umbuso lophetfwe yinkhosi; 
kings	tinkhosi; 
knew	kwati; 
know	kwati; 
knowing	kwati; 
knowingly	ngekwati; 
knowledge	lwati; 
known	atiwa; 
knows	yati; 
laboratories	emalabhorethri;  emalebhu; 
labour	 sebenta;  kubeleka;  umhelo; umsebenti; 
lack	 swela; kudzinga; 
ladies	bomake; 
laid	-talelwe;  bekiwe; 
lake	lichibi; 
land	 hlala;  umhlaba;  insimu; live; 
landfill	tindvundvuma; 
lands	 imihlaba; tiganga; 
landscape	kubukeka kwelive; 
language	lulwimi; 
languages	tilwimi; 
lapse	phela; 
large	-khulu; 
large-scale	ngalokubanti; 
largely	kakhulu; 
larger	-khulu kakhudlwana; 
largest	-khulu kakhulu; 
lasting	tsatsa sikhatsi lesidze kuphela; chubanako; 
lastly	kwekugcina; 
late	ngemuva kwesikhatsi; 
later	muva; 
latest	kwamuva kakhulu; 
latter	 lokushiwo kamuva; kwekugcina; kwamuva; 
laughter	luhleko; 
launched	-tfuliwe; 
launches	kwetfula; 
launching	kwetfula; 
laundering	kweba imali; 
laureate	umzuzi wemklomelo lobalulekile; 
laureates	bazuzi bemiklomelo lebalulekile; 
law	umtsetfo; 
law-making	kushaywa umtsetfo; 
lawful	lokusemtsetfweni; 
lawfully	ngekwemtsetfo; 
laws	imitsetfo; 
lawyer	ummeli; 
lawyers	bameli; 
lay	talela; 
laying	talela; 
lead	umtfofu; 
leader	umholi; 
leaders	baholi; 
leadership	buholi; 
leading	kuhola; 
leads	imitfofi; 
leaflet	licenjana; 
leaflets	emacenjana; 
league	inhlangano; 
learn	kufundza;  fundza; 
learned	fundzile; 
learner	umfundzi; 
learners	bafundzi; 
learning	kufundza; 
learnt	fundzile; 
lease	rentisa; 
leased	rentisile; 
leasehold	lorentako; 
least	lokuncane; 
leave	ilivi; 
leaves	emalivi; 
leaving	-hamba; 
lecture	fundzisa; 
led	hola; 
left	esandleni sesancele;  ngasesancele; 
leg	licele;  lunyawo;  umlente; 
legacies	imishiyandvuku; 
legal	-semtsetfweni; 
legally	ngekwemtsetfo; 
legend	insimi; 
legendary	sigayigayi; 
legends	tinsimi; 
legislation	umtsetfo;  kushaywa kwemtsetfo; 
legislative	kwemtsetfo; 
legislature	sishayamtsetfo; 
legislatures	tishayamtsetfo; 
legitimacy	kufaneleka; 
legitimate	kufanelekile;  kusemtsetfweni; 
lend	boleka; 
lending	kubolekisa; kuhlala phasi kwendizamshini; 
length	budze; 
lesser	lobolekisako; lorentisako;  umrentisi; 
lesson	sifundvo; 
lessons	tifundvo; 
let	enta; 
let's	enta; 
letter	 luhlavu; incwadzi; 
letters	tincwadzi; 
level	 bungako;  kuphakama; levela; 
levels	 linganisa; emazinga; 
levied	hlawulisa; 
levies	tinhlawulo; 
levy	umtsedlwana; 
liabilities	tikweleti; 
liability	lokucitsa imali; 
liable	fanela; 
liaise	 bonisana; khulumisana; 
liaison	kukhulumisana;  kubonisana; 
liberalisation	kukhululeka; 
liberation	kukhulula;  khulula; 
librarians	baphatsi bemalayibhrari;  bosomtapolwati; 
libraries	 imitapolwati; emalayibhrari;  emarekhodi; 
library	ilayibhrari;  ilayibhrari yemarekhodi; 
licence	ilayisensi; 
licences	emalayisensi; 
license	ilayisensi; 
licensed	 kuba nelayisensi; kuba nemvume; 
licensee	iyalisensi; 
licensees	emalayisensi; 
licensing	kunika imvume; 
lie	kuvundla kweluswane esiswini; 
lies	emanga; 
life	imphilo; 
lifetime	imphilo yonkhe; 
light	 kukhanya;  -lula; lula;  malula; 
lighting	kwekukhanyisa; 
like	 tsandza;  -njenga; njenge-; 
likely	kwenteka; 
limit	 sigcino; umkhawulo; 
limitation	kuba nemkhawulo; 
limitations	imikhawulo; 
limiting	sigcino;  kukhawulisa; 
limits	imikhawulo; 
line	umugca;  faka imfulo;  lilayini; 
line'	umugca;  lilayini; 
line-up	 kuhela;  kushaya luhlele; luhlelo; 
lines	imigca; 
linguistic	-phatselene nelulwimi; 
link	 chumanisa;  sichumanisi; kuhlanganisa; 
linkages	tichumanisi; 
linked	sichumanisi;  hlanganisile; chumanisile; 
linking	 chumanisa; kuchumanisa; 
links	kuchumana;  kuhlangana; 
liquid	lokusamanti;  luketjeti; 
liquidation	kukhokhwa kwetikweleti temuntfo lohlulekile kutikhipha; kuvalwa kwebhizinisi; 
liquidator	lokhokhisa tikweleti temuntfu losahlulekile kutikhipha; 
liquidity	kugucuka kube ngemanti; 
liquor	tjwala; 
list	luhlu; 
listed	bhaliwe; 
