ABET	IABET; 
reasonably	ngokwamkelekileyo; 
reasons	izizathu; 
reburial	ukungcwaba kwakhona; 
recall	ukususwa esikhundleni; 
recapitalisation	ukuxhobisa kwakhona; 
receipt	irisithi; 
receipts	iirisithi; 
receive	fumana;  ukwamkela; 
received	fumana;  ukwamkela; 
receives	fumana;  ukwamkela; 
receiving	fumana;  ukwamkela; 
recent	kutshanje; 
recently	kutshanje; 
reception	ulwamkelo; 
recession	 ukuphela kwemisebenzi; ukurhoxa; 
recipient	umamkeli; 
recipients	umamkeli; 
reclaim	ukubanga ukubuyiselwa; 
recognise	 ukuvuma;  ukunakana; qaphela; 
recognised	ukuqondwa;  ukunakanwa; 
recognises	ukuqonda;  ukunakana; 
recognising	ukuqonda;  ukunakana; 
recognition	ulwazi;  ukuqonda; 
recognize	ukuqonda;  ukunakana; 
recognized	ukuqondwa;  ukunakanwa; 
recommendation	ingcebiso; 
recommendations	imiyalezo; 
recommended	ukuyaleza; 
recommends	ukuyaleza; 
reconciliation	uxolelwano;  uxolelaniso; 
reconstruction	ukwakha ngokutsha; 
record	 irejista yempahla;  ulwazi olubhaliweyo; irekhodi;  ukubhala; 
recorded	 irejista yempahla;  ulwazi olubhaliweyo; irekhodi;  ukubhala; rekhodile; 
recording	ukunqakula; 
records	 irejista yempahla;  ulwazi olubhaliweyo; rekhoda; irekhodi;  ukubhala; 
recover	ukufumana kwakhona;  phila; 
recovered	ukufumana kwakhona;  phila; 
recovery	ukuchacha;  ibuyambo; 
recreation	ukuzonwabisa;  ulwakhiwo ngokutsha; 
recreational	ezolonwabo; 
recruitment	ugayo lwabasebenzi; 
rectify	ukulungisa; 
red	bomvu; 
redistribution	ulwabiwo kwakhona; 
redress	ulungiso; 
reduce	 ukusa;  thoba; ukunciphisa; 
reduced	 ukusa;  thoba; ukunciphisa; 
reducing	 ukusa;  thoba; ukunciphisa; 
reduction	unciphiso; 
reductions	unciphiso; 
refer	ukubhekisa; 
reference	isalathiso; ireferensi; 
references	izalathiso; iireferensi; 
referral	incwadi yesalathiso; 
referred	ukwalathiswa; 
referring	ukwalathisa; 
refers	izibhekiso; 
reflect	ukubonakalisa; 
reflected	ukubonakalisa; phindisile; 
reflecting	ukubonakalisa; phindisa; 
reflection	 ukucamngca; ubuyiso-kukhanya; 
reflective	ukuhlaziya; 
reflects	ukubonakalisa; phindisa; 
reform	 uguquko; inguqu;  ukuguquka; 
reforms	 uguquko; inguqu;  ukuguquka; 
refund	 imbuyiselo; buyisela; 
refurbishment	ukuxhobisa kwakhona; 
refusal	ukulandula; 
refuse	 ukwala; inkunkuma; 
refused	 ukwala; inkunkuma; 
refuses	 ukwala; inkunkuma; 
regard	ukukhathalela;  ukuthathela ingqalelo; 
regarded	khathalelwe;  thathelwe ingqalelo; 
regarding	malunga; 
regardless	ngokungakhathaliyo; 
regards	iinkathalelo; 
regeneration	uhlaziyo ngokutsha; 
regime	umbuso; 
region	ummandla; 
regional	yommandla; 
regions	ummandla; 
register	ukubhala;  irejista yoluhlu lwamagama;  irejista; 
registered	ukubhala;  irejista yoluhlu lwamagama;  irejista; 
registering	ukubhala;  irejista yoluhlu lwamagama;  irejista; 
registers	ukubhala;  irejista yoluhlu lwamagama;  irejista; 
registrar	uMbhalisi; 
registration	ubhaliso; 
registries	iiofisi zobhaliso; 
registry	ubhaliso; 
regular	ngokomgaqo; 
regularly	rhoqo; 
regulate	ukulawula;  lawula; 
regulated	ukulawula;  lawula; 
regulates	ukulawula;  lawula; 
regulating	ukulawula;  lawula; 
regulation	 ummiselo; umgaqo; 
regulations	imimiselo;  imigaqo; 
regulator	umlawuli; 
regulators	abalawuli; 
regulatory	elawulayo; 
rehabilitation	uhlaziyo;  ukubuyisela kwimeko yesiqhelo; 
rehearsal	ukuziqhelisa; 
rehearsals	ukuziqhelisa; 
reinforce	isomelezo; 
reintegration	ukumanya kwakhona; 
reiterate	ukucacisa kwakhona; 
reiterated	ucacisile kwakhona; 
reject	ukwala;  imveliso enesiphene; 
rejected	ukwala;  imveliso enesiphene; 
relate	balisa; 
related	ukuzalana; 
relates	ukubalisa; 
relating	ngokunxulumana; 
relation	ukunxulumana; 
relations	ukunxulumana; 
relationship	ubudlelwane;  ubudlelane;  unxulumano; 
relationships	ubudlelwane;  ubudlelane;  unxulumano; 
relative	 isibaluli; isihlobo;  umzalwana; 
relatively	ngokuthelekisiweyo; 
relatives	yokuxhomekeke;  abazalwana; izihlobo;  izibaluli; 
release	khupha;  khulula; 
released	khupha;  khulula; 
releases	khupha;  khulula; 
relevance	 ngokuphathelele; malunga; 
relevant	esemxholweni; 
reliable	uthembekile; 
relief	 ukwakheka kwelizwe; isiqabu; 
religion	inkolo;  ingqobhoko; 
religions	iinkolo;  ingqobhoko; 
religious	 -zokholo; kwenkolo;  -enkolo; 
rely	thembela; 
remain	sala; 
remainder	intsalela; 
remained	sala; 
remaining	sala; 
remains	intsalela; 
remand	buyisela entolongweni; 
remarkable	balulekileyo; qapheleka; 
remarks	amanqakwana; 
remedies	amancedo; 
remedy	uncedo; 
remember	khumbula; 
remembered	khumbula; 
remembrance	inkumbulo; 
remind	khumbuza; 
reminded	khumbuzile; 
reminder	isikhumbuzo; 
reminders	izikhumbuzo; 
remote	kude; 
removal	ukufudusa; 
remove	 khupha; susa;  khulula; 
removed	 khutshiwe;  susiwe; khululwe; 
removing	 ukususa;  ukukhulula; ukukhupha; 
remuneration	intlawulo; 
renaissance	ibuyambo; 
rename	thiya ngokutsha; 
renamed	thiya ngokutsha; 
renaming	thiya ngokutsha; 
render	 guqulela;  nika; yenza; 
rendered	yenzile;  nikile; guqulele; 
rendering	 ukuguqulela;  ukunika; ukwenza; 
renew	yenza ntsha;  hlaziya; 
renewable	ehlaziyekayo; 
renewal	uhlaziyo; 
renewed	hlaziya;  yenza ntsha; 
renovations	izihlaziyo; 
renowned	dumileyo;  zukileyo; 
rent	 -ukurhafa; irhafu;  irenti; 
rental	imali yengqesho; 
repair	ukukhanda; 
repairs	ukukhanda; 
repatriation	ukugodusa umfi; 
repeal	bhangisa; 
repealed	bhangisiwe; 
repeals	bhangisa; 
repeat	ukuphinda;  phinda; 
replace	 fakela endaweni yenye into;  buyisela; ukubuyisela; 
replaced	 fakela endaweni yenye into;  buyisela; ukubuyisela; 
replies	iimpendulo; 
reply	impendulo; 
report	ingxelo;  umbiko; 
report-back	ukwenza ingxelo; 
reported	ingxelo;  umbiko; 
reporting	ingxelo;  umbiko; 
reports	iingxelo;  umbiko; 
reposition	ukuzolisa;  ukuphumza;  ukulalisa; 
repositioning	ukuzolisa;  ukuphumza;  ukulalisa; 
repository	indawo ekugcinwa kuyo izinto; 
represent	mela; 
representation	umelo; 
representations	umelo; 
representative	ummeli; 
representatives	abameli; 
represented	mela; 
representing	mela; 
represents	mela; 
repressive	 thibazayo; cinezelayo; 
republic	iriphablikhi; 
republics	iiriphablikhi; 
request	ukucela; 
requested	ukucela; 
requester	umceli;  umenzi wesicelo; 
requesting	ukucela; 
requests	izicelo; 
require	ukufuneka; 
required	ukufuneka; 
requirement	imfuneko; 
requirements	imfuneko; 
requires	ukufuneka; 
requiring	ukufuneka; 
requisite	imfuneko;  into efunakayo; 
rescue	ukuhlangula;  hlangula; 
research	uphando;  -phanda; 
researcher	umphandi; 
researchers	abaphandi; 
reservation	ukugcina; 
reserve	ukugcina;  ilalela; 
reserved	gciniwe; 
reserves	amalalela; 
residence	 umzi;  ikhaya; indlu; 
resident	umhlali; 
residential	indawo yokuhlala; 
residents	abahlali; 
resides	uhlala; 
residing	ohlalayo; 
resilience	ukomelela;  ukuxhathisa; 
resistance	 ukumelana nesifo; inkcaso;  ukuxhathisa; 
resolution	 Isigqibo; isigqibo; 
resolutions	izigqibo; 
resolve	sombulula; 
resolved	sombulula; 
resolving	sombulula; 
resounding	ukuhlokoma;  ukunkenteza; 
resource	ubutyebi; 
resources	ubutyebi; 
respect	 hlonipha; intlonipho; 
respected	 hlonipha; intlonipho; 
respective	 ezizezabo; ezizezakhe; 
respectively	ngokulandelelanayo; 
respects	 hlonipha; intlonipho; 
respond	phendula; 
responded	phendula; 
respondent	ummangalelwa; 
respondents	abamangalelwa; 
responding	phendula; 
responds	iimpendulo; 
response	impendulo; 
responses	iimpendulo; 
responsibilities	amaxanduva;  iimfanelo; umthwalo; 
responsibility	 umthwalo;  imfanelo; uxanduva; 
responsible	 -nobutyala; -nokuthenjwa; 
responsive	 sabelayo; phendulayo; 
rest	ukuphumla; 
restitution	ukubuyelana kwabatshatileyo; 
restoration	ukubuyisela; 
restorative	ebuyiselayo; 
restore	vuselela; 
restored	vuselela; 
restoring	vuselela; 
restraint	 ukuzibamba;  ukunqandwa; ukunqanda; 
restricted	nyiniwe;  thintelwe; 
restriction	 unyino; uthintelo; 
restrictions	imida;  izithintelo; 
restructuring	 ukwakha ngokutsha; ukulungisa ngokutsha; 
result	isiphumo;  isahlulo; 
resulted	isiphumo;  isahlulo; 
resulting	isiphumo; isiqhamo;  isahlulo; 
results	iziphumo;  iziphumo; 
retail	intengiso; 
retain	ukugcina; 
retained	gciniwe; 
retention	ulondolozo; 
retire	thatha umhlalaphantsi; 
retired	thatha umhlalaphantsi; 
retirement	umhlalaphantsi; 
retrieval	ukufumana kwakhona; 
return	 ukubuya; ukubuyela; 
returned	buyisiwe;  buyele; 
returns	iziphumo;  iinzuzo; iingeniso; 
reveal	tyhila; 
revealed	tyhilile; 
revenue	ingeniso;  ingeniso karhulumente; 
revenues	ingeniso;  ingeniso karhulumente; 
reviewed	ihloliwe; 
reviewing	isigxeko-ncomo; 
reviews	izigxeko-ncomo; 
revise	ukuhlaziya; 
revised	ukuhlaziya; 
revision	uhlaziyo;  ukuzikhumbuza; 
revisions	uhlaziyo;  ukuzikhumbuza; 
revitalisation	vuselela kwakhona; 
revoke	rhoxisa; 
revolution	uvukelo;  uvukelo-mbuso; 
revolutionary	yovukelo;  umvukeli-mbuso; 
reward	vuza; 
rhino	umkhombe; 
rich	tyebileyo; qaqambileyo; 
right	 lungileyo; ekunene; 
rightful	lungileyo; chanekileyo; 
rights	amalungelo; 
rise	 nyuka; ukunyuka; 
rising	ukuphakama; 
risk	ingozi; 
risks	iingozi; 
river	umlambo; 
rivers	imilambo; 
road	 umgaqo; indlela; 
roads	iindlela;  imigaqo; 
robust	 philileyo; omeleleyo; 
rock	ilitye elikhulu; 
rod	 uswazi; intonga;  isilinganiso sobude; 
role	indima; 
role-players	abadlali bendima; 
roles	iindima; 
roll	umqulu;  inani lilonke; 
roll-out	ukunikela; 
rolled	umqulu;  inani lilonke; 
rolling	ukuqengqeleka; 
rollout	ukunikela; 
rolls	imiqulu; 
room	igumbi; 
rooms	amagumbi; 
root	ingcambu; 
rooted	yendele; 
roots	iingcambu; 
rose	 nyuka; ukunyuka; 
round	 -ngqukuva; ngqukuva;  jikelisa; 
rounded	ingoma yolindwano;  -ngqukuva;  jikelezayo; ngqukuva;  jikelisa; 
roundtable	itafile engqukuva; 
route	indlela; 
routes	iindlela; 
routine	 ukuziqhelisa kwabadanisi; isiqhelo; 
royal	ubukumkani;  -obukumkani; 
royalties	imivuzo yababhali; 
royalty	umvuzo wombhali; 
rugby	umbhoxo; 
rule	 irula;  ulawulo; umthetho; 
rules	 imithetho; ulawulo; 
ruling	isigqibo; 
rulings	izigqibo; 
run	umjikelo; 
running	ukugcinwa; 
runs	imijikelo; 
rural	 -yasemaphandleni; yasemaphandleni; 
sacred	 ngcwele; -ngcwele; 
sacrifice	 ukuncama; idini;  ncama; 
sacrifices	idini;  ncama;  amadini; 
sad	-lusizi; 
saddened	 silusizi; sidangele; 
safe	 isefu; -khuselekileyo; 
safeguard	ukukhusela; 
safeguarding	ukukhusela; 
safety	 ugcino; ukhuseleko; 
said	utshilo; 
salaries	imivuzo; 
salary	umvuzo; 
sale	intengiso; 
sales	iintengiso; 
salute	khahlela;  ukubulisa ngentlonipho;  bulisa ngentlonipho; 
same	fanayo; 
sample	 isiboniso; isampulu;  isampuli; 
samples	iziboniso;  iisampulu; 
sampling	ukuthatha isampuli; 
san	isan; 
sanction	isohlwayo; 
sanctions	ukohlwaya; 
sanitation	ugutyulo;  ezococeko; 
sap	incindi; 
saps	iincindi; 
satellite	 isathelayithi; isatelite; 
satisfaction	ukwaneliseka; 
satisfactory	ngokwanelisayo; 
satisfied	ukwanelisa; 
satisfies	ukwanelisa; 
satisfy	ukwanelisa; 
save	ukuhlangula;  onga; 
saving	 ukuhlangula; onga; 
savings	imali eqwetyiweyo; 
saw	isarha; 
say	yitsho; 
saying	ukutsho; 
says	uthi; 
scale	 isilinganiso;  isikali;  ixolo; umlinganiselo;  ileli;  isilinganisi-mgama;  uqweqwe lentlanzi; 
scene	 inkangeleko; umboniso; 
scenes	 iinkangeleko; imiboniso; 
schedule	ishedyuli;  isicwangciso somsebenzi; 
scheduled	ishedyuli;  isicwangciso somsebenzi; 
schedules	 izicwangciso zomsebenzi; iishedyuli; 
scheduling	ishedyuli;  isicwangciso somsebenzi; 
scheme	umsebenzi;  ukuceba; 
schemes	izikimu; imisebenzi;  ukuceba; 
scholar	umfundi; 
scholars	abafundi; 
scholarship	inkxaso-mali yomfundi; 
school	isikolo; 
schooling	ukufunda; 
schools	 izikolo zesekondari;  izikolo zeprayimari engezantsi; izikolo; izikolo zaseprayimari engentla; 
science	inzululwazi; 
sciences	iinzululwazi; 
scope	umhlaba; 
score	 ukufaka inqaku;  ukukrwela;  isiphumo somdlalo;  amashumi amabini;  inqaku;  ukuskora; amanqaku; 
scorecard	ibhodi yamanqaku; 
scoring	 ukufaka inqaku;  ukukrwela;  isiphumo somdlalo;  amashumi amabini;  inqaku;  ukuskora; amanqaku; umbhalo wemyuziki; 
screen	 ukupopola; isikrini; 
screening	ukuhluza; 
script	ubhalo;  inkcazo yomxholo; 
scrutinise	ukuphicotha; 
scrutinize	ukuphicotha; 
scrutiny	ukuphicotha; 
sculpture	ukuqingqa;  ukrolomatye;  umfanekiso oqingqiweyo; 
sea	ulwandle; 
seal	inja yaselwandle;  ukuvingca; 
sealed	inja yaselwandle;  ukuvingca;  itywiniwe; 
search	ukufuna; 
searched	funile; 
season	ixesha lonyaka lezemidlalo;  ixesha lomnyaka;  ixesha lonyaka; 
seasonal	ngamaxesha onyaka; 
seasons	 ixesha lonyaka lezemidlalo;  amaxesha omnyaka; amaxesha onyaka; 
seat	isihlalo;  ikomkhulu; 
seats	 ikomkhulu; izihlalo; 
sec	umzuzwana; 
second	 sibini; ukuxhasa;  wesibini;  umzuzwana; 
secondly	okwesibini; 
secret	imfihlo; 
secretariat	iqumrhu lolawulo; 
secretary	unobhala;  usiba-lukhulu; 
secretary-general	uNobhala-Jikelele; 
section	 inxalenye yomsebenzi; icandelo; 
sectional	eyecandelo; 
sections	 inxalenye yomsebenzi; amacandelo; 
sector	icandelo; 
sectors	icandelo; 
secure	ukufumana; 
secured	-qinileyo; ukufumana; 
securing	-qinileyo; ukufumana; 
securities	izibambiso; 
security	 isibambiso; ukhuseleko; 
see	jonga; 
seeing	ukubona; 
seek	funa; 
seeking	ukufuna; 
seeks	ufuna; 
seem	ingathi; khangeleka; 
seems	 ukhangeleka; ingathi; 
seen	uboniwe; 
segment	ilungu; 
seize	thimba; 
seized	thimbile; 
seizure	uthimbo; 
select	khetha; 
selected	khetha; 
selection	ukhetho; 
self	inkqu; 
self-determination	ukuzimela; 
self-sufficiency	ukuzimela; 
selfless	ukungazikhathaleli; 
sell	 thengisa; ukuthengisa; 
selling	ukuthengisa; 
seminar	iklasi yabafundi notitshala; 
seminars	iiklasi zabafundi notitshala; 
send	thumela; 
sending	ukuthumela; 
sends	uthumela; 
senior	omdala; 
sense	isiva-mvo; 
sensitive	-buthathaka; 
sent	thumele; 
sentence	isigwebo;  ukugweba;  isivakalisi; 
sentenced	ukugweba; gwetyiwe;  isivakalisi; 
sentences	 izivakalisi; izigwebo;  ukugweba; 
sentencing	isigwebo;  ukugweba;  isivakalisi; 
separate	ukwahlula;  -ahlukene; 
separated	ukwahlula; zimeleyo;  -ahlukene; 
separately	ngokwahlukeneyo; 
separation	ukwahlula; 
sequestration	ukuthimba; 
series	uluhlu; 
serious	nendili; 
seriously	ngendili; 
servant	isicaka; 
servants	izicaka; 
serve	 ukuphaka; ukunceda;  thumela; 
served	 ukuphaka; ukunceda;  thumela; 
serves	 ukuphaka; ukunceda;  thumela; 
service	iinkonzo;  inkonzo; 
serviced	iinkonzo;  inkonzo; 
services	iinkonzo; 
serving	 ukuphaka; ukunceda;  thumela; 
session	iseshoni; 
sessions	iiseshoni; 
set	 indawo ekwenzelwa kuyo umdlalo; iqela;  ukudeka;  beka; 
seta	iseta; 
sets	 indawo ekwenzelwa kuyo umdlalo; iisethi; iqela;  ukudeka;  ingqokelela ngokofano;  beka; 
setting	ukuseta; 
settle	hlala;  ukuzinza; 
settled	uhleli; 
settlement	 indawo yokuhlaliswa kwabantu;  ithanga; ukuma; 
settlements	 indawo yokuhlaliswa kwabantu; ukuma; 
settlers	Abemi kwilizwe elitsha; 
seven	isixhenxe; 
several	ngaphezu kwesibini; 
severe	kakhulu; 
sew	ukuthunga;  thunga; 
sewing	ukuthunga;  thunga; 
sex	isini; 
sexual	okuphathelene nesondo;  zokulalana; 
sexually	ngezesondo; 
shall	uza; 
shape	 bumba;  imilo; ukwakheka; 
shaped	miswe; 
shapes	 bumba;  imilo; ukwakheka; 
shaping	ukubumba; 
share	 isabelo;  yahlula;  isahlulo; ukwabelana; 
shared	 yahlula;  izabelo;  isahlulo; ukwabelana; 
shareholder	ukuba nesahlulo kushishino; 
shareholders	ukuba nesahlulo kushishino; 
shareholding	ukuba nezabelo; 
shares	 yahlula;  izabelo;  izahlulo; ukwabelana; 
sharing	 isabelo;  yahlula;  isahlulo; ukwabelana; 
shark	ukrebe; 
sharks	ookrebe; 
sharp	ebukhali; 
she	yena; 
shed	 ishedi; isitora;  ukobuza; 
shedding	 ishedi; isitora;  ukobuza; 
sheet	iphepha;  icangci;  ishiti; 
sheets	 ishiti;  amacangci; amaphepha; 
shelter	 ikhusi;  indawo yokuhlala; indlu; 
sheriff	unothimba; 
sheriffs	oonothimba; 
shift	isikofu; 
shifted	isikofu; 
shifting	isikofu; 
shifts	iishifu; 
ship	inqanawa; 
shipping	ukuthumela; 
ships	iinqanawa; 
shock	umothuko;  ukothuka; 
shocked	umothuko;  ukothuka; 
shocks	ukothuka; iimothuko; 
shop	ivenkile; 
shopping	ukuthenga; 
shops	iivenkile; 
shore	unxweme; 
shores	amaxweme; 
short	futshane; 
short-term	ixesha elifutshane; 
shortages	ukuqongophala; 
shorter	futshane; 
shortly	kungekudala; 
shot	imbumbulu; 
should	kufuneka; 
shoulders	amagxa; 
show	bonisa; 
showcase	umboniso; 
showcasing	ukubonisa; 
showed	bonisa; 
showing	ukubonisa; 
shown	bonisa; 
shows	bonisa; 
side	icala;  ithambeka;  icala lelaphu; 
sign	 ukusayina; uphawu;  umqondiso; 
signal	 umqondiso wonxibelelwano; umqondiso; 
signals	imiqondiso;  imiqondiso yonxibelelwano; 
signature	isandla;  utyikityo; 
signed	 ukusayina; uphawu;  umqondiso; 
significance	intsingiselo; 
significant	ukubaluleka; 
significantly	ngokubalulekileyo; 
signifies	ibonisa;  iqondisa; 
signing	 ukusayina; uphawu;  umqondiso; 
signs	 ukusayina; iimpawu;  umqondiso; 
silver	isilivere; 
similar	 ebufana; fanayo; 
similarly	ngokufanayo; 
simple	 -lula; lula; 
simply	lula; 
simultaneously	ngaxeshanye; 
since	kususela oko; 
sincere	nyanisekileyo; 
sincerely	ngokunyanisekileyo; 
sing	cula; 
singer	umculi; 
singing	ukucula; 
single	enye; 
sister	udade; 
sisters	oodade; 
sit	hlala; 
site	isiza; 
sites	iziza; 
sitting	indibano yendlu; 
sittings	indibano yendlu; 
situate	ukumisa ngendawo; 
situated	ukumisa ngendawo; 
situation	imeko;  ukuma; 
situations	imeko;  ukuma; 
six	 -thandathu; isithandathu; 
sixth	 isinye kwisithandathu; isinye esithandathwini; 
size	 ubungakanani;  usayizi; ubukhulu; 
skill	 isakhono; ubuchule;  ubuchwepheshe; 
skilled	 unesakhono; unobuchule; 
skills	izakhono;  ubuchule;  ubuchwepheshe; 
slave	ikhoboka; 
slavery	ubukhoboka; 
slaves	amakhoboka; 
slightly	kancinane; 
slip	uswazi;  ukutyibilika; 
small	 iqolo; -ncinci; 
small-scale	kancinci; 
smaller	 iqolo; -ncinci; 
so	njalo; 
so-called	bizwa njalo; 
soccer	 umdlalo webhola ekhatywayo; isoka; 
social	ezentlalo; 
socially	ngokuhlalisana; 
societal	eyezentlalo; 
societies	 umbutho;  iqumrhu; uluntu; 
society	 umbutho;  iqumrhu; uluntu; 
socio-economic	uqoqosho lwezentlalo; 
socioeconomic	uqoqosho lwezentlalo; 
soil	umhlaba; 
sold	 thengisa; ukuthengisa; 
soldiers	amajoni; 
sole	isoli; 
solely	kuphela; 
solid	 qinile; eqinileyo;  isiqina; 
solution	 umxube;  isinyibiliko;  ukucombulula; isisombululo; 
solutions	 umxube;  isinyibiliko;  ukucombulula; isisombululo; 
some	abanye; 
someone	omnye umntu; 
something	into ethile; 
sometimes	ngamanye amaxesha; 
somewhat	ngenye indlela; 
son	nyana; 
song	ingoma;  iculo; 
songs	 amaculo; ingoma; 
soon	msinya; 
sophisticated	 nqabileyo; nobunkunkqele; 
sort	hlela; 
sought	ufune; 
soul	umntu; 
souls	umntu; 
sound	isandi; 
sounds	-philile; isandi; 
source	umthombo;  fumana emthonjeni; 
sources	imithombo;  fumana emthonjeni; 
sourcing	umthombo;  fumana emthonjeni; 
south	 emazantsi;  omzantsi;  umzantsi; ezantsi; 
southern	emazantsi; 
sovereign	ukumkani;  -ombuso; 
space	 emajukujukwini; isithuba; 
spaces	izithuba; 
spatial	indawo;  isithuba; 
speak	thetha; 
speaker	usihlalo; 
speakers	usihlalo; 
speaking	thetha; 
speaks	thetha; 
spear	umkhonto; 
specialisation	ikhondo elithile; 
specialised	khethekileyo; 
specialist	ingcali;  incutshe; 
specially	ngokukodwa; 
species	izidalwa zohlobo olunye; 
specifically	ngokukhethekileyo; 
specification	iimpawu ezifunekayo; 
specifications	iimpawu ezifunekayo; 
specified	ukucacisa; 
specify	ukucacisa; 
specimen	 isiboniso; umzekelo; 
specimens	 isiboniso; umzekelo; 
spectacular	isenzo esinomtsalane emdlalweni; 
spectrum	umgca-mabala omnyama; 
speech	intetho; 
speeches	intetho; 
speed	isantya;  amendu; 
speedy	ngesantya;  ngamendu; 
spend	ukusebenzisa;  ukuchitha; 
spending	ukusebenzisa;  ukuchitha; 
spent	sebenzise; 
sphere	isazinge;  ingqukumba; 
spheres	 isazinge; ingqukumba; 
spirit	umoya; 
spiritual	ezomoya; 
split	 ukucanda; ukwahluka; 
spoke	isipeki; 
spoken	thetha; 
sponsor	 xhasa; umxhasi; 
sponsored	 xhasa; umxhasi; 
sport	umdlalo; 
sporting	imidlalo; 
sports	umdlalo; 
spotlight	isibane esinelitha elikhanya kakhulu; 
spouse	umlingane womtshato; 
spouses	umlingane womtshato; 
spread	 sasaza; ukusasaza; 
square	 ukuphindaphinda inani kwangalo; isikwere; 
stabilise	ukuzinzisa; 
stability	uzinzo; 
stable	isitali; 
stadium	isitediyam; 
stadiums	izitediyam; 
staff	 isitafu; abasebenzi; 
stage	 isiganga; inqanaba;  amabakala;  iqonga; 
stages	amanqanaba;  amaqonga;  isiganga;  amabakala; 
staging	amanqanaba esifo; 
stakeholder	umntu onomdla ochaphazelekayo; 
stakeholders	-chaphazelekayo; umntu onomdla ochaphazelekayo; 
stalwart	ithemba; 
stalwarts	ithemba; 
stamp	isitampu; 
stance	 ubume bengqondo; isimo; 
stand	isisekelo;  ipaviliyoni; 
standard	 izinga; umgangatho;  ibanga; 
standardised	bekwe emgangathweni; 
standardization	ukubeka emgangathweni; 
standards	imigangatho;  ibanga;  amazinga; 
standing	isisekelo;  ipaviliyoni; 
stands	isisekelo;  ipaviliyoni; 
stanza	indinyana; 
star	inkwenkwezi; 
stars	inkwenkwezi; 
start	qala; 
started	qala; 
starting	qala; 
starts	qala; 
state	 ilizwe lombuso;  imo;  umbuso; urhulumente; 
state-owned	eyombuso; 
stated	 ilizwe lombuso;  imo;  umbuso; urhulumente; 
statement	 inkcazo; ingxelo; 
statements	ingxelo-mali; 
states	 ilizwe lombuso;  imo;  umbuso; urhulumente; 
stating	 ilizwe lombuso;  imo;  umbuso; urhulumente; 
station	isitishi; 
stationery	-zokubhala;  izixhobo zokubhala; 
stations	izitishi; 
statistical	iinkcukacha-manani; 
statistician-general	umphathi jikelele weenkcukacha-manani; 
statistics	amanani; 
statue	umfanekiso oqingqiweyo; 
stature	 ubude; isidima; 
status	iwonga; 
statute	 ummiselo; umthetho; 
statutes	 ummiselo; umthetho; 
statutory	eyomthetho; 
stay	hlala; 
steadily	qinileyo;  thembekileyo; 
steady	nkqi; 
steal	ukuba; 
steel	 icwilika; intsimbi; 
steer	ukuqhuba; 
steering	ukuqhuba; 
step	 inqwanqwa;  inqanaba; inyathelo; 
steps	 inqwanqwa;  amanqanaba; amanyathelo; 
sterling	umntu olunge kanye; imali yaseBrithani; 
still	ukuzolisa; 
stimulate	ukukhuthaza; 
stimulating	ukukhuthaza; 
stipulate	ukubalula; 
stipulated	ukubalula; 
stock	 isabelo; ekhoyo;  imfuyo; 
stolen	ukuba; 
stone	 ipete;  khupha ipete; ithambo; 
stood	isisekelo;  ipaviliyoni; 
stop	misa; 
storage	 ugcino; uvimba; 
store	ukugcina;  gcina;  isitora; 
stored	ukugcina;  gcina;  isitora; 
stories	amabali; 
storm	uqhwithela;  isaqhwithi; 
story	 ibali lebhayibhile; ibali; 
storytellers	umbalisi-bali; 
strategic	ubuchule bokuhlela imfazwe; 
strategies	iqhinga; 
strategy	iqhinga; 
stream	umsinga; 
streams	imisinga; 
street	indlela;  isitrato; 
streets	izitaloto; izitalato; 
strength	amandla; 
strengthen	ukomeleza; 
strengthened	omeleziwe; 
strengthening	ukomeleza; 
stress	ukukhathazeka;  unxunguphalo;  ukucinezela;  isigxininiso; 
strict	ngqongqo; 
strides	imigxanyo; amanyathelo; 
strike	uqhankqalazo; 
string	umtya; 
strip	 ukuhlubula;  umcwe; umcu welaphu; 
strips	ukuhlubula;  imicu yelaphu; umicu yelaphu; 
strive	ukuzama; 
striving	ukuzama; 
strong	unamandla; 
stronger	unamandla ngakumbi; 
strongly	ngamndla; 
struck	uqhankqalazo; qhankqalazile; 
structural	eyesakhiwo; 
structure	 ubume; isakhiwo;  ulwakhiwo;  ukwakhiwa; 
structured	 ubume; isakhiwo;  ulwakhiwo;  ukwakhiwa; 
structures	 ubume; izakhiwo;  ulwakhiwo;  ukwakhiwa; 
struggle	ukuzama;  umzamo;  ukuzabalaza; 
struggles	ukuzama;  umzamo;  ukuzabalaza; 
struggling	ukuzama;  umzamo;  ukuzabalaza; 
student	umfundi; 
students	abafundi; 
studies	ukufunda; 
studio	igumbi; 
studios	igumbi; 
study	ukufunda; 
style	 uluthi lwesizalo; isimbo;  uluthi lwesizalo sentyatyambo; 
sub	enganeno; 
sub-item	into enganeno; 
sub-programme	inkqubo enganeno; 
sub-regulation	ummiselo onganeno; 
subject	 ukuthobisa; intloko;  isifundo; 
subjected	 ukuthobisa; intloko; -phethweyo;  isifundo; 
subjects	 ukuthobisa; -phethweyo; izifundo;  intloko; 
submission	Ungeniso lwezimvo; 
submissions	Ungeniso lwezimvo; 
submit	thumela; 
submitted	thumele; 
submitting	ukuthumela; 
subparagraph	umhlathi onganeno; 
subpoenaed	isapina; 
subscribe	ukubhalisa;  ukurhuma; 
subscribed	 rhumile; bhalisile; 
subsection	icandelwana; 
